learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.393308037,4.623396362191066E-8,5000.0,100.0,100.0,?,?,?,?,?,5000.0,471064.0,10.0,0.0,29953.1,125.47283902635385,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.764570999,1.0520697217439818E-7,10000.0,99.0,99.0,-Infinity,99.0,?,?,?,10000.0,615088.0,10.0,0.0,59937.4,145.882905860221,26976.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.963407236,1.3693294864101748E-7,15000.0,100.0,100.0,?,100.0,?,?,?,15000.0,616768.0,10.0,0.0,90020.7,201.25884383604702,26976.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.112185827,1.606718110738384E-7,20000.0,100.0,100.0,?,100.0,?,?,?,20000.0,616768.0,10.0,0.0,120030.8,227.308796329769,26976.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.269564802,1.8450190937651113E-7,25000.0,99.7,99.7,-Infinity,99.7,?,?,?,25000.0,585304.0,10.0,2.0,123105.40000000001,56854.11704079916,24256.0,5734.263490438661,4.2,1.6865480854231356,2.6,0.8432740427115678,2.6,0.8432740427115678,1.5999999999999999,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.419354799,2.072805474967675E-7,30000.0,100.0,100.0,?,100.0,?,?,?,30000.0,587824.0,10.0,2.0,153054.69999999998,56861.15603243082,24256.0,5734.263490438661,4.2,1.6865480854231356,2.6,0.8432740427115678,2.6,0.8432740427115678,1.5999999999999999,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.573153043,2.2952379039171668E-7,35000.0,100.0,100.0,?,100.0,?,?,?,35000.0,559048.0,10.0,4.0,146369.9,83940.05063992595,21536.0,7023.009801122783,3.4,2.065591117977289,2.2,1.0327955589886444,2.2,1.0327955589886444,1.2,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.711335373,2.495686206925205E-7,40000.0,100.0,100.0,?,100.0,?,?,?,40000.0,560728.0,10.0,4.0,176300.00000000003,83986.79642922716,21536.0,7023.009801122783,3.4,2.065591117977289,2.2,1.0327955589886444,2.2,1.0327955589886444,1.2,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.846168221,2.6918031328137964E-7,45000.0,99.9,99.9,-Infinity,99.9,?,?,?,45000.0,562240.0,10.0,4.0,206307.6,83984.39391299633,21536.0,7023.009801122783,3.4,2.065591117977289,2.2,1.0327955589886444,2.2,1.0327955589886444,1.2,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,1.981875612,2.8892510787921027E-7,50000.0,100.0,100.0,?,100.0,?,?,?,50000.0,562408.0,10.0,4.0,236301.8,84059.02045692525,21536.0,7023.009801122783,3.4,2.065591117977289,2.2,1.0327955589886444,2.2,1.0327955589886444,1.2,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
