learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
10.0,0.007572672,6.195474350452423E-10,10.0,100.0,100.0,?,?,?,?,?,10.0,332920.0,10.0,0.0,59.900000000000006,8.089087299153922,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,0.068639809,5.905595715379136E-9,20.0,100.0,100.0,?,?,?,?,?,20.0,334600.0,10.0,0.0,121.20000000000002,13.381579378633393,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,0.103761511,8.945774469125188E-9,30.0,100.0,100.0,?,?,?,?,?,30.0,334600.0,10.0,0.0,177.2,12.576874722194615,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,0.136282268,1.1774946228708657E-8,40.0,100.0,100.0,?,?,?,?,?,40.0,336280.0,10.0,0.0,241.5,16.3316325645118,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,0.160413721,1.387428313360653E-8,50.0,100.0,100.0,?,?,?,?,?,50.0,336280.0,10.0,0.0,298.7,16.26892060887193,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,0.182473988,1.5793435397044653E-8,60.0,100.0,100.0,?,?,?,?,?,60.0,336280.0,10.0,0.0,357.20000000000005,18.02344152609163,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.203843821,1.7652522749488966E-8,70.0,100.0,100.0,?,?,?,?,?,70.0,336280.0,10.0,0.0,419.1,21.2678683046097,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80.0,0.224545826,1.9462509267201853E-8,80.0,100.0,100.0,?,?,?,?,?,80.0,337960.0,10.0,0.0,480.70000000000005,26.61265363193481,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,0.245918375,2.1331121777881763E-8,90.0,100.0,100.0,?,?,?,?,?,90.0,337960.0,10.0,0.0,540.3000000000001,27.761083872532396,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100.0,0.267387261,2.320815708003317E-8,100.0,100.0,100.0,?,?,?,?,?,100.0,337960.0,10.0,0.0,598.5999999999999,29.69549161442225,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110.0,0.289498298,2.5141335961144003E-8,110.0,100.0,100.0,?,?,?,?,?,110.0,337960.0,10.0,0.0,661.0,32.355662392986005,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120.0,0.305142573,2.650912264795974E-8,120.0,100.0,100.0,?,?,?,?,?,120.0,337960.0,10.0,0.0,720.3,32.15604315072224,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
130.0,0.319664781,2.7778806463001918E-8,130.0,100.0,100.0,?,?,?,?,?,130.0,337960.0,10.0,0.0,780.0,35.490217744549774,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140.0,0.330491608,2.8725401292807527E-8,140.0,100.0,100.0,?,?,?,?,?,140.0,337960.0,10.0,0.0,840.0,36.270588023294515,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
150.0,0.341561231,2.9693223896761323E-8,150.0,100.0,100.0,?,?,?,?,?,150.0,337960.0,10.0,0.0,901.0,38.230296304835974,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
160.0,0.353010504,3.069921553863834E-8,160.0,100.0,100.0,?,?,?,?,?,160.0,339640.0,10.0,0.0,961.5999999999999,43.95755528537349,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
170.0,0.363991699,3.166407945513519E-8,170.0,100.0,100.0,?,?,?,?,?,170.0,339640.0,10.0,0.0,1022.8000000000001,51.10946857264099,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
180.0,0.375072074,3.263765783333117E-8,180.0,100.0,100.0,?,?,?,?,?,180.0,339640.0,10.0,0.0,1082.1000000000001,48.71789541157679,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
190.0,0.386327511,3.3626618053571636E-8,190.0,100.0,100.0,?,?,?,?,?,190.0,339640.0,10.0,0.0,1140.8,47.720948113893215,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.397188328,3.4580904943748486E-8,200.0,100.0,100.0,?,?,?,?,?,200.0,339640.0,10.0,0.0,1204.9,49.88085805196218,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210.0,0.408556235,3.557974735301195E-8,210.0,100.0,100.0,?,?,?,?,?,210.0,339640.0,10.0,0.0,1260.4,56.12525674279313,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
220.0,0.419426908,3.653490024172184E-8,220.0,100.0,100.0,?,?,?,?,?,220.0,339640.0,10.0,0.0,1320.7,58.492259696856,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
230.0,0.429919075,3.745679565876516E-8,230.0,100.0,100.0,?,?,?,?,?,230.0,339640.0,10.0,0.0,1383.8,57.2592544679218,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
240.0,0.440327167,3.83713038166095E-8,240.0,100.0,100.0,?,?,?,?,?,240.0,339640.0,10.0,0.0,1448.3000000000002,52.02360575311516,712.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
