learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
10.0,0.02850662,2.672054135178526E-9,10.0,100.0,100.0,?,?,?,?,?,10.0,379000.0,10.0,0.0,59.900000000000006,8.089087299153922,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,0.089298507,8.658972194863276E-9,20.0,100.0,100.0,?,?,?,?,?,20.0,380680.0,10.0,0.0,121.20000000000002,13.381579378633393,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,0.130686302,1.2734932813358803E-8,30.0,100.0,100.0,?,?,?,?,?,30.0,380680.0,10.0,0.0,177.2,12.576874722194615,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,0.163620757,1.5992703891286833E-8,40.0,100.0,100.0,?,?,?,?,?,40.0,382360.0,10.0,0.0,241.5,16.3316325645118,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,0.189675716,1.856997720176975E-8,50.0,100.0,100.0,?,?,?,?,?,50.0,382360.0,10.0,0.0,298.7,16.26892060887193,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,0.214023278,2.0978360255373022E-8,60.0,100.0,100.0,?,?,?,?,?,60.0,382360.0,10.0,0.0,357.20000000000005,18.02344152609163,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.238222747,2.3372094422506376E-8,70.0,100.0,100.0,?,?,?,?,?,70.0,382360.0,10.0,0.0,419.1,21.2678683046097,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80.0,0.2612762,2.5662487775149445E-8,80.0,100.0,100.0,?,?,?,?,?,80.0,384040.0,10.0,0.0,480.70000000000005,26.61265363193481,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,0.281955258,2.7716981606599356E-8,90.0,100.0,100.0,?,?,?,?,?,90.0,384040.0,10.0,0.0,540.3000000000001,27.761083872532396,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100.0,0.299686318,2.947858764276736E-8,100.0,100.0,100.0,?,?,?,?,?,100.0,384040.0,10.0,0.0,598.5999999999999,29.69549161442225,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110.0,0.312869002,3.0788306052568885E-8,110.0,100.0,100.0,?,?,?,?,?,110.0,384040.0,10.0,0.0,661.0,32.355662392986005,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120.0,0.326641923,3.215666534802359E-8,120.0,100.0,100.0,?,?,?,?,?,120.0,384040.0,10.0,0.0,720.3,32.15604315072224,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
130.0,0.339214825,3.340580104861615E-8,130.0,100.0,100.0,?,?,?,?,?,130.0,384040.0,10.0,0.0,780.0,35.490217744549774,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140.0,0.351467344,3.4623106242364474E-8,140.0,100.0,100.0,?,?,?,?,?,140.0,384040.0,10.0,0.0,840.0,36.270588023294515,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
150.0,0.364310889,3.5899130710038455E-8,150.0,100.0,100.0,?,?,?,?,?,150.0,384040.0,10.0,0.0,901.0,38.230296304835974,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
160.0,0.376813303,3.714669709173548E-8,160.0,100.0,100.0,?,?,?,?,?,160.0,385720.0,10.0,0.0,961.5999999999999,43.95755528537349,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
170.0,0.389438595,3.84065249824379E-8,170.0,100.0,100.0,?,?,?,?,?,170.0,385720.0,10.0,0.0,1022.8000000000001,51.10946857264099,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
180.0,0.401878892,3.9647892954697205E-8,180.0,100.0,100.0,?,?,?,?,?,180.0,385720.0,10.0,0.0,1082.1000000000001,48.71789541157679,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
190.0,0.414263967,4.0883750542263595E-8,190.0,100.0,100.0,?,?,?,?,?,190.0,385720.0,10.0,0.0,1140.8,47.720948113893215,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.426484655,4.210320460209622E-8,200.0,100.0,100.0,?,?,?,?,?,200.0,385720.0,10.0,0.0,1204.9,49.88085805196218,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210.0,0.438588723,4.3311021613960867E-8,210.0,100.0,100.0,?,?,?,?,?,210.0,385720.0,10.0,0.0,1260.4,56.12525674279313,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
220.0,0.451018555,4.455134532531308E-8,220.0,100.0,100.0,?,?,?,?,?,220.0,385720.0,10.0,0.0,1320.7,58.492259696856,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
230.0,0.463151541,4.576204794987828E-8,230.0,100.0,100.0,?,?,?,?,?,230.0,385720.0,10.0,0.0,1383.8,57.2592544679218,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
240.0,0.474960713,4.694043845773363E-8,240.0,100.0,100.0,?,?,?,?,?,240.0,385720.0,10.0,0.0,1448.3000000000002,52.02360575311516,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
250.0,0.486918205,4.8133629231020385E-8,250.0,100.0,100.0,?,?,?,?,?,250.0,385720.0,10.0,0.0,1506.0,53.901144081859094,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
260.0,0.499204828,4.93596626833909E-8,260.0,100.0,100.0,?,?,?,?,?,260.0,385720.0,10.0,0.0,1565.3,56.17245271878774,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
270.0,0.511398669,5.0576437787411515E-8,270.0,100.0,100.0,?,?,?,?,?,270.0,385720.0,10.0,0.0,1624.9,56.5379911603202,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
280.0,0.523288721,5.17628989901704E-8,280.0,100.0,100.0,?,?,?,?,?,280.0,385720.0,10.0,0.0,1683.1,57.08366179954159,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
290.0,0.535429349,5.297436417965217E-8,290.0,100.0,100.0,?,?,?,?,?,290.0,385720.0,10.0,0.0,1742.6000000000001,58.292747786019184,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.547569628,5.418579454380604E-8,300.0,100.0,100.0,?,?,?,?,?,300.0,385720.0,10.0,0.0,1803.8999999999999,59.97860729738006,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
310.0,0.559507831,5.5377060544170017E-8,310.0,100.0,100.0,?,?,?,?,?,310.0,385720.0,10.0,0.0,1865.8,62.62906673422492,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
320.0,0.57130721,5.655960206041733E-8,320.0,100.0,100.0,?,?,?,?,?,320.0,387400.0,10.0,0.0,1924.6,63.26171389113992,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
330.0,0.583369134,5.776845600907173E-8,330.0,100.0,100.0,?,?,?,?,?,330.0,387400.0,10.0,0.0,1984.3,63.25442452684415,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
340.0,0.595317052,5.896588420149766E-8,340.0,100.0,100.0,?,?,?,?,?,340.0,387400.0,10.0,0.0,2044.0999999999997,66.37846036177699,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
350.0,0.607414441,6.01782924757546E-8,350.0,100.0,100.0,?,?,?,?,?,350.0,387400.0,10.0,0.0,2102.9,69.91494833009605,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
360.0,0.619286778,6.136814589069949E-8,360.0,100.0,100.0,?,?,?,?,?,360.0,387400.0,10.0,0.0,2160.9,68.06443026035454,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
370.0,0.631441306,6.258628067308001E-8,370.0,100.0,100.0,?,?,?,?,?,370.0,387400.0,10.0,0.0,2220.7,70.47466053680417,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
380.0,0.646654416,6.411094855316397E-8,380.0,100.0,100.0,?,?,?,?,?,380.0,387400.0,10.0,0.0,2284.4,70.22060476336938,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
390.0,0.663965964,6.584592326840178E-8,390.0,100.0,100.0,?,?,?,?,?,390.0,387400.0,10.0,0.0,2342.6,71.70030218439341,5232.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
