learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.129585462,1.5061059707974397E-8,1000.0,99.0,99.0,-233.33333333333334,98.90350877192982,?,?,?,1000.0,463688.0,10.0,1008.1,38.417154732980656,14512.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.2465218,2.9088323856836393E-8,2000.0,100.0,100.0,?,100.0,?,?,?,2000.0,463688.0,10.0,1993.6,47.25627530345103,14512.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.319358971,3.782560993015974E-8,3000.0,99.8,99.8,-Infinity,99.8,?,?,?,3000.0,463688.0,10.0,2985.8,64.72299951846071,14512.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.497550661,6.498268203200358E-8,4000.0,100.0,100.0,?,100.0,?,?,?,4000.0,590192.0,10.0,3983.5000000000005,76.24995446264585,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.548509365,7.276321454791352E-8,5000.0,100.0,100.0,?,100.0,?,?,?,5000.0,590192.0,10.0,4983.3,68.98478093028926,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.589591045,7.903569249492346E-8,6000.0,100.0,100.0,?,100.0,?,?,?,6000.0,590192.0,10.0,5975.299999999999,76.3355894863085,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.629183643,8.508081279720491E-8,7000.0,100.0,100.0,?,100.0,?,?,?,7000.0,590192.0,10.0,6979.2,85.94933908349084,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.666750146,9.08165826492115E-8,8000.0,100.0,100.0,?,100.0,?,?,?,8000.0,590192.0,10.0,7973.1,75.93630371714323,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.702109212,9.621531419358527E-8,9000.0,100.0,100.0,?,100.0,?,?,?,9000.0,590192.0,10.0,8971.0,71.45939017683018,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.736578662,1.0147821641595207E-7,10000.0,100.0,100.0,?,100.0,?,?,?,10000.0,590192.0,10.0,9980.100000000002,62.197624106105835,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.770866756,1.0671342864339757E-7,11000.0,100.0,100.0,?,100.0,?,?,?,11000.0,590192.0,10.0,10964.699999999999,68.58417374940723,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.805311801,1.119726046348922E-7,12000.0,100.0,100.0,?,100.0,?,?,?,12000.0,590192.0,10.0,11984.300000000001,85.6453280817012,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.838077954,1.1697544220387314E-7,13000.0,100.0,100.0,?,100.0,?,?,?,13000.0,590192.0,10.0,13001.7,90.02721810652584,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.867132426,1.2141156883944446E-7,14000.0,100.0,100.0,?,100.0,?,?,?,14000.0,590192.0,10.0,13995.0,88.3654029835458,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.896075821,1.2583073589515146E-7,15000.0,100.0,100.0,?,100.0,?,?,?,15000.0,590192.0,10.0,15012.599999999999,85.42599136094356,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.924648181,1.3019325217963713E-7,16000.0,100.0,100.0,?,100.0,?,?,?,16000.0,590192.0,10.0,16012.099999999999,86.48757136143915,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.956497358,1.3505608301720064E-7,17000.0,100.0,100.0,?,100.0,?,?,?,17000.0,590192.0,10.0,17019.6,82.3221314916804,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.99583988,1.41063020942445E-7,18000.0,100.0,100.0,?,100.0,?,?,?,18000.0,590192.0,10.0,18017.0,75.13395444877875,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.034857876,1.4702040923441656E-7,19000.0,100.0,100.0,?,100.0,?,?,?,19000.0,590192.0,10.0,19003.5,76.47403335628199,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.064674739,1.5157294008555303E-7,20000.0,100.0,100.0,?,100.0,?,?,?,20000.0,590192.0,10.0,20015.699999999997,77.68747932868267,27024.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
