learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.086416551,3.244306137040257E-10,1000.0,99.0,99.0,-233.33333333333334,98.90350877192982,?,?,?,1000.0,14512.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.115721132,4.3444777000281544E-10,2000.0,99.5,99.5,-233.33333333334565,99.47698744769873,?,?,?,2000.0,14512.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.130916493,4.914951786026359E-10,3000.0,99.63333333333333,99.63333333333333,-266.6666666666704,99.62225274725274,?,?,?,3000.0,14512.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.170781407,7.701959001397094E-10,4000.0,99.65,99.65,-366.666666666642,99.64212678936606,?,?,?,4000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.185338049,8.719632494573792E-10,5000.0,99.72,99.72,-366.6666666666358,99.71498371335504,?,?,?,5000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.198200961,9.618895153328776E-10,6000.0,99.76666666666667,99.76666666666667,-366.6666666667111,99.76319350473614,?,?,?,6000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.210174475,1.045597885834674E-9,7000.0,99.8,99.8,-366.66666666664935,99.79745370370371,?,?,?,7000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.221814609,1.1269755540415644E-9,8000.0,99.825,99.825,-366.6666666666568,99.82305358948432,?,?,?,8000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.232841658,1.2040670664608477E-9,9000.0,99.84444444444445,99.84444444444445,-366.6666666667111,99.84290843806104,?,?,?,9000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.24243418,1.2711296168218055E-9,10000.0,99.86,99.86,-366.6666666667037,99.85875706214689,?,?,?,10000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
11000.0,0.251617694,1.3353327398498851E-9,11000.0,99.87272727272727,99.87272727272727,-366.6666666666124,99.87170087976538,?,?,?,11000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
12000.0,0.260545474,1.3977479937175908E-9,12000.0,99.88333333333334,99.88333333333334,-366.6666666667111,99.88247145735393,?,?,?,12000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
13000.0,0.269103768,1.457580123618245E-9,13000.0,99.8923076923077,99.8923076923077,-366.66666666661854,99.8915737298637,?,?,?,13000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
14000.0,0.277773766,1.518193190495173E-9,14000.0,99.9,99.9,-366.66666666664935,99.89936745255893,?,?,?,14000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
15000.0,0.286130911,1.5766190619642533E-9,15000.0,99.90666666666667,99.90666666666667,-366.66666666672216,99.90611587982833,?,?,?,15000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
16000.0,0.29443997,1.6347087580462295E-9,16000.0,99.91250000000001,99.91250000000001,-366.6666666666272,99.91201608848668,?,?,?,16000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
17000.0,0.302845498,1.693472881267468E-9,17000.0,99.91764705882353,99.91764705882353,-366.66666666654083,99.91721854304636,?,?,?,17000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
18000.0,0.311149432,1.7515267478177942E-9,18000.0,99.92222222222222,99.92222222222222,-366.6666666667111,99.9218401071907,?,?,?,18000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
19000.0,0.319365598,1.8089670170346892E-9,19000.0,99.92631578947369,99.92631578947369,-366.6666666665729,99.92597292724197,?,?,?,19000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.327391972,1.8650804260621463E-9,20000.0,99.92999999999999,99.92999999999999,-366.6666666667407,99.92969063881077,?,?,?,20000.0,27024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
