learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.280218207,3.425654700498407E-8,5000.0,100.0,100.0,?,?,?,?,?,5000.0,489496.0,10.0,0.0,29953.1,125.47283902635385,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.506722759,6.303793284716498E-8,10000.0,100.0,100.0,?,?,?,?,?,10000.0,491176.0,10.0,0.0,59937.4,145.882905860221,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.688721727,8.624320160598184E-8,15000.0,100.0,100.0,?,?,?,?,?,15000.0,492856.0,10.0,0.0,90020.7,201.25884383604702,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.826364082,1.0379290463710825E-7,20000.0,100.0,100.0,?,?,?,?,?,20000.0,492856.0,10.0,0.0,120030.8,227.308796329769,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,0.963385014,1.2132292652281621E-7,25000.0,100.0,100.0,?,?,?,?,?,25000.0,494536.0,10.0,0.0,149955.2,261.18907583077385,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.101275413,1.3896418524888447E-7,30000.0,100.0,100.0,?,?,?,?,?,30000.0,494536.0,10.0,0.0,179904.5,324.26780770084423,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.239323169,1.5662557572864615E-7,35000.0,100.0,100.0,?,?,?,?,?,35000.0,494536.0,10.0,0.0,209921.99999999997,330.11816066372904,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.379016901,1.7449754713850508E-7,40000.0,100.0,100.0,?,?,?,?,?,40000.0,494536.0,10.0,0.0,239852.1,389.412506219305,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.518028921,1.923427195001621E-7,45000.0,100.0,100.0,?,?,?,?,?,45000.0,496216.0,10.0,0.0,269859.7,308.50141364703927,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,1.656186734,2.1007823608422858E-7,50000.0,100.0,100.0,?,?,?,?,?,50000.0,496216.0,10.0,0.0,299853.9,394.95778958713356,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,1.796390643,2.2807641294607891E-7,55000.0,100.0,100.0,?,?,?,?,?,55000.0,496216.0,10.0,0.0,329807.6,408.1628759862064,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,1.935279985,2.4590583695694595E-7,60000.0,100.0,100.0,?,?,?,?,?,60000.0,496216.0,10.0,0.0,359857.5,398.31708474530706,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,2.07158072,2.6340295777495534E-7,65000.0,100.0,100.0,?,?,?,?,?,65000.0,496216.0,10.0,0.0,389940.1,402.7928748128518,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,2.205840144,2.806380325724929E-7,70000.0,100.0,100.0,?,?,?,?,?,70000.0,496216.0,10.0,0.0,419956.6,385.6760874677668,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,2.340458178,2.9791914265000564E-7,75000.0,100.0,100.0,?,?,?,?,?,75000.0,496216.0,10.0,0.0,449923.1,419.8646475023046,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,2.473103414,3.149470018191097E-7,80000.0,100.0,100.0,?,?,?,?,?,80000.0,496216.0,10.0,0.0,479954.3,455.55144849096985,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,2.605692696,3.320253036756813E-7,85000.0,100.0,100.0,?,?,?,?,?,85000.0,497896.0,10.0,0.0,509921.89999999997,530.1696688587288,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,2.738535419,3.4913625026669554E-7,90000.0,100.0,100.0,?,?,?,?,?,90000.0,497896.0,10.0,0.0,539961.6,557.3919825600492,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,2.868792041,3.6591409139968657E-7,95000.0,100.0,100.0,?,?,?,?,?,95000.0,497896.0,10.0,0.0,569942.6,645.0264766314291,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,2.998949282,3.826791316584952E-7,100000.0,100.0,100.0,?,?,?,?,?,100000.0,497896.0,10.0,0.0,599824.1000000001,696.1646436807204,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105000.0,3.131447876,3.9974575235188826E-7,105000.0,100.0,100.0,?,?,?,?,?,105000.0,497896.0,10.0,0.0,629871.1,730.4207995700106,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110000.0,3.263021311,4.1669320696768447E-7,110000.0,100.0,100.0,?,?,?,?,?,110000.0,497896.0,10.0,0.0,659868.1,864.1868946523562,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115000.0,3.396368488,4.338691302864915E-7,115000.0,100.0,100.0,?,?,?,?,?,115000.0,497896.0,10.0,0.0,689851.0000000001,918.1294994594775,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120000.0,3.527811334,4.50799764248857E-7,120000.0,100.0,100.0,?,?,?,?,?,120000.0,497896.0,10.0,0.0,719892.6,910.3837042087769,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
125000.0,3.657859957,4.675508138519877E-7,125000.0,100.0,100.0,?,?,?,?,?,125000.0,497896.0,10.0,0.0,749929.3,786.3595516329867,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
130000.0,3.790063589,4.845794416548828E-7,130000.0,100.0,100.0,?,?,?,?,?,130000.0,497896.0,10.0,0.0,779859.5,791.7755363737979,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
135000.0,3.925006646,5.019609239748078E-7,135000.0,100.0,100.0,?,?,?,?,?,135000.0,497896.0,10.0,0.0,809791.5,732.1091676337163,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140000.0,4.058458936,5.191503864840831E-7,140000.0,100.0,100.0,?,?,?,?,?,140000.0,497896.0,10.0,0.0,839771.5,740.1384630219181,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
145000.0,4.189641153,5.360474498541094E-7,145000.0,100.0,100.0,?,?,?,?,?,145000.0,497896.0,10.0,0.0,869788.8,791.0000421407434,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
150000.0,4.322395571,5.531470222267653E-7,150000.0,100.0,100.0,?,?,?,?,?,150000.0,497896.0,10.0,0.0,899823.7,790.9953012924107,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
155000.0,4.453515143,5.700360165417091E-7,155000.0,100.0,100.0,?,?,?,?,?,155000.0,497896.0,10.0,0.0,929795.9,867.8018783109271,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
160000.0,4.58592918,5.87091745781824E-7,160000.0,100.0,100.0,?,?,?,?,?,160000.0,497896.0,10.0,0.0,959768.8,840.1120031149262,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
165000.0,4.720110491,6.044334281132888E-7,165000.0,100.0,100.0,?,?,?,?,?,165000.0,499576.0,10.0,0.0,989704.2000000001,918.7568654316398,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
170000.0,4.856802511,6.220995961542779E-7,170000.0,100.0,100.0,?,?,?,?,?,170000.0,499576.0,10.0,0.0,1019659.1,918.6546261910604,14728.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4375.2,7044.741282214226,0.0,0.0,1.0029621503017006,0.004769515111197851
