learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
10.0,0.048248642,5.492560882555942E-9,10.0,100.0,100.0,?,?,?,?,?,10.0,456712.0,10.0,0.0,59.900000000000006,8.089087299153922,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,0.1339266,1.5652796188683973E-8,20.0,100.0,100.0,?,?,?,?,?,20.0,458392.0,10.0,0.0,121.20000000000002,13.381579378633393,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,0.208248702,2.4466382114320164E-8,30.0,100.0,100.0,?,?,?,?,?,30.0,458392.0,10.0,0.0,177.2,12.576874722194615,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,0.281901203,3.323257315315927E-8,40.0,100.0,100.0,?,?,?,?,?,40.0,460072.0,10.0,0.0,241.5,16.3316325645118,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,0.33502501,3.955541941838546E-8,50.0,100.0,100.0,?,?,?,?,?,50.0,460072.0,10.0,0.0,298.7,16.26892060887193,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,0.371887089,4.3942779280106646E-8,60.0,100.0,100.0,?,?,?,?,?,60.0,460072.0,10.0,0.0,357.20000000000005,18.02344152609163,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.40439701,4.781214113848491E-8,70.0,100.0,100.0,?,?,?,?,?,70.0,460072.0,10.0,0.0,419.1,21.2678683046097,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80.0,0.432257272,5.1140204689361985E-8,80.0,100.0,100.0,?,?,?,?,?,80.0,461752.0,10.0,0.0,480.70000000000005,26.61265363193481,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,0.451521961,5.344147914542713E-8,90.0,100.0,100.0,?,?,?,?,?,90.0,461752.0,10.0,0.0,540.3000000000001,27.761083872532396,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100.0,0.470904718,5.575685748204175E-8,100.0,100.0,100.0,?,?,?,?,?,100.0,461752.0,10.0,0.0,598.5999999999999,29.69549161442225,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110.0,0.49025421,5.8068262129032776E-8,110.0,100.0,100.0,?,?,?,?,?,110.0,461752.0,10.0,0.0,661.0,32.355662392986005,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120.0,0.50957548,6.0376295500853E-8,120.0,100.0,100.0,?,?,?,?,?,120.0,461752.0,10.0,0.0,720.3,32.15604315072224,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
130.0,0.528637248,6.265332991266417E-8,130.0,100.0,100.0,?,?,?,?,?,130.0,461752.0,10.0,0.0,780.0,35.490217744549774,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140.0,0.547622008,6.492116528973812E-8,140.0,100.0,100.0,?,?,?,?,?,140.0,461752.0,10.0,0.0,840.0,36.270588023294515,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
150.0,0.56678956,6.721083618984455E-8,150.0,100.0,100.0,?,?,?,?,?,150.0,461752.0,10.0,0.0,901.0,38.230296304835974,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
160.0,0.586056343,6.952073446118791E-8,160.0,100.0,100.0,?,?,?,?,?,160.0,463432.0,10.0,0.0,961.5999999999999,43.95755528537349,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
