learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
10.0,0.0508418,6.007046170118782E-9,10.0,70.0,70.0,39.99999999999999,57.14285714285714,?,?,?,10.0,473384.0,10.0,0.0,59.900000000000006,8.089087299153922,14496.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,0.139325323,1.6881617751612018E-8,20.0,85.0,85.0,76.92307692307692,76.92307692307692,?,?,?,20.0,475064.0,10.0,0.0,121.20000000000002,13.381579378633393,14496.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,0.216355616,2.634859427753422E-8,30.0,86.66666666666667,86.66666666666667,73.33333333333334,80.95238095238095,?,?,?,30.0,475064.0,10.0,0.0,177.2,12.576874722194615,14496.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,0.313672652,4.031361345793638E-8,40.0,90.0,90.0,81.81818181818181,85.18518518518518,?,?,?,40.0,555776.0,10.0,0.0,241.5,16.3316325645118,22238.4,6663.596946594735,2.1999999999999997,1.0327955589886446,1.6,0.5163977794943222,1.6,0.5163977794943222,0.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
50.0,0.357188141,4.6570255178271065E-8,50.0,92.0,92.0,85.18518518518519,88.23529411764707,?,?,?,50.0,555776.0,10.0,0.0,298.7,16.26892060887193,22238.4,6663.596946594735,2.1999999999999997,1.0327955589886446,1.6,0.5163977794943222,1.6,0.5163977794943222,0.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
60.0,0.395523612,5.208211573043631E-8,60.0,93.33333333333333,93.33333333333333,88.23529411764706,90.0,?,?,?,60.0,555776.0,10.0,0.0,357.20000000000005,18.02344152609163,22238.4,6663.596946594735,2.1999999999999997,1.0327955589886446,1.6,0.5163977794943222,1.6,0.5163977794943222,0.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.4350386,5.77368246168726E-8,70.0,94.28571428571428,94.28571428571428,89.1891891891892,91.30434782608695,?,?,?,70.0,553160.0,10.0,0.0,419.1,21.2678683046097,21974.399999999998,7009.024582636303,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
80.0,0.469742532,6.316567237880495E-8,80.0,95.0,95.0,89.74358974358974,92.59259259259258,?,?,?,80.0,604688.0,10.0,0.0,480.70000000000005,26.61265363193481,26952.0,578.365513033641,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,0.495865869,6.728250645637926E-8,90.0,95.55555555555556,95.55555555555556,90.47619047619048,93.10344827586209,?,?,?,90.0,609168.0,10.0,0.0,540.3000000000001,27.761083872532396,27400.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100.0,0.52165011,7.134590165023174E-8,100.0,95.0,95.0,89.36170212765956,92.3076923076923,?,?,?,100.0,609168.0,10.0,0.0,598.5999999999999,29.69549161442225,27400.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
