learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes)
1000.0,0.045821971,1.3883611713846526E-10,1000.0,99.0,99.0,-233.33333333333334,98.90350877192982,?,?,?,1000.0,11712.0
2000.0,0.071877995,2.1778333658973377E-10,2000.0,99.5,99.5,-233.33333333334565,99.47698744769873,?,?,?,2000.0,11712.0
3000.0,0.086996451,2.6359078839421275E-10,3000.0,99.63333333333333,99.63333333333333,-266.6666666666704,99.62225274725274,?,?,?,3000.0,11712.0
4000.0,0.097924698,2.9670231431722645E-10,4000.0,99.7,99.7,-299.9999999999852,99.69325153374233,?,?,?,4000.0,11712.0
5000.0,0.107776704,3.265529346466065E-10,5000.0,99.72,99.72,-366.6666666666358,99.71498371335504,?,?,?,5000.0,11712.0
6000.0,0.117478198,3.559475182493528E-10,6000.0,99.76666666666667,99.76666666666667,-366.6666666667111,99.76319350473614,?,?,?,6000.0,11712.0
7000.0,0.128725117,3.900245893498262E-10,7000.0,99.8,99.8,-366.66666666664935,99.79745370370371,?,?,?,7000.0,11712.0
8000.0,0.139219102,4.218203436334928E-10,8000.0,99.825,99.825,-366.6666666666568,99.82305358948432,?,?,?,8000.0,11712.0
9000.0,0.149556134,4.5314054558674495E-10,9000.0,99.84444444444445,99.84444444444445,-366.6666666667111,99.84290843806104,?,?,?,9000.0,11712.0
10000.0,0.159351103,4.828183493514856E-10,10000.0,99.86,99.86,-366.6666666667037,99.85875706214689,?,?,?,10000.0,11712.0
11000.0,0.169099662,5.123555353283883E-10,11000.0,99.87272727272727,99.87272727272727,-366.6666666666124,99.87170087976538,?,?,?,11000.0,11712.0
12000.0,0.178883934,5.420009282231331E-10,12000.0,99.88333333333334,99.88333333333334,-366.6666666667111,99.88247145735393,?,?,?,12000.0,11712.0
13000.0,0.188036056,5.697309680779775E-10,13000.0,99.8923076923077,99.8923076923077,-366.66666666661854,99.8915737298637,?,?,?,13000.0,11712.0
14000.0,0.19706614,5.970912446578344E-10,14000.0,99.9,99.9,-366.66666666664935,99.89936745255893,?,?,?,14000.0,11712.0
15000.0,0.206101353,6.244670616090298E-10,15000.0,99.90666666666667,99.90666666666667,-366.66666666672216,99.90611587982833,?,?,?,15000.0,11712.0
16000.0,0.214953708,6.512888365983964E-10,16000.0,99.91250000000001,99.91250000000001,-366.6666666666272,99.91201608848668,?,?,?,16000.0,11712.0
17000.0,0.22408319,6.789502794543902E-10,17000.0,99.91764705882353,99.91764705882353,-366.66666666654083,99.91721854304636,?,?,?,17000.0,11712.0
18000.0,0.233216872,7.066244479020437E-10,18000.0,99.92222222222222,99.92222222222222,-366.6666666667111,99.9218401071907,?,?,?,18000.0,11712.0
19000.0,0.242269522,7.340530972679456E-10,19000.0,99.92631578947369,99.92631578947369,-366.6666666665729,99.92597292724197,?,?,?,19000.0,11712.0
20000.0,0.25121996,7.611720542112986E-10,20000.0,99.92999999999999,99.92999999999999,-366.6666666667407,99.92969063881077,?,?,?,20000.0,11712.0
21000.0,0.260274308,7.886058483521143E-10,21000.0,99.93333333333332,99.93333333333332,-366.6666666667962,99.93305279265493,?,?,?,21000.0,11712.0
22000.0,0.269185151,8.156048362950483E-10,22000.0,99.93636363636364,99.93636363636364,-366.66666666680237,99.93610806863819,?,?,?,22000.0,11712.0
23000.0,0.27820627,8.429379497965177E-10,23000.0,99.93913043478261,99.93913043478261,-366.6666666668085,99.93889664804469,?,?,?,23000.0,11712.0
24000.0,0.287043004,8.69712394674619E-10,24000.0,99.94166666666666,99.94166666666666,-366.6666666665483,99.94145199063232,?,?,?,24000.0,11712.0
25000.0,0.295895908,8.965358330806096E-10,25000.0,99.944,99.944,-366.6666666666358,99.94380218368659,?,?,?,25000.0,11712.0
26000.0,0.30463561,9.230162804325422E-10,26000.0,99.94615384615385,99.94615384615385,-366.66666666657045,99.94597097869713,?,?,?,26000.0,11712.0
27000.0,0.314024508,9.514637285470963E-10,27000.0,99.94814814814815,99.94814814814815,-366.6666666668332,99.94797859690846,?,?,?,27000.0,11712.0
28000.0,0.323009525,9.786874564985436E-10,28000.0,99.95,99.95,-366.6666666665976,99.94984236170824,?,?,?,28000.0,11712.0
29000.0,0.329954087,9.997288041810196E-10,29000.0,99.95172413793102,99.95172413793102,-366.6666666667382,99.95157719977863,?,?,?,29000.0,11712.0
30000.0,0.3365505,1.0197152942419054E-9,30000.0,99.95333333333333,99.95333333333333,-366.66666666666663,99.95319604172239,?,?,?,30000.0,11712.0
31000.0,0.343129549,1.0396491730709873E-9,31000.0,99.95483870967742,99.95483870967742,-366.6666666667814,99.95471014492753,?,?,?,31000.0,11712.0
32000.0,0.349730637,1.0596498279273511E-9,32000.0,99.95625,99.95625,-366.6666666666272,99.95612935572825,?,?,?,32000.0,11712.0
33000.0,0.356483441,1.0801101675132912E-9,33000.0,99.95757575757575,99.95757575757575,-366.66666666642243,99.95746232377249,?,?,?,33000.0,11712.0
34000.0,0.363196565,1.1004502805570762E-9,34000.0,99.95882352941177,99.95882352941177,-366.66666666683443,99.9587166784619,?,?,?,34000.0,11712.0
35000.0,0.369810902,1.1204910785953205E-9,35000.0,99.96000000000001,99.96000000000001,-366.6666666668394,99.95989917506874,?,?,?,35000.0,11712.0
36000.0,0.376588566,1.141026741564274E-9,36000.0,99.96111111111111,99.96111111111111,-366.6666666667111,99.9610158164402,?,?,?,36000.0,11712.0
37000.0,0.384019087,1.1635404977699122E-9,37000.0,99.96216216216216,99.96216216216216,-366.666666666758,99.96207195491981,?,?,?,37000.0,11712.0
38000.0,0.391282446,1.185547769367695E-9,38000.0,99.96315789473684,99.96315789473684,-366.6666666665729,99.96307237813885,?,?,?,38000.0,11712.0
39000.0,0.399044376,1.209065662622452E-9,39000.0,99.96410256410256,99.96410256410256,-366.66666666661854,99.96402138157895,?,?,?,39000.0,11712.0
40000.0,0.406488946,1.2316219859321914E-9,40000.0,99.965,99.965,-366.6666666663213,99.9649228302265,?,?,?,40000.0,11712.0
41000.0,0.41325485,1.2521220172444981E-9,41000.0,99.96585365853659,99.96585365853659,-366.66666666666663,99.96578021118498,?,?,?,41000.0,11712.0
42000.0,0.419979101,1.2724958440164726E-9,42000.0,99.96666666666667,99.96666666666667,-366.6666666663558,99.9665966787555,?,?,?,42000.0,11712.0
43000.0,0.4265766,1.2924856245517732E-9,43000.0,99.96744186046512,99.96744186046512,-366.66666666656056,99.96737509321402,?,?,?,43000.0,11712.0
44000.0,0.433056227,1.3121182643870513E-9,44000.0,99.96818181818182,99.96818181818182,-366.66666666672097,99.9681180542904,?,?,?,44000.0,11712.0
45000.0,0.439787314,1.3325128035744032E-9,45000.0,99.96888888888888,99.96888888888888,-366.6666666667777,99.96882793017457,?,?,?,45000.0,11712.0
46000.0,0.446145166,1.3517764769991239E-9,46000.0,99.9695652173913,99.9695652173913,-366.6666666663262,99.96950688273219,?,?,?,46000.0,11712.0
47000.0,0.45252795,1.371115691959858E-9,47000.0,99.97021276595744,99.97021276595744,-366.66666666649274,99.97015688949521,?,?,?,47000.0,11712.0
48000.0,0.458864796,1.3903157192468644E-9,48000.0,99.97083333333333,99.97083333333333,-366.6666666669627,99.97077976289864,?,?,?,48000.0,11712.0
49000.0,0.464992161,1.4088810394704343E-9,49000.0,99.97142857142856,99.97142857142856,-366.66666666648536,99.97137716715734,?,?,?,49000.0,11712.0
