learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes)
1000.0,0.277096424,1.399160140054259E-7,1000.0,8.799999999999999,8.799999999999999,-30299.99999999997,0.0,?,?,?,1000.0,1951816.0
2000.0,0.654076319,3.302668078091886E-7,2000.0,4.3999999999999995,4.3999999999999995,-63633.333333335635,0.0,?,?,?,2000.0,1951816.0
3000.0,0.976347549,4.92993216469828E-7,3000.0,2.933333333333333,2.933333333333333,-96966.66666666658,0.0,?,?,?,3000.0,1951816.0
4000.0,1.386353377,7.000199992216482E-7,4000.0,2.1999999999999997,2.1999999999999997,-130299.99999999507,0.0,?,?,?,4000.0,1951816.0
5000.0,1.67900064,8.47788194702069E-7,5000.0,1.76,1.76,-163633.33333332106,0.0,?,?,?,5000.0,1951816.0
6000.0,1.998974177,1.0093544150018215E-6,6000.0,1.4666666666666666,1.4666666666666666,-196966.66666668837,0.0,?,?,?,6000.0,1951816.0
7000.0,2.298043357,1.1603652688173556E-6,7000.0,1.2571428571428571,1.2571428571428571,-230299.99999999127,0.0,?,?,?,7000.0,1951816.0
8000.0,2.590204215,1.3078878608078075E-6,8000.0,1.0999999999999999,1.0999999999999999,-263633.33333332336,0.0,?,?,?,8000.0,1951816.0
9000.0,2.944488519,1.4867788292468898E-6,9000.0,0.9777777777777777,0.9777777777777777,-296966.6666666994,0.0,?,?,?,9000.0,1951816.0
10000.0,3.217919611,1.624844084458523E-6,10000.0,0.88,0.88,-330300.0000000364,0.0,?,?,?,10000.0,1951816.0
11000.0,3.511847732,1.7732590315039043E-6,11000.0,0.8,0.8,-363633.3333332791,0.0,?,?,?,11000.0,1951816.0
12000.0,3.839080276,1.9384905871783114E-6,12000.0,0.7333333333333333,0.7333333333333333,-396966.6666667104,0.0,?,?,?,12000.0,1951816.0
13000.0,4.125076196,2.082900278832126E-6,13000.0,0.676923076923077,0.676923076923077,-430299.9999999518,0.0,?,?,?,13000.0,1951816.0
14000.0,4.459474768,2.2517502214187053E-6,14000.0,0.6285714285714286,0.6285714285714286,-463633.33333331574,0.0,?,?,?,14000.0,1951816.0
15000.0,4.759108888,2.403046333888289E-6,15000.0,0.5866666666666667,0.5866666666666667,-496966.66666672134,0.0,?,?,?,15000.0,1951816.0
16000.0,5.052050628,2.550963221464629E-6,16000.0,0.5499999999999999,0.5499999999999999,-530299.9999999799,0.0,?,?,?,16000.0,1951816.0
17000.0,5.381849106,2.7174904100898282E-6,17000.0,0.5176470588235295,0.5176470588235295,-563633.3333332076,0.0,?,?,?,17000.0,1951816.0
18000.0,5.685753755,2.87094286722366E-6,18000.0,0.4888888888888889,0.4888888888888889,-596966.6666667324,0.0,?,?,?,18000.0,1951816.0
19000.0,6.006628483,3.0329641314779947E-6,19000.0,0.46315789473684216,0.46315789473684216,-630299.9999998828,0.0,?,?,?,19000.0,1951816.0
20000.0,6.311465391,3.1868873199241174E-6,20000.0,0.44,0.44,-663633.3333334065,0.0,?,?,?,20000.0,1951816.0
21000.0,6.613212211,3.339250211093051E-6,21000.0,0.41904761904761906,0.41904761904761906,-696966.6666668209,0.0,?,?,?,21000.0,1951816.0
22000.0,6.921094796,3.494711272095003E-6,22000.0,0.4,0.4,-730300.0000001886,0.0,?,?,?,22000.0,1951816.0
23000.0,7.231603712,3.651498462679121E-6,23000.0,0.3826086956521739,0.3826086956521739,-763633.3333335588,0.0,?,?,?,23000.0,1951816.0
24000.0,7.530511261,3.802427703152508E-6,24000.0,0.36666666666666664,0.36666666666666664,-796966.6666664005,0.0,?,?,?,24000.0,1951816.0
25000.0,7.847030685,3.962249816776657E-6,25000.0,0.35200000000000004,0.35200000000000004,-830299.9999999378,0.0,?,?,?,25000.0,1951816.0
26000.0,8.158973299,4.119760933373792E-6,26000.0,0.3384615384615385,0.3384615384615385,-863633.3333332366,0.0,?,?,?,26000.0,1951816.0
27000.0,8.485630944,4.284702201734582E-6,27000.0,0.3259259259259259,0.3259259259259259,-896966.6666670642,0.0,?,?,?,27000.0,1951816.0
28000.0,8.771158295,4.428875295940403E-6,28000.0,0.3142857142857143,0.3142857142857143,-930299.9999999647,0.0,?,?,?,28000.0,1951816.0
29000.0,9.058663652,4.574047156969714E-6,29000.0,0.30344827586206896,0.30344827586206896,-963633.3333334038,0.0,?,?,?,29000.0,1951816.0
30000.0,9.386167746,4.739415828067896E-6,30000.0,0.29333333333333333,0.29333333333333333,-996966.6666667765,0.0,?,?,?,30000.0,1951816.0
31000.0,9.655891735,4.8756092327959314E-6,31000.0,0.2838709677419355,0.2838709677419355,-1030300.0000002279,0.0,?,?,?,31000.0,1951816.0
32000.0,9.935521392,5.016804367833634E-6,32000.0,0.27499999999999997,0.27499999999999997,-1063633.333333293,0.0,?,?,?,32000.0,1951816.0
33000.0,10.246607619,5.173883063637471E-6,33000.0,0.26666666666666666,0.26666666666666666,-1096966.6666660567,0.0,?,?,?,33000.0,1951816.0
34000.0,10.534530361,5.319265677460566E-6,34000.0,0.25882352941176473,0.25882352941176473,-1130300.0000004591,0.0,?,?,?,34000.0,1951816.0
35000.0,10.848061492,5.477578893787504E-6,35000.0,0.2514285714285714,0.2514285714285714,-1163633.3333338923,0.0,?,?,?,35000.0,1951816.0
36000.0,11.164842998,5.637533342099532E-6,36000.0,0.24444444444444444,0.24444444444444444,-1196966.6666667985,0.0,?,?,?,36000.0,1951816.0
37000.0,11.466645318,5.789924257227293E-6,37000.0,0.23783783783783785,0.23783783783783785,-1230300.000000181,0.0,?,?,?,37000.0,1951816.0
38000.0,11.838010665,5.9774400625268295E-6,38000.0,0.23157894736842108,0.23157894736842108,-1263633.3333330983,0.0,?,?,?,38000.0,1951816.0
39000.0,12.139022052,6.129431606955006E-6,39000.0,0.22564102564102562,0.22564102564102562,-1296966.6666665217,0.0,?,?,?,39000.0,1951816.0
40000.0,12.460537812,6.291776551468346E-6,40000.0,0.22,0.22,-1330299.9999991618,0.0,?,?,?,40000.0,1951816.0
41000.0,12.779070835,6.4526154041099765E-6,41000.0,0.21463414634146344,0.21463414634146344,-1363633.333333332,0.0,?,?,?,41000.0,1951816.0
42000.0,13.082575635,6.605865963011141E-6,42000.0,0.20952380952380953,0.20952380952380953,-1396966.6666658898,0.0,?,?,?,42000.0,1951816.0
43000.0,13.434407776,6.783518745595282E-6,43000.0,0.20465116279069767,0.20465116279069767,-1430299.9999994694,0.0,?,?,?,43000.0,1951816.0
44000.0,13.743146194,6.93941194765588E-6,44000.0,0.2,0.2,-1463633.3333337111,0.0,?,?,?,44000.0,1951816.0
45000.0,14.031041765,7.084780841857618E-6,45000.0,0.19555555555555554,0.19555555555555554,-1496966.6666668314,0.0,?,?,?,45000.0,1951816.0
46000.0,14.326875603,7.234158054393883E-6,46000.0,0.19130434782608696,0.19130434782608696,-1530299.9999991492,0.0,?,?,?,46000.0,1951816.0
47000.0,14.611172465,7.377709830165953E-6,47000.0,0.18723404255319148,0.18723404255319148,-1563633.3333326376,0.0,?,?,?,47000.0,1951816.0
48000.0,14.937665876,7.542568170835681E-6,48000.0,0.18333333333333332,0.18333333333333332,-1596966.6666675517,0.0,?,?,?,48000.0,1951816.0
49000.0,15.238294461,7.694366424678507E-6,49000.0,0.17959183673469387,0.17959183673469387,-1630299.9999990934,0.0,?,?,?,49000.0,1951816.0
50000.0,15.504472397,7.828769298897163E-6,50000.0,0.17600000000000002,0.17600000000000002,-1663633.333334748,0.0,?,?,?,50000.0,1951816.0
51000.0,15.821613746,7.988905444964438E-6,51000.0,0.17254901960784313,0.17254901960784313,-1696966.6666662882,0.0,?,?,?,51000.0,1951816.0
52000.0,16.111291484,8.135174219790157E-6,52000.0,0.16923076923076924,0.16923076923076924,-1730300.0000014715,0.0,?,?,?,52000.0,1951816.0
53000.0,16.437175107,8.299724656427358E-6,53000.0,0.1660377358490566,0.1660377358490566,-1763633.333335029,0.0,?,?,?,53000.0,1951816.0
54000.0,16.752417694,8.458902048834987E-6,54000.0,0.16296296296296295,0.16296296296296295,-1796966.6666656674,0.0,?,?,?,54000.0,1951816.0
55000.0,17.0380584,8.6031323800832E-6,55000.0,0.16,0.16,-1830300.0000012177,0.0,?,?,?,55000.0,1951816.0
56000.0,17.356521713,8.763936033622672E-6,56000.0,0.15714285714285714,0.15714285714285714,-1863633.3333332627,0.0,?,?,?,56000.0,1951816.0
57000.0,17.672673192,8.923572358498522E-6,57000.0,0.1543859649122807,0.1543859649122807,-1896966.66666498,0.0,?,?,?,57000.0,1951816.0
58000.0,17.986987887,9.082281224650223E-6,58000.0,0.15172413793103448,0.15172413793103448,-1930299.9999980694,0.0,?,?,?,58000.0,1951816.0
59000.0,18.351307596,9.266239432306114E-6,59000.0,0.14915254237288136,0.14915254237288136,-1963633.3333352937,0.0,?,?,?,59000.0,1951816.0
60000.0,18.629464351,9.406690845812207E-6,60000.0,0.14666666666666667,0.14666666666666667,-1996966.6666668868,0.0,?,?,?,60000.0,1951816.0
61000.0,18.953125663,9.570119157188778E-6,61000.0,0.1442622950819672,0.1442622950819672,-2030300.0000011253,0.0,?,?,?,61000.0,1951816.0
62000.0,19.258009317,9.724065949382276E-6,62000.0,0.14193548387096774,0.14193548387096774,-2063633.3333314222,0.0,?,?,?,62000.0,1951816.0
63000.0,19.590370275,9.89188702690865E-6,63000.0,0.13968253968253969,0.13968253968253969,-2096966.6666655007,0.0,?,?,?,63000.0,1951816.0
64000.0,19.904774618,1.0050641159580367E-5,64000.0,0.13749999999999998,0.13749999999999998,-2130299.9999999194,0.0,?,?,?,64000.0,1951816.0
65000.0,20.242952429,1.0221399376727913E-5,65000.0,0.13538461538461538,0.13538461538461538,-2163633.3333351733,0.0,?,?,?,65000.0,1951816.0
66000.0,20.55016336,1.0376521295314693E-5,66000.0,0.13333333333333333,0.13333333333333333,-2196966.666665445,0.0,?,?,?,66000.0,1951816.0
67000.0,20.88102594,1.0543585787554952E-5,67000.0,0.13134328358208955,0.13134328358208955,-2230299.9999986775,0.0,?,?,?,67000.0,1951816.0
68000.0,21.169866014,1.0689431595507755E-5,68000.0,0.12941176470588237,0.12941176470588237,-2263633.3333342527,0.0,?,?,?,68000.0,1951816.0
69000.0,21.507929784,1.0860132229226677E-5,69000.0,0.12753623188405797,0.12753623188405797,-2296966.6666653897,0.0,?,?,?,69000.0,1951816.0
70000.0,21.875046939,1.1045502968621755E-5,70000.0,0.1257142857142857,0.1257142857142857,-2330300.000001119,0.0,?,?,?,70000.0,1951816.0
71000.0,22.244247358,1.1231925623414345E-5,71000.0,0.12394366197183099,0.12394366197183099,-2363633.333334206,0.0,?,?,?,71000.0,1951816.0
72000.0,22.596622534,1.1409852604025183E-5,72000.0,0.12222222222222222,0.12222222222222222,-2396966.666663737,0.0,?,?,?,72000.0,1951816.0
73000.0,22.954577164,1.1590596852909416E-5,73000.0,0.12054794520547946,0.12054794520547946,-2430299.9999967595,0.0,?,?,?,73000.0,1951816.0
74000.0,23.315102921,1.1772639356878103E-5,74000.0,0.11891891891891893,0.11891891891891893,-2463633.3333303225,0.0,?,?,?,74000.0,1951816.0
75000.0,23.659826874,1.1946702958059596E-5,75000.0,0.11733333333333333,0.11733333333333333,-2496966.666664169,0.0,?,?,?,75000.0,1951816.0
76000.0,23.966108081,1.210135542534734E-5,76000.0,0.11578947368421054,0.11578947368421054,-2530299.9999995297,0.0,?,?,?,76000.0,1951816.0
77000.0,24.298202358,1.2269041845984272E-5,77000.0,0.1142857142857143,0.1142857142857143,-2563633.3333319076,0.0,?,?,?,77000.0,1951816.0
78000.0,24.643410875,1.24433501210682E-5,78000.0,0.11282051282051281,0.11282051282051281,-2596966.666666376,0.0,?,?,?,78000.0,1951816.0
79000.0,24.973300513,1.2609923339676943E-5,79000.0,0.11139240506329114,0.11139240506329114,-2630300.0000021392,0.0,?,?,?,79000.0,1951816.0
80000.0,25.309482387,1.2779673735990084E-5,80000.0,0.11,0.11,-2663633.333331655,0.0,?,?,?,80000.0,1951816.0
81000.0,25.631070774,1.2942055352504465E-5,81000.0,0.10864197530864197,0.10864197530864197,-2696966.666665167,0.0,?,?,?,81000.0,1951816.0
82000.0,25.944723773,1.3100430104395626E-5,82000.0,0.10731707317073172,0.10731707317073172,-2730300.00000414,0.0,?,?,?,82000.0,1951816.0
