learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
38522.0,8.576001684,3.7826190534786875E-6,38522.0,96.6,0.0,-Infinity,-Infinity,38522.0,1718480.0,20.0,20.0,20.0,0.0,100.0,100.0,28.0,1.0,0.8,0.7,2045.7083333333344,7613.271254850307,8257.0,9937.243866579183
77044.0,21.004402108,1.1636694857555577E-5,77044.0,99.8,0.0,-Infinity,-Infinity,77044.0,2442768.0,20.0,20.0,20.0,0.0,100.0,100.0,65.0,0.7410000000000001,0.8,0.7,1709.566666666665,6816.329680615946,14287.800000000001,9088.020148072113
115566.0,39.767302485,2.6585464547260126E-5,115566.0,98.5,0.0,-Infinity,-Infinity,115566.0,3079696.0,20.0,20.0,20.0,0.0,100.0,100.0,97.0,0.5349375654724492,0.8,0.7,2903.0333333333315,10430.808293029755,19591.266666666674,3133.857095982397
154088.0,59.875143448,4.290694465143757E-5,154088.0,87.8,0.0,-Infinity,-Infinity,154088.0,3137592.0,20.0,20.0,20.0,0.0,100.0,100.0,137.0,0.785,0.8,0.7,6109.033333333334,20368.992370771815,20073.33333333334,14.96962377130198
192610.0,81.635953599,6.045831024717715E-5,192610.0,91.8,0.0,-Infinity,-Infinity,192610.0,3117728.0,20.0,20.0,20.0,0.0,100.0,100.0,172.0,0.7330000000000001,0.8,0.7,8641.599999999993,29834.27514512954,19907.933333333338,1814.9938339749106
231132.0,104.253750847,7.881711507673727E-5,231132.0,91.3,0.0,-Infinity,-Infinity,231132.0,3137592.0,20.0,20.0,20.0,0.0,100.0,100.0,207.0,0.49433333333333335,0.8,0.7,8746.683333333334,33940.852389226806,20073.33333333334,14.96962377130198
269654.0,125.002322439,9.565867449885857E-5,269654.0,81.89999999999999,0.0,-Infinity,-Infinity,269654.0,3137592.0,20.0,20.0,20.0,0.0,100.0,100.0,233.0,1.0,0.8,0.7,11572.508333333337,43102.76787403904,20073.33333333334,14.96962377130198
308176.0,145.81736768,1.1271789036155733E-4,308176.0,87.4,0.0,-Infinity,-Infinity,308176.0,3167992.0,20.0,20.0,20.0,0.0,100.0,100.0,263.0,1.0,0.8,0.7,2834.7833333333333,8845.302655189631,20326.666666666668,833.7153186148115
346698.0,167.992661187,1.30891913736221E-4,346698.0,99.9,0.0,-Infinity,-Infinity,346698.0,3167992.0,20.0,20.0,20.0,0.0,100.0,100.0,295.0,1.0,0.8,0.7,6042.016666666669,19435.866618872715,20326.666666666668,833.7153186148115
385220.0,188.807204005,1.4793434823140005E-4,385220.0,98.5,0.0,-Infinity,-Infinity,385220.0,3164952.0,20.0,20.0,20.0,0.0,100.0,100.0,338.0,0.79,0.8,0.7,8539.324999999999,28944.036083612362,20301.333333333332,794.6194410045653
423742.0,210.519005608,1.656260598478573E-4,423742.0,100.0,?,?,?,423742.0,3149752.0,20.0,20.0,20.0,0.0,100.0,100.0,369.0,0.40511174362218005,0.8,0.7,5415.033333333329,26681.034663940136,20174.666666666664,541.9400775169221
