learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
38522.0,1.02624687,7.601957348287105E-8,38522.0,100.0,?,?,?,38522.0,296608.0,3.0
77044.0,2.204671007,1.8479332427440415E-7,77044.0,100.0,?,?,?,77044.0,356800.0,6.0
115566.0,3.632938585,3.240422522559431E-7,115566.0,100.0,?,?,?,115566.0,376864.0,7.0
154088.0,5.101833655,4.672521570143269E-7,154088.0,100.0,?,?,?,154088.0,376864.0,7.0
192610.0,6.564963876,6.099000178983062E-7,192610.0,100.0,?,?,?,192610.0,376864.0,7.0
231132.0,8.051591647,7.548387720981406E-7,231132.0,100.0,?,?,?,231132.0,376864.0,7.0
269654.0,9.516682355,8.976777706353697E-7,269654.0,100.0,?,?,?,269654.0,376864.0,7.0
308176.0,10.408279956,9.67494857589114E-7,308176.0,100.0,?,?,?,308176.0,302688.0,3.0
346698.0,11.499223981,1.0529218862954113E-6,346698.0,100.0,?,?,?,346698.0,302688.0,3.0
385220.0,12.600519806,1.139159518933255E-6,385220.0,100.0,?,?,?,385220.0,302688.0,3.0
423742.0,13.780422295,1.2438012293591434E-6,423742.0,100.0,?,?,?,423742.0,342816.0,5.0
462264.0,15.390497878,1.4033080147466147E-6,462264.0,100.0,?,?,?,462264.0,382944.0,7.0
500786.0,17.347051683,1.6032945936874218E-6,500786.0,100.0,?,?,?,500786.0,395104.0,7.0
539308.0,19.166202275,1.7972484428504773E-6,539308.0,100.0,?,?,?,539308.0,412128.0,8.0
577830.0,21.471571912,2.0466680176704212E-6,577830.0,100.0,?,?,?,577830.0,418208.0,8.0
616352.0,24.252348665,2.3763898644597003E-6,616352.0,100.0,?,?,?,616352.0,458336.0,10.0
654874.0,27.101754341,2.718731000860499E-6,654874.0,100.0,?,?,?,654874.0,464416.0,10.0
693396.0,29.957043863,3.0617790504758725E-6,693396.0,100.0,?,?,?,693396.0,464416.0,10.0
731918.0,32.804058171,3.4038328765629565E-6,731918.0,100.0,?,?,?,731918.0,464416.0,10.0
770440.0,35.708505235,3.75278694683825E-6,770440.0,100.0,?,?,?,770440.0,464416.0,10.0
808962.0,38.526143067,4.057629180714703E-6,808962.0,100.0,?,?,?,808962.0,418208.0,8.0
847484.0,40.967625526,4.321774898208652E-6,847484.0,100.0,?,?,?,847484.0,418208.0,8.0
886006.0,43.460092677,4.591436685662435E-6,886006.0,100.0,?,?,?,886006.0,418208.0,8.0
924528.0,45.952117463,4.846155728049228E-6,924528.0,100.0,?,?,?,924528.0,395104.0,7.0
963050.0,48.260884456,5.082143315674769E-6,963050.0,100.0,?,?,?,963050.0,395104.0,7.0
1001572.0,50.513718592,5.312413799741375E-6,1001572.0,100.0,?,?,?,1001572.0,395104.0,7.0
1040094.0,52.779919295,5.542268275971023E-6,1040094.0,100.0,?,?,?,1040094.0,392064.0,7.0
1078616.0,55.078295562,5.777193789177685E-6,1078616.0,100.0,?,?,?,1078616.0,395104.0,7.0
1117138.0,57.387907713,6.013267763518814E-6,1117138.0,100.0,?,?,?,1117138.0,395104.0,7.0
1155660.0,59.749529066,6.254657790173374E-6,1155660.0,100.0,?,?,?,1155660.0,395104.0,7.0
1194182.0,62.054058527,6.490212244027861E-6,1194182.0,100.0,?,?,?,1194182.0,395104.0,7.0
1232704.0,64.436700176,6.7337508326461245E-6,1232704.0,100.0,?,?,?,1232704.0,395104.0,7.0
1271226.0,66.908636374,6.986416546379443E-6,1271226.0,100.0,?,?,?,1271226.0,395104.0,7.0
1309748.0,69.137862799,7.214273999254446E-6,1309748.0,100.0,?,?,?,1309748.0,395104.0,7.0
1348270.0,71.5327473,7.459063974919517E-6,1348270.0,100.0,?,?,?,1348270.0,395104.0,7.0
1386792.0,73.879542144,7.698938529418408E-6,1386792.0,100.0,?,?,?,1386792.0,395104.0,7.0
1425314.0,76.226477748,7.938827471515933E-6,1425314.0,100.0,?,?,?,1425314.0,395104.0,7.0
1463836.0,78.544773658,8.175789044884658E-6,1463836.0,100.0,?,?,?,1463836.0,395104.0,7.0
1502358.0,80.812344728,8.407565845315886E-6,1502358.0,100.0,?,?,?,1502358.0,395104.0,7.0
1540880.0,83.131691806,8.644634862441933E-6,1540880.0,100.0,?,?,?,1540880.0,395104.0,7.0
1579402.0,85.433477446,8.879908860234535E-6,1579402.0,100.0,?,?,?,1579402.0,395104.0,7.0
1617924.0,87.83136325,9.125005610146142E-6,1617924.0,100.0,?,?,?,1617924.0,395104.0,7.0
1656446.0,90.081474799,9.3549978085563E-6,1656446.0,100.0,?,?,?,1656446.0,395104.0,7.0
1694968.0,92.440850071,9.608404760206682E-6,1694968.0,100.0,?,?,?,1694968.0,415168.0,8.0
1733490.0,94.993837194,9.882606449153648E-6,1733490.0,100.0,?,?,?,1733490.0,415168.0,8.0
1772012.0,97.653116126,1.0168224331032593E-5,1772012.0,100.0,?,?,?,1772012.0,415168.0,8.0
1810534.0,100.16840176,1.043837671950856E-5,1810534.0,100.0,?,?,?,1810534.0,415168.0,8.0
1849056.0,102.653089454,1.0692345810667484E-5,1849056.0,100.0,100.0,100.0,100.0,1849056.0,395104.0,7.0
1887578.0,104.982573866,1.093045100208174E-5,1887578.0,100.0,?,?,?,1887578.0,395104.0,7.0
1926100.0,107.350931854,1.1172529605040094E-5,1926100.0,100.0,?,?,?,1926100.0,395104.0,7.0
1964622.0,109.762013213,1.1418975121285103E-5,1964622.0,100.0,?,?,?,1964622.0,395104.0,7.0
2003144.0,112.107287937,1.1658694298713554E-5,2003144.0,100.0,?,?,?,2003144.0,395104.0,7.0
2041666.0,114.510809583,1.1904367108817398E-5,2041666.0,100.0,?,?,?,2041666.0,395104.0,7.0
2080188.0,116.989818817,1.2157755783641157E-5,2080188.0,100.0,?,?,?,2080188.0,395104.0,7.0
2118710.0,119.389102709,1.2402995437282507E-5,2118710.0,100.0,?,?,?,2118710.0,395104.0,7.0
2157232.0,121.803393291,1.2649768980043928E-5,2157232.0,100.0,?,?,?,2157232.0,395104.0,7.0
2195754.0,124.402568001,1.2930975533928523E-5,2195754.0,100.0,?,?,?,2195754.0,418208.0,8.0
2234276.0,127.125806729,1.3225604661843495E-5,2234276.0,100.0,?,?,?,2234276.0,418208.0,8.0
