learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38522.0,3.907865314,7.07086881016439E-7,38522.0,100.0,?,?,?,38522.0,717472.0,10.0,0.0,230982.19999999998,410.7117940573152,36376.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77044.0,5.6334265,1.0281191477787204E-6,77044.0,100.0,?,?,?,77044.0,719152.0,10.0,0.0,462182.4,408.5438097003095,36376.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115566.0,7.234404301,1.32666909413757E-6,115566.0,100.0,?,?,?,115566.0,720832.0,10.0,0.0,693254.7000000001,927.6038486336387,36376.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154088.0,8.834953733,1.6251391583507134E-6,154088.0,100.0,?,?,?,154088.0,720832.0,10.0,0.0,924325.6,868.0640273364455,36376.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
192610.0,10.539283916,2.100660379757049E-6,192610.0,100.0,?,?,?,192610.0,1078496.0,10.0,0.0,1155354.0,913.018437199737,71958.4,3.373096170844159,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,3597.6000000000004,5792.686331343458,0.0,0.0,1.0033355570380253,0.005370757077381064
231132.0,12.435357478,2.629679477741598E-6,231132.0,100.0,?,?,?,231132.0,1078496.0,10.0,0.0,1386271.7000000002,999.0303131870828,71958.4,3.373096170844159,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,3597.6000000000004,5792.686331343458,0.0,0.0,1.0033355570380253,0.005370757077381064
269654.0,14.341874869,3.161612484293733E-6,269654.0,100.0,?,?,?,269654.0,1078496.0,10.0,0.0,1617298.0999999999,1065.5118175474643,71958.4,3.373096170844159,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,3597.6000000000004,5792.686331343458,0.0,0.0,1.0033355570380253,0.005370757077381064
308176.0,16.628532662,4.1961988782074054E-6,308176.0,100.0,?,?,?,308176.0,1748912.0,10.0,0.0,1848319.8,1106.6132316416695,138955.19999999998,16285.308312845802,9.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,3597.6000000000004,5792.686331343458,0.0,0.0,1.0033355570380253,0.005370757077381064
346698.0,18.870036733,5.452902732281813E-6,346698.0,100.0,?,?,?,346698.0,2167184.0,10.0,0.0,2079549.1000000003,986.8429403348737,180585.6,11903.68984064278,11.799999999999999,1.0327955589886446,6.3999999999999995,0.5163977794943223,6.3999999999999995,0.5163977794943223,5.3999999999999995,0.5163977794943223,9756.8,12365.992621343064,0.0,0.0,1.0041841520936603,0.005074983117551944
385220.0,20.954233089,6.687726899690756E-6,385220.0,100.0,?,?,?,385220.0,2290176.0,10.0,0.0,2310731.9000000004,858.1454745877267,192872.8,24820.091202267744,13.2,0.632455532033676,7.1,0.316227766016838,7.1,0.316227766016838,6.1,0.316227766016838,9756.8,12365.992621343064,0.0,0.0,1.0041841520936603,0.005074983117551944
423742.0,23.113626744,7.96710322355164E-6,423742.0,100.0,?,?,?,423742.0,2290176.0,10.0,0.0,2541841.0999999996,1009.3239156320626,192872.8,24820.091202267744,13.2,0.632455532033676,7.1,0.316227766016838,7.1,0.316227766016838,6.1,0.316227766016838,9756.8,12365.992621343064,0.0,0.0,1.0041841520936603,0.005074983117551944
462264.0,25.297316507,9.280980974131161E-6,462264.0,100.0,?,?,?,462264.0,2325768.0,10.0,0.0,2773064.6,1181.1963050700365,196430.4,25314.671807296083,13.2,0.632455532033676,7.1,0.316227766016838,7.1,0.316227766016838,6.1,0.316227766016838,9756.8,12365.992621343064,0.0,0.0,1.0041841520936603,0.005074983117551944
