learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38522.0,2.875218887,9.775000449838945E-7,38522.0,100.0,?,?,?,38522.0,1329664.0,10.0,38451.8,130.6996556996226,100472.0,36814.09971434556,5.400000000000001,0.8432740427115679,3.2000000000000006,0.42163702135578396,3.2000000000000006,0.42163702135578396,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77044.0,4.181529614,1.4268513766442446E-6,77044.0,100.0,?,?,?,77044.0,1329664.0,10.0,76943.9,163.86610387752654,100472.0,36814.09971434556,5.400000000000001,0.8432740427115679,3.2000000000000006,0.42163702135578396,3.2000000000000006,0.42163702135578396,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115566.0,5.370307685,1.8357732343704212E-6,115566.0,100.0,?,?,?,115566.0,1329664.0,10.0,115447.5,345.97181966166005,100472.0,36814.09971434556,5.400000000000001,0.8432740427115679,3.2000000000000006,0.42163702135578396,3.2000000000000006,0.42163702135578396,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154088.0,6.644626339,2.2741197719124995E-6,154088.0,100.0,?,?,?,154088.0,1329664.0,10.0,153906.6,373.2878543727625,100472.0,36814.09971434556,5.400000000000001,0.8432740427115679,3.2000000000000006,0.42163702135578396,3.2000000000000006,0.42163702135578396,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
192610.0,7.905545649,2.7310826275186944E-6,192610.0,100.0,?,?,?,192610.0,1400864.0,10.0,192409.1,342.4673382642173,107588.8,23805.43092470941,5.400000000000001,0.8432740427115679,3.2000000000000006,0.42163702135578396,3.2000000000000006,0.42163702135578396,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231132.0,9.192519412,3.1974877346232325E-6,231132.0,100.0,?,?,?,231132.0,1400864.0,10.0,230824.49999999997,373.0481797897539,107588.8,23805.43092470941,5.400000000000001,0.8432740427115679,3.2000000000000006,0.42163702135578396,3.2000000000000006,0.42163702135578396,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
269654.0,10.405508797,3.637080568830524E-6,269654.0,100.0,?,?,?,269654.0,1400864.0,10.0,269299.5,459.8563181400619,107588.8,23805.43092470941,5.400000000000001,0.8432740427115679,3.2000000000000006,0.42163702135578396,3.2000000000000006,0.42163702135578396,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
308176.0,11.863527372,4.223741469116923E-6,308176.0,100.0,?,?,?,308176.0,1555344.0,10.0,307774.30000000005,518.3087989906271,123021.6,19674.133922488174,7.6000000000000005,0.9660917830792959,4.3,0.4830458915396479,4.3,0.4830458915396479,3.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
346698.0,13.40829745,4.904997654052625E-6,346698.0,100.0,?,?,?,346698.0,1704704.0,10.0,346351.6,452.1929774873634,137936.0,33894.56215973294,11.4,2.065591117977289,6.2,1.0327955589886444,6.2,1.0327955589886444,5.0,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,0.0
385220.0,14.852459021,5.621668897812784E-6,385220.0,100.0,?,?,?,385220.0,1918256.0,10.0,384913.0,387.6341344905312,159281.59999999998,19078.286734167494,11.4,2.065591117977289,6.2,1.0327955589886444,6.2,1.0327955589886444,5.0,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,0.0
