learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38522.0,3.051251064,9.2669698749125E-7,38522.0,100.0,?,?,?,38522.0,1189216.0,10.0,38451.8,130.6996556996226,86144.0,45206.866735043695,4.9,1.5238839267549946,2.8,1.0327955589886444,2.8,1.0327955589886444,1.6,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
77044.0,4.333751575,1.3212595902818855E-6,77044.0,100.0,?,?,?,77044.0,1189216.0,10.0,76943.9,163.86610387752654,86144.0,45206.866735043695,4.9,1.5238839267549946,2.8,1.0327955589886444,2.8,1.0327955589886444,1.6,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
115566.0,5.606094277,1.7126971326742487E-6,115566.0,100.0,?,?,?,115566.0,1189216.0,10.0,115447.5,345.97181966166005,86144.0,45206.866735043695,4.9,1.5238839267549946,2.8,1.0327955589886444,2.8,1.0327955589886444,1.6,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
154088.0,6.820957263,2.0864509812527646E-6,154088.0,100.0,?,?,?,154088.0,1189216.0,10.0,153906.6,373.2878543727625,86144.0,45206.866735043695,4.9,1.5238839267549946,2.8,1.0327955589886444,2.8,1.0327955589886444,1.6,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
192610.0,7.971427113,2.4615852841917423E-6,192610.0,100.0,?,?,?,192610.0,1260416.0,10.0,192409.1,342.4673382642173,93260.8,38494.244201207825,4.9,1.5238839267549946,2.8,1.0327955589886444,2.8,1.0327955589886444,1.6,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
231132.0,9.12854775,2.8388882127102956E-6,231132.0,100.0,?,?,?,231132.0,1260416.0,10.0,230824.49999999997,373.0481797897539,93260.8,38494.244201207825,4.9,1.5238839267549946,2.8,1.0327955589886444,2.8,1.0327955589886444,1.6,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
269654.0,10.311580845,3.22464042989927E-6,269654.0,100.0,?,?,?,269654.0,1260416.0,10.0,269299.5,459.8563181400619,93260.8,38494.244201207825,4.9,1.5238839267549946,2.8,1.0327955589886444,2.8,1.0327955589886444,1.6,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
308176.0,11.678482073,3.724781215455623E-6,308176.0,100.0,?,?,?,308176.0,1414352.0,10.0,307774.30000000005,518.3087989906271,108640.79999999999,42355.05701094027,7.0,1.8257418583505538,3.6999999999999997,1.4944341180973264,3.6999999999999997,1.4944341180973264,2.5,1.4337208778404378,0.0,0.0,0.0,0.0,1.0,0.0
346698.0,13.107746598,4.289753022726503E-6,346698.0,100.0,?,?,?,346698.0,1527976.0,10.0,346351.6,452.1929774873634,119987.2,54845.34457464108,10.100000000000001,3.1428932176861775,5.1,2.3781411975649296,5.1,2.3781411975649296,3.9,2.4698178070456938,0.0,0.0,0.0,0.0,1.0,0.0
385220.0,14.528245488,4.903577848749672E-6,385220.0,100.0,?,?,?,385220.0,1670344.0,10.0,384913.0,387.6341344905312,134217.6,54638.999541841295,10.100000000000001,3.1428932176861775,5.1,2.3781411975649296,5.1,2.3781411975649296,3.9,2.4698178070456938,0.0,0.0,0.0,0.0,1.0,0.0
