learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38522.0,2.305199881,6.992308012292679E-7,38522.0,100.0,?,?,?,38522.0,1187736.0,10.0,32528.4,18149.4151861706,86190.40000000001,18371.367403290005,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77044.0,3.433744169,1.0459965197690225E-6,77044.0,100.0,?,?,?,77044.0,1187736.0,10.0,49955.8,22292.244360364934,86190.40000000001,18371.367403290005,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115566.0,4.447081449,1.3666932749954756E-6,115566.0,100.0,?,?,?,115566.0,1223328.0,10.0,71345.8,26869.034737655413,89748.0,18750.19833969171,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154088.0,5.466918406,1.6894470208854126E-6,154088.0,100.0,?,?,?,154088.0,1223328.0,10.0,92576.8,31595.188490232707,89748.0,18750.19833969171,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
192610.0,6.485841334,2.0119114986903117E-6,192610.0,100.0,?,?,?,192610.0,1223328.0,10.0,113509.3,36810.15880025513,89748.0,18750.19833969171,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231132.0,7.436477348,2.3127648188121265E-6,231132.0,100.0,?,?,?,231132.0,1223328.0,10.0,134118.6,42262.6461158209,89748.0,18750.19833969171,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
269654.0,8.401320233,2.618114270203898E-6,269654.0,100.0,?,?,?,269654.0,1223328.0,10.0,154673.6,48048.109735509424,89748.0,18750.19833969171,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
308176.0,9.301136598,3.0172460994230232E-6,308176.0,100.0,?,?,?,308176.0,1714608.0,10.0,235232.09999999998,45543.13101140744,138845.6,10915.003855040799,7.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
346698.0,10.082627765,3.3710606051064593E-6,346698.0,100.0,?,?,?,346698.0,1750064.0,10.0,269569.4,57287.15596051565,142386.4,16364.698722147825,7.800000000000001,1.9321835661585915,4.4,0.9660917830792958,4.4,0.9660917830792958,3.4000000000000004,0.9660917830792958,0.0,0.0,0.0,0.0,1.0,0.0
385220.0,10.901559363,3.7493664533696344E-6,385220.0,100.0,?,?,?,385220.0,1785656.0,10.0,279812.69999999995,66867.77570540902,145944.0,11278.188034136218,7.800000000000001,1.9321835661585915,4.4,0.9660917830792958,4.4,0.9660917830792958,3.4000000000000004,0.9660917830792958,0.0,0.0,0.0,0.0,1.0,0.0
423742.0,11.783120727,4.156604152364931E-6,423742.0,100.0,?,?,?,423742.0,1785656.0,10.0,289029.10000000003,76275.90246736587,145944.0,11278.188034136218,7.800000000000001,1.9321835661585915,4.4,0.9660917830792958,4.4,0.9660917830792958,3.4000000000000004,0.9660917830792958,0.0,0.0,0.0,0.0,1.0,0.0
462264.0,12.654405492,4.567117079168709E-6,462264.0,100.0,?,?,?,462264.0,1821248.0,10.0,299002.0,85902.95478296683,149501.6,15482.959717056685,7.800000000000001,1.9321835661585915,4.4,0.9660917830792958,4.4,0.9660917830792958,3.4000000000000004,0.9660917830792958,0.0,0.0,0.0,0.0,1.0,0.0
500786.0,13.565588512,4.996554742292259E-6,500786.0,100.0,?,?,?,500786.0,1821784.0,10.0,315144.8,96408.17904306669,149553.6,15592.596670642555,8.200000000000001,2.699794230842212,4.6000000000000005,1.349897115421106,4.6000000000000005,1.349897115421106,3.4000000000000004,0.9660917830792958,0.0,0.0,0.0,0.0,1.0,0.0
539308.0,14.46657447,5.429545948448448E-6,539308.0,100.0,?,?,?,539308.0,1857648.0,10.0,329352.5,106068.78330723786,153137.6,24781.686944641646,8.4,3.272783388968954,4.7,1.636391694484477,4.7,1.636391694484477,3.5,1.2692955176439846,0.0,0.0,0.0,0.0,1.0,0.0
577830.0,15.499865924,5.946662338357686E-6,577830.0,100.0,?,?,?,577830.0,1934496.0,10.0,364332.2,111293.96020729166,160816.8,39844.715196204714,9.0,4.216370213557839,5.0,2.1081851067789197,5.0,2.1081851067789197,3.8,1.6865480854231356,0.0,0.0,0.0,0.0,1.0,0.0
