learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
28.0,0.009831853,7.23902554826604E-10,28.0,100.0,?,?,?,28.0,295920.0,20.0,20.0,20.0,0.0,100.0,100.0,0.0,0.0,0.8,0.7,3.0833333333333344,7.315901104005263,274.6666666666666,185.62333476414966
56.0,0.08961308,7.125767849327789E-9,56.0,100.0,?,?,?,56.0,310176.0,20.0,20.0,20.0,0.0,100.0,100.0,0.0,0.0,0.8,0.7,7.4583333333333295,17.12283640670097,274.6666666666666,185.62333476414966
84.0,0.125549007,1.0141675487469054E-8,84.0,100.0,?,?,?,84.0,324408.0,20.0,20.0,20.0,0.0,100.0,100.0,0.0,0.0,0.8,0.7,11.058333333333335,26.173081249116038,274.6666666666666,185.62333476414966
112.0,0.177216992,1.4823494890092147E-8,112.0,100.0,?,?,?,112.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,15.724999999999987,36.05690239169242,279.73333333333323,191.55110923975454
140.0,0.221054719,1.879578683907166E-8,140.0,100.0,?,?,?,140.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,19.391666666666666,44.60589248359126,279.73333333333323,191.55110923975454
168.0,0.253600141,2.1744842974822968E-8,168.0,100.0,?,?,?,168.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,23.70833333333334,54.45735295914159,279.73333333333323,191.55110923975454
196.0,0.283582229,2.4461626323923055E-8,196.0,100.0,?,?,?,196.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,26.866666666666653,62.65282939191431,279.73333333333323,191.55110923975454
224.0,0.313683662,2.71892239468255E-8,224.0,100.0,?,?,?,224.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,30.308333333333323,71.46825067358046,279.73333333333323,191.55110923975454
252.0,0.34072755,2.9639766571252712E-8,252.0,100.0,?,?,?,252.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,32.79166666666666,78.98057370270845,279.73333333333323,191.55110923975454
280.0,0.367391116,3.205584687014421E-8,280.0,100.0,?,?,?,280.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,36.05833333333334,87.66420806321206,279.73333333333323,191.55110923975454
308.0,0.392231809,3.430675018023079E-8,308.0,100.0,?,?,?,308.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,38.97500000000001,95.69853423005765,279.73333333333323,191.55110923975454
336.0,0.411144962,3.6020538064162766E-8,336.0,100.0,?,?,?,336.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,40.525000000000034,101.74048073489762,279.73333333333323,191.55110923975454
364.0,0.430225904,3.774952990458243E-8,364.0,100.0,?,?,?,364.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,43.61666666666665,110.15086547670023,279.73333333333323,191.55110923975454
392.0,0.449495124,3.94955822824604E-8,392.0,100.0,?,?,?,392.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,47.933333333333316,119.39995167245152,279.73333333333323,191.55110923975454
420.0,0.469562793,4.1313984956565415E-8,420.0,100.0,?,?,?,420.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,50.500000000000036,127.76975089471483,279.73333333333323,191.55110923975454
448.0,0.4889754,4.307303013914989E-8,448.0,100.0,?,?,?,448.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,53.59166666666667,136.41222103469713,279.73333333333323,191.55110923975454
476.0,0.510105465,4.49877002834508E-8,476.0,100.0,?,?,?,476.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,57.9083333333333,145.62926314073405,279.73333333333323,191.55110923975454
504.0,0.53228115,4.699711776507811E-8,504.0,100.0,?,?,?,504.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,57.69166666666666,149.53810092231004,279.73333333333323,191.55110923975454
