learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
278.0,0.018980742,1.064363462415834E-9,278.0,100.0,?,?,?,278.0,227032.0,1.0
556.0,0.099441801,5.790110259111971E-9,556.0,100.0,?,?,?,556.0,227032.0,1.0
834.0,0.137878778,8.047642327294582E-9,834.0,100.0,?,?,?,834.0,227032.0,1.0
1112.0,0.171894664,1.0045508951213625E-8,1112.0,100.0,?,?,?,1112.0,227032.0,1.0
1390.0,0.203393262,1.1895526841220757E-8,1390.0,100.0,?,?,?,1390.0,227032.0,1.0
1668.0,0.227281679,1.3298573377258663E-8,1668.0,100.0,?,?,?,1668.0,227032.0,1.0
1946.0,0.249684466,1.4614363900253343E-8,1946.0,100.0,?,?,?,1946.0,227032.0,1.0
2224.0,0.270866929,1.585848071791025E-8,2224.0,100.0,?,?,?,2224.0,227032.0,1.0
2502.0,0.292775689,1.714525538476598E-8,2502.0,100.0,?,?,?,2502.0,227032.0,1.0
2780.0,0.313165581,1.8342821859798085E-8,2780.0,100.0,?,?,?,2780.0,227032.0,1.0
3058.0,0.333020577,1.9508972105787447E-8,3058.0,100.0,?,?,?,3058.0,227032.0,1.0
3336.0,0.353277141,2.069870778196181E-8,3336.0,100.0,?,?,?,3336.0,227032.0,1.0
3614.0,0.37360806,2.189281057568888E-8,3614.0,100.0,?,?,?,3614.0,227032.0,1.0
3892.0,0.392613849,2.300908405756578E-8,3892.0,100.0,?,?,?,3892.0,227032.0,1.0
4170.0,0.407103606,2.386011589307338E-8,4170.0,100.0,?,?,?,4170.0,227032.0,1.0
4448.0,0.421713884,2.4718226329543524E-8,4448.0,100.0,?,?,?,4448.0,227032.0,1.0
4726.0,0.436388469,2.5580113730958352E-8,4726.0,100.0,?,?,?,4726.0,227032.0,1.0
5004.0,0.452184405,2.6507861822775254E-8,5004.0,100.0,?,?,?,5004.0,227032.0,1.0
5282.0,0.468305803,2.7454725385144768E-8,5282.0,100.0,?,?,?,5282.0,227032.0,1.0
5560.0,0.484069094,2.838055612705234E-8,5560.0,100.0,?,?,?,5560.0,227032.0,1.0
5838.0,0.500078731,2.9320855592524427E-8,5838.0,100.0,?,?,?,5838.0,227032.0,1.0
6116.0,0.515884805,3.0249199122950024E-8,6116.0,100.0,?,?,?,6116.0,227032.0,1.0
6394.0,0.53163843,3.1174462148385746E-8,6394.0,100.0,?,?,?,6394.0,227032.0,1.0
6672.0,0.547497501,3.2105918369671956E-8,6672.0,100.0,?,?,?,6672.0,227032.0,1.0
6950.0,0.563169931,3.3026412541504126E-8,6950.0,100.0,?,?,?,6950.0,227032.0,1.0
7228.0,0.57879452,3.394409685158068E-8,7228.0,100.0,?,?,?,7228.0,227032.0,1.0
7506.0,0.594314537,3.485563929874658E-8,7506.0,100.0,?,?,?,7506.0,227032.0,1.0
7784.0,0.609880176,3.5769861278384936E-8,7784.0,100.0,?,?,?,7784.0,227032.0,1.0
8062.0,0.625432682,3.6683311913059E-8,8062.0,100.0,?,?,?,8062.0,227032.0,1.0
8340.0,0.641726197,3.7640790299119235E-8,8340.0,99.9,98.95724713242961,0.0,98.0392156862745,8340.0,227152.0,1.0
8618.0,0.657294739,3.855566609279978E-8,8618.0,99.9,99.77333309155529,0.0,99.69604863221885,8618.0,227152.0,1.0
8896.0,0.670536054,3.933378382341317E-8,8896.0,99.9,99.79049518557936,0.0,99.8,8896.0,227152.0,1.0
9174.0,0.683618963,4.010259292287961E-8,9174.0,99.9,99.51057165231009,0.0,99.8,9174.0,227152.0,1.0
9452.0,0.696475045,4.08580726732231E-8,9452.0,100.0,?,?,100.0,9452.0,227152.0,1.0
9730.0,0.70902598,4.1595620647822003E-8,9730.0,100.0,?,?,100.0,9730.0,227152.0,1.0
10008.0,0.721574287,4.2333014189617514E-8,10008.0,100.0,?,?,?,10008.0,227152.0,1.0
10286.0,0.733375957,4.3026532067399896E-8,10286.0,99.0,37.12273641851069,-400.0,-150.0,10286.0,227152.0,1.0
