learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
389.0,0.033778917,2.879343625735492E-9,389.0,100.0,?,?,?,389.0,346792.0,10.0,0.0,2335.5,72.41738588058658,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
778.0,0.09963665,8.816415332725478E-9,778.0,100.0,?,?,?,778.0,348472.0,10.0,0.0,4692.5,84.85183164395059,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1167.0,0.137879443,1.2264001424347774E-8,1167.0,100.0,?,?,?,1167.0,348472.0,10.0,0.0,7018.3,58.36104103861682,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1556.0,0.178547704,1.5947918474305835E-8,1556.0,100.0,?,?,?,1556.0,350152.0,10.0,0.0,9334.2,46.685234401372696,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1945.0,0.20859855,1.867006152205169E-8,1945.0,100.0,?,?,?,1945.0,350152.0,10.0,0.0,11663.7,79.69532260079286,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2334.0,0.236019631,2.1153988430659388E-8,2334.0,100.0,?,?,?,2334.0,350152.0,10.0,0.0,14000.400000000001,114.82276197107689,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2723.0,0.261638852,2.3485829175023567E-8,2723.0,100.0,?,?,?,2723.0,351832.0,10.0,0.0,16311.399999999998,127.95415845788946,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3112.0,0.28500583,2.561267258579946E-8,3112.0,100.0,?,?,?,3112.0,351832.0,10.0,0.0,18634.600000000002,136.02712147868803,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3501.0,0.305215565,2.745214629601894E-8,3501.0,100.0,?,?,?,3501.0,351832.0,10.0,0.0,20951.6,142.19407707621127,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3890.0,0.32537889,2.928739580562959E-8,3890.0,100.0,?,?,?,3890.0,351832.0,10.0,0.0,23290.500000000004,159.84245716051575,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4279.0,0.341750676,3.0777542506530876E-8,4279.0,100.0,?,?,?,4279.0,351832.0,10.0,0.0,25616.2,129.9442615551421,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4668.0,0.356333942,3.210489956569754E-8,4668.0,100.0,?,?,?,4668.0,351832.0,10.0,0.0,27956.600000000002,143.89286137802492,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5057.0,0.370404079,3.3385552038908414E-8,5057.0,100.0,?,?,?,5057.0,351832.0,10.0,0.0,30299.8,130.73195647753647,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5446.0,0.383653527,3.459726450209195E-8,5446.0,100.0,?,?,?,5446.0,353512.0,10.0,0.0,32620.2,141.51152289164,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5835.0,0.39672825,3.5792997698808704E-8,5835.0,100.0,?,?,?,5835.0,353512.0,10.0,0.0,34940.7,132.06231693997887,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6224.0,0.409771041,3.6985810592553264E-8,6224.0,100.0,?,?,?,6224.0,353512.0,10.0,0.0,37285.4,149.01096156547285,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6613.0,0.42321528,3.821533743429929E-8,6613.0,100.0,?,?,?,6613.0,353512.0,10.0,0.0,39602.2,159.746187574053,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7002.0,0.436238126,3.9406326281858816E-8,7002.0,100.0,?,?,?,7002.0,353512.0,10.0,0.0,41962.899999999994,157.24746950799167,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7391.0,0.449298213,4.060072096065308E-8,7391.0,100.0,?,?,?,7391.0,353512.0,10.0,0.0,44301.0,172.47286421025498,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7780.0,0.462759329,4.183179126830358E-8,7780.0,100.0,?,?,?,7780.0,353512.0,10.0,0.0,46607.5,146.28454008085268,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8169.0,0.476117113,4.3053411471146265E-8,8169.0,100.0,?,?,?,8169.0,353512.0,10.0,0.0,48942.899999999994,132.85786055446937,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8558.0,0.52101862,4.720275816437271E-8,8558.0,99.9,99.7454278848112,0.0,99.62825278810409,8558.0,358288.0,10.0,0.0,51256.8,139.7543877267859,1480.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8947.0,0.555428409,5.0300739877832436E-8,8947.0,99.9,99.77796921765234,0.0,99.8,8947.0,348016.0,10.0,9.0,6658.700000000001,16563.223458748736,1249.6,80.9543081003105,1.2000000000000002,0.6324555320336759,1.1000000000000003,0.31622776601683794,1.1000000000000003,0.31622776601683794,0.09999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
