learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
144.0,0.011999798,8.31520467657182E-10,144.0,100.0,?,?,?,144.0,282008.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
288.0,0.091379043,6.622686572644032E-9,288.0,100.0,?,?,?,288.0,282008.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
432.0,0.141939824,1.0311382291139E-8,432.0,100.0,?,?,?,432.0,282008.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
576.0,0.181251676,1.3280535365247892E-8,576.0,100.0,?,?,?,576.0,291952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720.0,0.214311621,1.5777493212123713E-8,720.0,100.0,?,?,?,720.0,291952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
864.0,0.244744378,1.807602430142876E-8,864.0,100.0,?,?,?,864.0,291952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1008.0,0.273183166,2.029687843894379E-8,1008.0,100.0,?,?,?,1008.0,301864.0,758.0,353.5533905932738,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1152.0,0.298328074,2.226050547428843E-8,1152.0,100.0,?,?,?,1152.0,301864.0,902.0,353.5533905932738,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1296.0,0.323772766,2.4247543371472923E-8,1296.0,100.0,?,?,?,1296.0,301864.0,1046.0,353.5533905932738,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1440.0,0.347938841,2.6134730956655824E-8,1440.0,100.0,?,?,?,1440.0,301864.0,1190.0,353.5533905932738,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
