learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
33.0,0.020905302,1.7375950879976155E-9,33.0,100.0,?,?,?,33.0,338424.0,10.0,31.7,6.000925854492048,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66.0,0.097137677,8.444911887242149E-9,66.0,100.0,?,?,?,66.0,340104.0,10.0,64.5,8.263036837493694,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
99.0,0.143600431,1.2553137688046943E-8,99.0,100.0,?,?,?,99.0,341784.0,10.0,98.90000000000002,12.260596324087269,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
132.0,0.190092197,1.6663928723080706E-8,132.0,100.0,?,?,?,132.0,341784.0,10.0,132.8,16.544888435203585,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
165.0,0.223947908,1.967215701589982E-8,165.0,100.0,?,?,?,165.0,343464.0,10.0,164.70000000000002,20.955243310976428,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
198.0,0.254990548,2.2430431622266774E-8,198.0,100.0,?,?,?,198.0,343464.0,10.0,197.7,21.751372881319977,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231.0,0.285086959,2.5104629635196184E-8,231.0,100.0,?,?,?,231.0,343464.0,10.0,232.2,25.21375286095533,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
264.0,0.308143167,2.7153274758340173E-8,264.0,100.0,?,?,?,264.0,343464.0,10.0,265.3,25.97028216164691,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
297.0,0.32884602,2.8992813976307715E-8,297.0,100.0,?,?,?,297.0,343464.0,10.0,298.0,26.973237765525216,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
330.0,0.348386554,3.0737568709539874E-8,330.0,100.0,?,?,?,330.0,345144.0,10.0,331.9,28.329215387024835,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
