learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
270.0,0.037883012,3.1028731062014895E-9,270.0,100.0,?,?,?,270.0,330808.0,10.0,270.9,25.57537878507374,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
540.0,0.124061742,1.0478071759024426E-8,540.0,100.0,?,?,?,540.0,330808.0,10.0,546.2,38.28489693512748,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
810.0,0.175114128,1.4847148542246883E-8,810.0,100.0,?,?,?,810.0,330808.0,10.0,818.2,41.710110684740854,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1080.0,0.221439587,1.8811693654575694E-8,1080.0,100.0,?,?,?,1080.0,330808.0,10.0,1088.5,36.16705068920544,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1350.0,0.25530723,2.171009555754976E-8,1350.0,100.0,?,?,?,1350.0,330808.0,10.0,1351.0000000000002,32.506409624359684,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1620.0,0.287228635,2.444193789442587E-8,1620.0,100.0,?,?,?,1620.0,330808.0,10.0,1613.6,34.293504406001496,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1890.0,0.31969571,2.7220478815150755E-8,1890.0,100.0,?,?,?,1890.0,330808.0,10.0,1887.7,41.92599299824501,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2160.0,0.355422222,3.027796322194652E-8,2160.0,100.0,?,?,?,2160.0,330808.0,10.0,2151.6,55.731897908149854,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2430.0,0.388661358,3.312257732856191E-8,2430.0,100.0,?,?,?,2430.0,330808.0,10.0,2420.5,67.45409962007915,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2700.0,0.421234071,3.591015877744597E-8,2700.0,100.0,?,?,?,2700.0,330808.0,10.0,2690.0,65.94779079780547,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
