learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
318.0,0.036559243,2.9725808644894924E-9,318.0,100.0,?,?,?,318.0,328496.0,10.0,175.2,51.01590166038646,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
636.0,0.128909745,1.0820725090108399E-8,636.0,100.0,?,?,?,636.0,328496.0,10.0,354.7,95.70562505237957,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
954.0,0.179989718,1.5161611024271698E-8,954.0,100.0,?,?,?,954.0,328496.0,10.0,528.4,152.10391184976143,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1272.0,0.227727966,1.9218509982789142E-8,1272.0,100.0,?,?,?,1272.0,328496.0,10.0,698.0,189.79228411901025,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1590.0,0.259865182,2.1949599697687145E-8,1590.0,100.0,?,?,?,1590.0,328496.0,10.0,872.4,240.60026784874717,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1908.0,0.290979041,2.4593722334373743E-8,1908.0,100.0,?,?,?,1908.0,328496.0,10.0,1045.4,292.05828946366927,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2226.0,0.32037267,2.709165612694083E-8,2226.0,100.0,?,?,?,2226.0,328496.0,10.0,1217.1000000000001,332.2861718458955,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2544.0,0.349716317,2.9585342341680077E-8,2544.0,100.0,?,?,?,2544.0,328496.0,10.0,1387.9,380.9229872588713,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2862.0,0.377672836,3.196114743647269E-8,2862.0,100.0,?,?,?,2862.0,328496.0,10.0,1565.1,432.41915108170474,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3180.0,0.400813649,3.39277034809875E-8,3180.0,100.0,?,?,?,3180.0,328496.0,10.0,1738.5,489.03607001710805,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3498.0,0.424227685,3.59174786035075E-8,3498.0,100.0,?,?,?,3498.0,328496.0,10.0,1911.6,546.0435880037418,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
