learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
52.0,0.016009004,1.229408098641369E-9,52.0,100.0,?,?,?,52.0,308160.0,20.0,20.0,20.0,0.0,100.0,100.0,0.0,0.0,0.8,0.7,6.791666666666667,15.661812377460619,274.6666666666666,185.62333476414966
104.0,0.095768607,8.456708657602883E-9,104.0,100.0,?,?,?,104.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,14.391666666666659,33.33287569713865,279.73333333333323,191.55110923975454
156.0,0.144117569,1.2837779612630192E-8,156.0,100.0,?,?,?,156.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,21.883333333333326,50.202310592198025,279.73333333333323,191.55110923975454
208.0,0.198389624,1.7748374443012808E-8,208.0,100.0,?,?,?,208.0,349752.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,27.641666666666634,65.9957721886691,275.5999999999999,187.98562433862648
260.0,0.235197343,2.108365242957448E-8,260.0,100.0,?,?,?,260.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,34.12500000000001,81.6966681587156,279.73333333333323,191.55110923975454
312.0,0.272935207,2.450321415408825E-8,312.0,100.0,?,?,?,312.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,39.641666666666666,97.03475907007298,279.73333333333323,191.55110923975454
364.0,0.306853592,2.7576679337579346E-8,364.0,100.0,?,?,?,364.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,43.61666666666665,110.15086547670023,279.73333333333323,191.55110923975454
416.0,0.340480714,3.06237521474436E-8,416.0,100.0,?,?,?,416.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,51.758333333333326,127.42847694567602,279.73333333333323,191.55110923975454
468.0,0.370669368,3.3359253174554974E-8,468.0,100.0,?,?,?,468.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,56.57499999999998,143.00941160190365,279.73333333333323,191.55110923975454
520.0,0.401626635,3.61644009520962E-8,520.0,100.0,?,?,?,520.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,60.35833333333336,154.6673196312161,279.73333333333323,191.55110923975454
572.0,0.426125758,3.838435339283198E-8,572.0,100.0,?,?,?,572.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,66.40000000000005,171.19998625618422,279.73333333333323,191.55110923975454
624.0,0.449790083,4.052866182550995E-8,624.0,100.0,?,?,?,624.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,69.64166666666664,184.6241148807983,279.73333333333323,191.55110923975454
676.0,0.469412943,4.2306758778254605E-8,676.0,100.0,?,?,?,676.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,68.85833333333332,192.18252422904538,279.73333333333323,191.55110923975454
728.0,0.490339642,4.4203001207895574E-8,728.0,100.0,?,?,?,728.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,74.55000000000004,207.36315118792984,279.73333333333323,191.55110923975454
780.0,0.509977237,4.5982433351259676E-8,780.0,100.0,?,?,?,780.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,78.84166666666665,222.1076654598449,279.73333333333323,191.55110923975454
832.0,0.528083784,4.7623131804259287E-8,832.0,100.0,?,?,?,832.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,84.70833333333336,237.26032208140845,279.73333333333323,191.55110923975454
884.0,0.544812882,4.913901471714592E-8,884.0,100.0,?,?,?,884.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,91.10000000000002,252.98734149752073,279.73333333333323,191.55110923975454
