learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
250.0,0.015455296,8.666706687874264E-10,250.0,100.0,?,?,?,250.0,227032.0,1.0
500.0,0.081461636,4.743443528769744E-9,500.0,100.0,?,?,?,500.0,227032.0,1.0
750.0,0.124579457,7.275897202680094E-9,750.0,100.0,?,?,?,750.0,227032.0,1.0
1000.0,0.160995608,9.414739408774509E-9,1000.0,100.0,?,?,?,1000.0,227032.0,1.0
1250.0,0.19000533,1.1118577296547592E-8,1250.0,100.0,?,?,?,1250.0,227032.0,1.0
1500.0,0.216657067,1.268392284779292E-8,1500.0,100.0,?,?,?,1500.0,227032.0,1.0
1750.0,0.243008212,1.4231613626670507E-8,1750.0,100.0,?,?,?,1750.0,227032.0,1.0
2000.0,0.26804938,1.570236508001056E-8,2000.0,100.0,?,?,?,2000.0,227032.0,1.0
2250.0,0.292570694,1.7142583771219686E-8,2250.0,100.0,?,?,?,2250.0,227032.0,1.0
2500.0,0.317055504,1.8580658460557462E-8,2500.0,100.0,?,?,?,2500.0,227032.0,1.0
2750.0,0.339137662,1.9877617371235457E-8,2750.0,100.0,?,?,?,2750.0,227032.0,1.0
3000.0,0.359779269,2.1089967909138652E-8,3000.0,100.0,?,?,?,3000.0,227032.0,1.0
3250.0,0.380481867,2.2305900652228547E-8,3250.0,100.0,?,?,?,3250.0,227032.0,1.0
3500.0,0.39996956,2.345047796595428E-8,3500.0,100.0,?,?,?,3500.0,227032.0,1.0
3750.0,0.414734241,2.4317657006438823E-8,3750.0,100.0,?,?,?,3750.0,227032.0,1.0
4000.0,0.428867862,2.5147771784899138E-8,4000.0,100.0,?,?,?,4000.0,227032.0,1.0
4250.0,0.442979636,2.5976603416063723E-8,4250.0,100.0,?,?,?,4250.0,227032.0,1.0
4500.0,0.457107378,2.680637290121367E-8,4500.0,100.0,?,?,?,4500.0,227032.0,1.0
4750.0,0.471776713,2.7667951952589473E-8,4750.0,100.0,?,?,?,4750.0,227032.0,1.0
5000.0,0.485506872,2.8474370059917373E-8,5000.0,100.0,?,?,?,5000.0,227032.0,1.0
5250.0,0.499380947,2.9289240834715055E-8,5250.0,100.0,?,?,?,5250.0,227032.0,1.0
5500.0,0.513538522,3.0120762511620095E-8,5500.0,100.0,?,?,?,5500.0,227032.0,1.0
5750.0,0.528020665,3.09713471514711E-8,5750.0,100.0,?,?,?,5750.0,227032.0,1.0
6000.0,0.541971789,3.179074327144151E-8,6000.0,100.0,?,?,?,6000.0,227032.0,1.0
6250.0,0.556534647,3.26460685728925E-8,6250.0,100.0,?,?,?,6250.0,227032.0,1.0
6500.0,0.570721451,3.347930696661481E-8,6500.0,100.0,?,?,?,6500.0,227032.0,1.0
6750.0,0.584526261,3.4290109576564286E-8,6750.0,100.0,?,?,?,6750.0,227032.0,1.0
7000.0,0.598340739,3.51014800204523E-8,7000.0,100.0,?,?,?,7000.0,227032.0,1.0
7250.0,0.612105035,3.590990310783395E-8,7250.0,100.0,?,?,?,7250.0,227032.0,1.0
7500.0,0.625937955,3.672235671199238E-8,7500.0,100.0,?,?,?,7500.0,227032.0,1.0
7750.0,0.639810805,3.753715553844762E-8,7750.0,100.0,?,?,?,7750.0,227032.0,1.0
8000.0,0.65390575,3.836499874622044E-8,8000.0,100.0,?,?,?,8000.0,227032.0,1.0
8250.0,0.666618237,3.911164557718362E-8,8250.0,100.0,?,?,?,8250.0,227032.0,1.0
8500.0,0.680416258,3.9922477793430705E-8,8500.0,99.9,99.69913953908177,0.0,99.52606635071089,8500.0,227152.0,1.0
8750.0,0.69294697,4.065883737587474E-8,8750.0,99.9,99.79874416358075,0.0,99.78308026030369,8750.0,227152.0,1.0
9000.0,0.705299438,4.138472255930512E-8,9000.0,99.9,99.7569157469979,0.0,99.8,9000.0,227152.0,1.0
9250.0,0.717934044,4.212718740874902E-8,9250.0,99.9,98.68212967843965,0.0,99.8,9250.0,227152.0,1.0
9500.0,0.730647019,4.2874257564269424E-8,9500.0,100.0,?,?,100.0,9500.0,227152.0,1.0
9750.0,0.742776128,4.358701719346353E-8,9750.0,100.0,?,?,100.0,9750.0,227152.0,1.0
10000.0,0.756134523,4.4374613839663156E-8,10000.0,99.3,0.0,-Infinity,-Infinity,10000.0,227904.0,2.0
10250.0,0.771243721,4.526900074293423E-8,10250.0,87.6,6.389660587027437,-2999.9999999999973,-1966.6666666666647,10250.0,228816.0,3.0
10500.0,0.784277731,4.603774174995928E-8,10500.0,87.6,7.596464819589574,-1966.6666666666647,-1671.4285714285697,10500.0,227984.0,2.0
10750.0,0.797116857,4.679498857197042E-8,10750.0,87.6,7.596464819589574,-1966.6666666666647,-1671.4285714285697,10750.0,227984.0,2.0
11000.0,0.809624311,4.7532673504180795E-8,11000.0,88.3,8.08534707601418,-1849.9999999999982,-1571.42857142857,11000.0,227984.0,2.0
11250.0,0.822045977,4.826529869242054E-8,11250.0,100.0,100.0,100.0,100.0,11250.0,227984.0,2.0
11500.0,0.834496708,4.899963812342742E-8,11500.0,99.9,66.62216288384631,50.0,0.0,11500.0,227984.0,2.0
11750.0,0.846894932,4.973088071132493E-8,11750.0,99.7,39.903846153846054,-50.0,-200.0,11750.0,227984.0,2.0
12000.0,0.85924316,5.045917455394856E-8,12000.0,99.5,70.3369719981017,16.666666666666664,37.5,12000.0,227984.0,2.0
12250.0,0.871435273,5.117826079259523E-8,12250.0,99.5,70.3369719981017,16.666666666666664,37.5,12250.0,227984.0,2.0
12500.0,0.883565642,5.189370539334706E-8,12500.0,99.6,74.79838709677435,33.33333333333333,50.0,12500.0,227984.0,2.0
12750.0,0.895805809,5.2615625838838104E-8,12750.0,99.8,85.6156501726121,66.66666666666666,75.0,12750.0,227984.0,2.0
13000.0,0.910314324,5.347133259612446E-8,13000.0,100.0,100.0,100.0,100.0,13000.0,227984.0,2.0
13250.0,0.927936472,5.4510680256550095E-8,13250.0,100.0,100.0,100.0,100.0,13250.0,227984.0,2.0
13500.0,0.945238174,5.553112813243228E-8,13500.0,99.2,55.17202734506335,-33.33333333333333,-14.285714285714285,13500.0,227984.0,2.0
13750.0,0.962691904,5.656054256256876E-8,13750.0,99.2,55.17202734506335,-33.33333333333333,-14.285714285714285,13750.0,227984.0,2.0
14000.0,0.978518102,5.7493965767545414E-8,14000.0,99.2,59.61227786752833,0.0,0.0,14000.0,227984.0,2.0
14250.0,0.99363775,5.8385716919292586E-8,14250.0,99.2,59.61227786752833,0.0,0.0,14250.0,227984.0,2.0
