learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
158.0,0.033345931,2.8279428154788915E-9,158.0,100.0,?,?,?,158.0,345112.0,10.0,0.0,951.4000000000001,43.90950289452666,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
316.0,0.10566479,9.316053724491762E-9,316.0,100.0,?,?,?,316.0,346792.0,10.0,0.0,1900.9999999999998,65.75374936500243,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
474.0,0.152243575,1.3494885183752825E-8,474.0,100.0,?,?,?,474.0,346792.0,10.0,0.0,2857.3,85.17309173415951,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
632.0,0.201287301,1.78948596590033E-8,632.0,100.0,?,?,?,632.0,346792.0,10.0,0.0,3808.8999999999996,80.69345285296284,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
790.0,0.238127645,2.121601503552041E-8,790.0,100.0,?,?,?,790.0,348472.0,10.0,0.0,4765.9,84.42807589895672,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
948.0,0.272316728,2.4298159350558288E-8,948.0,100.0,?,?,?,948.0,348472.0,10.0,0.0,5709.8,79.47718051253591,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1106.0,0.299261318,2.6727212943178085E-8,1106.0,100.0,?,?,?,1106.0,348472.0,10.0,0.0,6658.099999999999,70.140256312303,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1264.0,0.325356251,2.907966999495816E-8,1264.0,100.0,?,?,?,1264.0,348472.0,10.0,0.0,7592.7,57.40509075373408,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1422.0,0.353866258,3.1662236800106864E-8,1422.0,100.0,?,?,?,1422.0,350152.0,10.0,0.0,8539.7,52.29202191114387,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1580.0,0.381305848,3.414784033857286E-8,1580.0,100.0,?,?,?,1580.0,350152.0,10.0,0.0,9478.7,48.49066347704943,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1738.0,0.405252402,3.631702870313906E-8,1738.0,100.0,?,?,?,1738.0,350152.0,10.0,0.0,10425.199999999999,57.23402251574975,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1896.0,0.428123565,3.838880323335735E-8,1896.0,100.0,?,?,?,1896.0,350152.0,10.0,0.0,11375.6,71.221407518308,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2054.0,0.450341686,4.040142223297308E-8,2054.0,100.0,?,?,?,2054.0,350152.0,10.0,0.0,12317.0,83.76687226397382,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2212.0,0.472838688,4.2439303548841014E-8,2212.0,100.0,?,?,?,2212.0,350152.0,10.0,0.0,13256.6,107.87873850867116,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2370.0,0.494965616,4.44436618695077E-8,2370.0,100.0,?,?,?,2370.0,350152.0,10.0,0.0,14206.900000000001,121.03759746458968,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2528.0,0.512068197,4.599289186348725E-8,2528.0,100.0,?,?,?,2528.0,350152.0,10.0,0.0,15142.6,130.42170916769243,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2686.0,0.527307821,4.7379990096177085E-8,2686.0,100.0,?,?,?,2686.0,351832.0,10.0,0.0,16100.0,130.0769003320729,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2844.0,0.54257823,4.876989035463168E-8,2844.0,100.0,?,?,?,2844.0,351832.0,10.0,0.0,17036.5,129.02476075888978,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
