learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
366.0,0.021864225,1.5150713867818317E-9,366.0,100.0,?,?,?,366.0,282008.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
732.0,0.104613895,7.765004283914135E-9,732.0,100.0,?,?,?,732.0,291952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1098.0,0.150475473,1.1346446476678052E-8,1098.0,100.0,?,?,?,1098.0,301864.0,848.0,353.5533905932738,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1464.0,0.187882497,1.4267651980320611E-8,1464.0,100.0,?,?,?,1464.0,301864.0,1214.0,353.5533905932738,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1830.0,0.223136272,1.7111250146697792E-8,1830.0,100.0,?,?,?,1830.0,311792.0,1330.0,500.0,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2196.0,0.256219441,1.9864598702107453E-8,2196.0,100.0,?,?,?,2196.0,321704.0,1446.0,645.4972243679028,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2562.0,0.286835845,2.2491285186176086E-8,2562.0,100.0,?,?,?,2562.0,331632.0,1562.0,790.5694150420949,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2928.0,0.312552558,2.4697610346105777E-8,2928.0,100.0,?,?,?,2928.0,331632.0,1928.0,790.5694150420949,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3294.0,0.341254952,2.723368720607418E-8,3294.0,100.0,?,?,?,3294.0,341544.0,2044.0,935.4143466934853,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3660.0,0.369487644,2.9800774589659022E-8,3660.0,100.0,?,?,?,3660.0,351472.0,2160.0,1080.1234497346434,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4026.0,0.397470546,3.241690447156007E-8,4026.0,100.0,?,?,?,4026.0,361384.0,2276.0,1224.744871391589,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4392.0,0.418303351,3.436456964525498E-8,4392.0,100.0,?,?,?,4392.0,361384.0,2642.0,1224.744871391589,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4758.0,0.438990055,3.635170712404367E-8,4758.0,100.0,?,?,?,4758.0,371312.0,2758.0,1369.3063937629154,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5124.0,0.460050903,3.842878948181454E-8,5124.0,100.0,?,?,?,5124.0,381224.0,2874.0,1513.8251770487457,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
