learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
303.0,0.033191851,2.6904709559885995E-9,303.0,100.0,?,?,?,303.0,327800.0,10.0,304.6,26.546395444788946,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
606.0,0.112824272,9.443467041562415E-9,606.0,100.0,?,?,?,606.0,327800.0,10.0,611.8000000000001,36.62057709357769,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
909.0,0.163736184,1.3760903810753177E-8,909.0,100.0,?,?,?,909.0,327800.0,10.0,915.9,41.10812301453057,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1212.0,0.217335319,1.8306222718552584E-8,1212.0,100.0,?,?,?,1212.0,327800.0,10.0,1215.0,29.416548630546934,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1515.0,0.254230509,2.143501210505764E-8,1515.0,100.0,?,?,?,1515.0,327800.0,10.0,1512.1,32.620545672934405,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1818.0,0.288330856,2.4326792951551165E-8,1818.0,100.0,?,?,?,1818.0,327800.0,10.0,1814.9999999999998,36.6636362384069,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2121.0,0.31920313,2.6944826446661935E-8,2121.0,100.0,?,?,?,2121.0,327800.0,10.0,2115.2999999999997,55.8132799808632,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2424.0,0.348228031,2.940619884217365E-8,2424.0,100.0,?,?,?,2424.0,327800.0,10.0,2414.7,66.35770071698121,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2727.0,0.377064181,3.185156475755904E-8,2727.0,100.0,?,?,?,2727.0,327800.0,10.0,2712.4999999999995,65.25037249787253,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3030.0,0.404496243,3.417786106977612E-8,3030.0,100.0,?,?,?,3030.0,327800.0,10.0,3015.6000000000004,66.26914817620643,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3333.0,0.428857623,3.624375711705536E-8,3333.0,100.0,?,?,?,3333.0,327800.0,10.0,3313.2999999999997,78.08834028770804,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3636.0,0.448631651,3.792063610683299E-8,3636.0,100.0,?,?,?,3636.0,327800.0,10.0,3614.9,73.4142735137763,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3939.0,0.468096245,3.957127444532183E-8,3939.0,100.0,?,?,?,3939.0,327800.0,10.0,3922.5,79.62586123727505,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4242.0,0.4870505,4.11786349677398E-8,4242.0,100.0,?,?,?,4242.0,327800.0,10.0,4226.1,73.94509975500594,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4545.0,0.507065566,4.287595448475538E-8,4545.0,100.0,?,?,?,4545.0,327800.0,10.0,4535.6,72.26678966779207,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4848.0,0.526875963,4.4555917641905445E-8,4848.0,100.0,?,?,?,4848.0,327800.0,10.0,4832.700000000001,68.78153822065927,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5151.0,0.545310109,4.6119171831789943E-8,5151.0,100.0,?,?,?,5151.0,327800.0,10.0,5135.6,78.6132587064323,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5454.0,0.56385765,4.769204215517268E-8,5454.0,100.0,?,?,?,5454.0,327800.0,10.0,5432.500000000001,79.84324921021467,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5757.0,0.582645722,4.928531001113148E-8,5757.0,100.0,?,?,?,5757.0,327800.0,10.0,5732.599999999999,70.66540879383624,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6060.0,0.601736831,5.0904276039380996E-8,6060.0,100.0,?,?,?,6060.0,327800.0,10.0,6035.0,72.39551858444773,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6363.0,0.620319317,5.248010977195369E-8,6363.0,100.0,?,?,?,6363.0,327800.0,10.0,6334.7,85.30344528668103,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6666.0,0.638497671,5.402167226449897E-8,6666.0,100.0,?,?,?,6666.0,327800.0,10.0,6635.7,82.4904708301376,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6969.0,0.656639298,5.556012023052201E-8,6969.0,100.0,?,?,?,6969.0,327800.0,10.0,6948.400000000001,87.95983932075667,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
