learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
86.0,0.027451983,2.3036689284381765E-9,86.0,100.0,?,?,?,86.0,341784.0,10.0,85.8,10.86073457716169,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
172.0,0.109810119,9.621550241255511E-9,172.0,100.0,?,?,?,172.0,343464.0,10.0,171.9,20.518013765686213,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
258.0,0.159557573,1.4041829544162999E-8,258.0,100.0,?,?,?,258.0,343464.0,10.0,258.6,25.32982431838011,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
344.0,0.207733699,1.8343427641087522E-8,344.0,100.0,?,?,?,344.0,345144.0,10.0,344.8,31.615045644615332,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
430.0,0.241470908,2.1355789283240835E-8,430.0,100.0,?,?,?,430.0,345144.0,10.0,433.9,34.974435107819986,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
516.0,0.272605175,2.4135736838101098E-8,516.0,100.0,?,?,?,516.0,345144.0,10.0,520.6,36.767135083144865,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
602.0,0.302432784,2.6799014207273722E-8,602.0,100.0,?,?,?,602.0,345144.0,10.0,606.8,36.312838256217624,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
688.0,0.331256645,2.9385195267442614E-8,688.0,100.0,?,?,?,688.0,346824.0,10.0,697.4,37.17884703250851,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
774.0,0.359725997,3.193956849792972E-8,774.0,100.0,?,?,?,774.0,346824.0,10.0,782.1999999999999,40.843332109143326,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
860.0,0.383733323,3.4093592617269605E-8,860.0,100.0,?,?,?,860.0,346824.0,10.0,865.4000000000001,39.59854093832807,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
