learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
62.0,0.022386074,1.833569806118806E-9,62.0,100.0,?,?,?,62.0,330808.0,10.0,60.2,7.598245411496876,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
124.0,0.107387459,9.108010960451017E-9,124.0,100.0,?,?,?,124.0,330808.0,10.0,124.10000000000001,14.753154088382441,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
186.0,0.158845685,1.3511819638901701E-8,186.0,100.0,?,?,?,186.0,330808.0,10.0,184.89999999999998,21.320047946579397,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
248.0,0.204582093,1.7425953609854396E-8,248.0,100.0,?,?,?,248.0,330808.0,10.0,249.6,24.599909665597465,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
310.0,0.237815673,2.027009223251086E-8,310.0,100.0,?,?,?,310.0,330808.0,10.0,312.20000000000005,27.883886226835582,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
372.0,0.268822784,2.2923689045496284E-8,372.0,100.0,?,?,?,372.0,330808.0,10.0,373.0,32.96462750686965,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
434.0,0.297509364,2.5378694197812842E-8,434.0,100.0,?,?,?,434.0,330808.0,10.0,439.1,35.36617970132859,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
496.0,0.324241508,2.7666438197009264E-8,496.0,100.0,?,?,?,496.0,330808.0,10.0,501.79999999999995,36.057978004566166,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
558.0,0.348089723,2.970737478472913E-8,558.0,100.0,?,?,?,558.0,330808.0,10.0,564.6999999999999,35.34292322689541,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
620.0,0.370080029,3.1589311025682835E-8,620.0,100.0,?,?,?,620.0,330808.0,10.0,626.2,36.438075324217294,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
682.0,0.392090775,3.3472996527277345E-8,682.0,100.0,?,?,?,682.0,330808.0,10.0,691.2,37.908662158755575,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
744.0,0.407627757,3.480265558253767E-8,744.0,100.0,?,?,?,744.0,330808.0,10.0,753.6999999999999,43.00400498144846,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
806.0,0.423471153,3.6158537629480576E-8,806.0,100.0,?,?,?,806.0,330808.0,10.0,814.7,41.36571312357883,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
868.0,0.439653426,3.7543420860287215E-8,868.0,100.0,?,?,?,868.0,330808.0,10.0,874.1,39.37413138371718,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
930.0,0.45623119,3.896215031614734E-8,930.0,100.0,?,?,?,930.0,330808.0,10.0,938.2,38.65459581702773,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
992.0,0.47224252,4.033240419951164E-8,992.0,100.0,?,?,?,992.0,330808.0,10.0,999.1,38.954246666227974,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1054.0,0.488605478,4.1732750500713786E-8,1054.0,100.0,?,?,?,1054.0,330808.0,10.0,1063.3000000000002,37.3007298111504,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1116.0,0.504456868,4.3089316676304574E-8,1116.0,100.0,?,?,?,1116.0,330808.0,10.0,1120.9,33.261422432334754,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1178.0,0.520466934,4.445946238621242E-8,1178.0,100.0,?,?,?,1178.0,330808.0,10.0,1182.7,31.619438465742697,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1240.0,0.537053056,4.587890712193731E-8,1240.0,100.0,?,?,?,1240.0,330808.0,10.0,1239.7,31.319323108905124,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1302.0,0.553068008,4.724947097702573E-8,1302.0,100.0,?,?,?,1302.0,330808.0,10.0,1304.7,34.18267917462814,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1364.0,0.56883511,4.859882376314038E-8,1364.0,100.0,?,?,?,1364.0,330808.0,10.0,1365.3000000000002,32.9479387316819,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1426.0,0.584585793,4.994677140686455E-8,1426.0,100.0,?,?,?,1426.0,330808.0,10.0,1425.4,35.59088522516842,1192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
