learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
120.0,0.026076963,2.1184464060577256E-9,120.0,100.0,?,?,?,120.0,328496.0,10.0,67.89999999999999,21.27831446958773,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
240.0,0.100088664,8.408119891875733E-9,240.0,100.0,?,?,?,240.0,328496.0,10.0,133.6,39.084523791393444,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
360.0,0.143339697,1.2083685671593994E-8,360.0,100.0,?,?,?,360.0,328496.0,10.0,197.4,57.69690921820104,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
480.0,0.175551902,1.4821148112948156E-8,480.0,100.0,?,?,?,480.0,328496.0,10.0,267.5,72.15762068016255,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.20797579,1.7576599830788457E-8,600.0,100.0,?,?,?,600.0,328496.0,10.0,334.6,89.90637105097478,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
720.0,0.234435745,1.9825223699052713E-8,720.0,100.0,?,?,?,720.0,328496.0,10.0,403.70000000000005,111.89682747960285,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
840.0,0.260217313,2.2016196781436188E-8,840.0,100.0,?,?,?,840.0,328496.0,10.0,466.9,130.2113239656555,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
960.0,0.288233242,2.4397050665768068E-8,960.0,100.0,?,?,?,960.0,328496.0,10.0,532.5,152.41117631809902,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1080.0,0.315664748,2.6728239026974055E-8,1080.0,100.0,?,?,?,1080.0,328496.0,10.0,597.6,171.3101151583162,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.343232805,2.9071031785762554E-8,1200.0,100.0,?,?,?,1200.0,328496.0,10.0,660.1,181.58098897063965,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1320.0,0.363782993,3.081743094759475E-8,1320.0,100.0,?,?,?,1320.0,328496.0,10.0,725.9999999999999,199.33166108551623,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1440.0,0.383126416,3.246127662502436E-8,1440.0,100.0,?,?,?,1440.0,328496.0,10.0,790.4,219.15555104891948,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
