learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
770312.0,11.143728586,1.1189074821558884E-6,770312.0,97.5,95.00091983075114,94.93927125506072,94.78079331941545,97.5599257827026,97.55142017629774,97.44637385086824,97.50996015936255,100.0,95.0199203187251,97.60994263862332,95.21988527724665,100.0,770312.0,404384.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,0.98,0.8,0.7,25159.483333333326,126518.40762002027,353.9333333333331,353.21257277824566
1540624.0,22.202887192,2.275855056043048E-6,1540624.0,97.39999999999999,94.78347404577701,94.63917525773195,94.61697722567287,97.4563569552984,97.22814498933901,97.5517890772128,97.61029411764706,100.0,95.22058823529412,97.30290456431536,94.6058091286307,100.0,1540624.0,404384.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,0.99,0.8,0.7,44584.166666666664,230693.67657681176,353.9333333333331,353.21257277824566
2310936.0,33.126436896,3.421577556710471E-6,2310936.0,98.0,95.9861763914923,95.95141700404858,96.03174603174602,98.03179826719519,97.86780383795309,98.11676082862523,98.15157116451016,100.0,96.30314232902033,97.91231732776617,95.82463465553236,100.0,2310936.0,405432.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,0.97,0.8,0.7,45861.07500000001,256603.6357783307,362.53333333333336,361.6983034866185
3081248.0,44.071899216,4.575533405480315E-6,3081248.0,97.8,95.59984159429739,95.68627450980391,95.56451612903226,97.80604081644022,97.77777777777777,97.82178217821782,97.8136916360901,98.57433808553971,97.05304518664047,97.79839119356477,96.9939879759519,98.60279441117764,3081248.0,407528.0,20.0,20.0,20.0,0.0,100.0,100.0,4.0,0.9849514170040484,0.8,0.7,53788.71666666658,346389.08898741676,379.73333333333335,377.50663043502817
3851560.0,55.290176008,5.7582514797633015E-6,3851560.0,95.89999999999999,91.79586511601846,91.71717171717171,91.33192389006342,95.91862208503487,96.00778967867575,95.78622816032889,95.88140692259685,97.4308300395257,94.33198380566802,95.95586614788488,94.6257197696737,97.28601252609603,3851560.0,407528.0,20.0,20.0,20.0,0.0,100.0,100.0,4.0,0.97,0.8,0.7,83519.02499999995,461792.5092922084,379.73333333333335,377.50663043502817
4621872.0,66.476889688,6.9376419250587746E-6,4621872.0,98.4,96.79261017384052,96.86888454011742,96.77419354838709,98.41537619560764,98.3157894736842,98.47619047619047,98.48338795707217,99.78632478632478,97.18045112781954,98.34745830596454,96.88796680497926,99.8069498069498,4621872.0,407528.0,20.0,20.0,20.0,0.0,100.0,100.0,4.0,1.0,0.8,0.7,102947.60833333338,583708.858074578,379.73333333333335,377.50663043502817
5392184.0,77.756499691,8.126826223927631E-6,5392184.0,98.4,96.80046073365433,96.7280163599182,96.84418145956607,98.41417164071626,98.4,98.4,98.41417164071626,99.59514170040485,97.23320158102767,98.41417164071626,97.23320158102767,99.59514170040485,5392184.0,407528.0,20.0,20.0,20.0,0.0,100.0,100.0,4.0,0.98,0.8,0.7,58964.59166666664,496616.744828351,379.73333333333335,377.50663043502817
6162496.0,88.890541131,9.300663551626168E-6,6162496.0,98.5,96.99882353882721,97.09302325581395,96.91358024691358,98.50416917202335,98.53085210577864,98.46782431052094,98.48990402118815,99.21104536489152,97.76876267748479,98.5184384557493,97.85992217898833,99.1769547325103,6162496.0,407528.0,20.0,20.0,20.0,0.0,100.0,100.0,4.0,1.0,0.8,0.7,77168.34999999998,583174.4908532902,379.73333333333335,377.50663043502817
6932808.0,100.13038194,1.0485655072458292E-5,6932808.0,97.6,95.19902060020243,95.10204081632652,94.88272921108741,97.61818809337537,97.55102040816327,97.6470588235294,97.64487747836499,98.9648033126294,96.32495164410058,97.59151329447859,96.17706237424547,99.00596421471172,6932808.0,407528.0,20.0,20.0,20.0,0.0,100.0,100.0,4.0,0.9838799928831957,0.8,0.7,82134.40833333334,653069.3785776567,379.73333333333335,377.50663043502817
7703120.0,111.302549952,1.166351200019442E-5,7703120.0,97.0,93.99519615692553,93.89002036659878,93.83983572895276,97.00701574679915,97.0873786407767,96.90721649484536,96.97879151660665,98.0392156862745,95.91836734693877,97.03525641025641,96.15384615384616,97.91666666666666,7703120.0,407528.0,20.0,20.0,20.0,0.0,100.0,100.0,4.0,0.94,0.8,0.7,38460.6166666667,258625.34413609913,379.73333333333335,377.50663043502817
