learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),members size
770312.0,4.432120682,2.9769217929415403E-7,770312.0,97.5,95.00091983075114,94.93927125506072,94.78079331941545,97.5599257827026,97.55142017629774,97.44637385086824,97.50996015936255,100.0,95.0199203187251,97.60994263862332,95.21988527724665,100.0,770312.0,269792.0,10.0
1540624.0,8.710766794,5.963219248890794E-7,1540624.0,97.39999999999999,94.78347404577701,94.63917525773195,94.61697722567287,97.4563569552984,97.22814498933901,97.5517890772128,97.61029411764706,100.0,95.22058823529412,97.30290456431536,94.6058091286307,100.0,1540624.0,269792.0,10.0
2310936.0,12.922885158,8.903083408091051E-7,2310936.0,98.0,95.9861763914923,95.95141700404858,96.03174603174602,98.03179826719519,97.86780383795309,98.11676082862523,98.15157116451016,100.0,96.30314232902033,97.91231732776617,95.82463465553236,100.0,2310936.0,269792.0,10.0
3081248.0,17.09774919,1.1816945763458394E-6,3081248.0,98.4,96.79978238520219,96.86274509803921,96.77419354838709,98.42469448918749,98.37067209775967,98.42829076620825,98.45261121856866,100.0,96.90522243713733,98.39679358717434,96.79358717434869,100.0,3081248.0,269792.0,10.0
3851560.0,21.267033652,1.47269138365551E-6,3851560.0,97.2,94.4032908649714,94.34343434343434,94.08033826638477,97.2757451809878,97.23865877712032,97.1602434077079,97.23865877712032,100.0,94.47731755424064,97.31285988483684,94.6257197696737,100.0,3851560.0,269792.0,10.0
4621872.0,25.413382029,1.7620873581201168E-6,4621872.0,98.5,96.99285502353592,97.06457925636008,96.9758064516129,98.51837072142506,98.41938883034773,98.57278782112274,98.59287054409005,100.0,97.18574108818011,98.44398340248964,96.88796680497926,100.0,4621872.0,269792.0,10.0
5392184.0,29.56235337,2.05166640336261E-6,5392184.0,98.5,97.00064786006223,96.93251533742331,97.0414201183432,98.52215438363493,98.49548645937813,98.50448654037885,98.52652259332024,100.0,97.05304518664047,98.51778656126481,97.03557312252964,100.0,5392184.0,269792.0,10.0
6162496.0,33.710451342,2.3411844914809448E-6,6162496.0,98.9,97.79963033789677,97.86821705426357,97.73662551440329,98.91165723930976,98.91838741396263,98.88097660223805,98.8933601609658,100.0,97.78672032193158,98.92996108949417,97.85992217898833,100.0,6162496.0,269792.0,10.0
6932808.0,37.880118646,2.632208019394767E-6,6932808.0,97.89999999999999,95.79879005153484,95.71428571428571,95.52238805970148,97.94172332644955,97.84172661870502,97.95520934761441,97.99618320610686,100.0,95.99236641221374,97.88732394366197,95.77464788732394,100.0,6932808.0,269792.0,10.0
7703120.0,42.056376816,2.92369155932765E-6,7703120.0,97.7,95.40110373510358,95.31568228105905,95.27720739219711,97.75107532822078,97.73844641101277,97.66022380467955,97.71371769383698,100.0,95.42743538767395,97.78846153846155,95.57692307692308,100.0,7703120.0,269792.0,10.0
8473432.0,46.202649547,3.213082254050688E-6,8473432.0,97.8,95.60205823674521,95.87242026266416,95.59118236472945,97.84732441995179,97.79116465863453,97.80876494023903,97.85575048732944,100.0,95.71150097465888,97.83889980353635,95.67779960707269,100.0,8473432.0,269792.0,10.0
9243744.0,50.345013746,3.5022001512844607E-6,9243744.0,98.3,96.58829101476266,96.78638941398866,96.39830508474576,98.32227846427291,98.18956336528221,98.39773798303487,98.42300556586271,100.0,96.84601113172542,98.22175732217573,96.44351464435147,100.0,9243744.0,269792.0,10.0
1.0014056E7,54.522605447,3.793776765524695E-6,1.0014056E7,97.8,95.60126683515148,95.61752988047807,95.46391752577318,97.84694520671283,97.83037475345168,97.76876267748479,97.81746031746033,100.0,95.63492063492063,97.87644787644787,95.75289575289575,100.0,1.0014056E7,269792.0,10.0
1.0784368E7,58.696723247,4.085110917512923E-6,1.0784368E7,98.3,96.60081580420699,96.44351464435145,96.48033126293996,98.32833637018892,98.31181727904668,98.28801611278952,98.31683168316832,100.0,96.63366336633663,98.33984375,96.6796875,100.0,1.0784368E7,269792.0,10.0
1.155468E7,62.861277073,4.375777548269497E-6,1.155468E7,97.8,95.60126683515148,95.63492063492063,95.43568464730289,97.84694520671283,97.83037475345168,97.76876267748479,97.81746031746033,100.0,95.63492063492063,97.87644787644787,95.75289575289575,100.0,1.155468E7,269792.0,10.0
1.2324992E7,67.012351224,4.665503359942047E-6,1.2324992E7,98.1,96.18810689350774,96.04166666666666,96.07438016528926,98.12903549810491,97.98087141339002,98.20585457979226,98.23747680890537,100.0,96.47495361781077,98.02083333333333,96.04166666666667,100.0,1.2324992E7,269792.0,10.0
1.3095304E7,71.173121693,4.9559059298464655E-6,1.3095304E7,98.0,96.0015833729843,96.24765478424014,95.92668024439918,98.03920799689412,97.99599198396794,98.00399201596807,98.04305283757338,100.0,96.08610567514677,98.03536345776031,96.07072691552064,100.0,1.3095304E7,269792.0,10.0
1.3865616E7,75.354210279,5.247726610515797E-6,1.3865616E7,99.1,98.1954525404018,98.18548387096774,98.17073170731707,99.10572248183871,99.05163329820864,99.14367269267365,99.15094339622641,100.0,98.30188679245283,99.06054279749479,98.12108559498957,100.0,1.3865616E7,269792.0,10.0
1.4635928E7,79.534987524,5.539525561020681E-6,1.4635928E7,98.1,96.1914688903143,96.09856262833675,96.06625258799171,98.13065538238426,97.99789251844047,98.19219790675547,98.22429906542057,100.0,96.44859813084112,98.03719008264463,96.07438016528926,100.0,1.4635928E7,269792.0,10.0
1.540624E7,83.718842596,5.831539329640907E-6,1.540624E7,98.8,97.59973116989103,97.53086419753086,97.51552795031056,98.81392921529557,98.78048780487805,98.81889763779526,98.83268482490273,100.0,97.66536964980544,98.79518072289157,97.59036144578313,100.0,1.540624E7,269792.0,10.0
