learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
770312.0,10.204917216,1.4069867135727803E-5,770312.0,98.9,97.79675682604794,97.77327935222672,97.7035490605428,98.90318538289014,98.94128970163618,98.85535900104058,98.8764494842719,99.6124031007752,98.14049586776859,98.92993574403438,98.2791586998088,99.58071278825996,770312.0,5347400.0,10.0,0.0,4621110.5,1871.9021371618055,486800.8,27030.271083443546,579.5999999999999,32.30479840519052,290.29999999999995,16.15239920259526,290.29999999999995,16.15239920259526,19.9,1.6633299933166197,1228.378807822143,647.5353271524049,0.0,0.0,1.0667564818139894,0.03519053243403789
1540624.0,20.872880811,4.139913769605795E-5,1540624.0,99.4,98.79826950809165,98.76288659793815,98.75776397515527,99.39953109597022,99.37629937629939,99.42196531791907,99.40705128205128,99.58333333333333,99.23076923076923,99.3920120476137,99.1701244813278,99.61389961389962,1540624.0,9902592.0,10.0,0.0,9244455.600000001,2260.784092103943,935867.2,23195.84520651155,1116.8,30.45506708433116,558.9,15.22753354216558,558.9,15.22753354216558,22.2,1.4757295747452435,1393.7712324759975,489.92059847310935,0.0,0.0,1.074428725008089,0.026162077072549382
2310936.0,32.110774524,8.190389090682195E-5,2310936.0,99.6,99.19845140812049,99.19028340080972,99.20634920634922,99.5996240434305,99.58158995815899,99.61685823754789,99.60837131369979,99.79035639412997,99.4263862332696,99.59087830933767,99.37369519832986,99.80806142034548,2310936.0,1.393232E7,10.0,0.0,1.38668793E7,2950.007007524592,1333197.5999999999,33522.737846290416,1593.9999999999998,41.7532433869913,797.4999999999999,20.87662169349565,797.4999999999999,20.87662169349565,23.699999999999996,1.5670212364724214,1390.582174129866,488.8051746309962,0.0,0.0,1.0745820495196938,0.026216232947269647
3081248.0,43.707293517,1.3564490013164425E-4,3081248.0,99.8,99.5999983999936,99.6078431372549,99.59677419354838,99.7999991999968,99.79959919839679,99.8003992015968,99.7999991999968,99.79959919839679,99.8003992015968,99.7999991999968,99.79959919839679,99.8003992015968,3081248.0,1.7913504E7,10.0,0.0,1.84891941E7,3651.6107085318185,1725642.4,35206.58181899766,2058.2000000000003,42.271082839743386,1029.6000000000001,21.135541419871693,1029.6000000000001,21.135541419871693,24.6,1.7126976771553504,1547.8041705984974,10.377838190340224,0.0,0.0,1.0827162300734294,5.502139259552796E-4
3851560.0,55.594743776,2.0333244352388285E-4,3851560.0,99.5,98.99831717285039,98.98989898989899,98.94291754756871,99.49925791935617,99.51969260326608,99.47862356621481,99.4951923076923,99.61538461538461,99.375,99.50332386329485,99.42418426103646,99.58246346555325,3851560.0,2.201012E7,10.0,0.0,2.31114521E7,3457.659691820922,2129555.2,48987.407898583726,2544.7999999999997,61.38005466852496,1272.8999999999999,30.69002733426248,1272.8999999999999,30.69002733426248,25.8,1.9888578520235058,1546.37133592096,11.546301102695296,0.0,0.0,1.0827924124960726,6.122562467766807E-4
4621872.0,67.952076107,2.851888289875248E-4,4621872.0,99.7,99.39917807560744,99.412915851272,99.39516129032258,99.69968871020787,99.68847352024922,99.71070395371262,99.70337166868958,99.7920997920998,99.61464354527938,99.69600602380686,99.5850622406639,99.8069498069498,4621872.0,2.560532E7,10.0,0.0,2.7733957299999997E7,2334.8827736457365,2483945.6,61537.913045897534,2976.4,74.38667742128145,1488.7,37.193338710640724,1488.7,37.193338710640724,26.6,2.11869981094276,1542.1195749192375,8.753135589459482,0.0,0.0,1.083014658260341,4.7148299387363206E-4
5392184.0,80.577175735,3.814228755493949E-4,5392184.0,99.6,99.1999231926265,99.18200408997954,99.21104536489152,99.60035847712525,99.60396039603961,99.5959595959596,99.59837429595494,99.8015873015873,99.39516129032258,99.60234273735418,99.40711462450594,99.79757085020243,5392184.0,2.9464312E7,10.0,0.0,3.23559313E7,3224.4569930451185,2864383.2,65253.38263994872,3437.8,76.83864768316644,1719.4,38.41932384158322,1719.4,38.41932384158322,27.299999999999997,1.8287822299126937,1542.5593007256366,10.988651836940827,0.0,0.0,1.0829900416684897,5.90295525239783E-4
6162496.0,93.732725571,4.951677928749879E-4,6162496.0,99.7,99.39949557628408,99.4186046511628,99.38271604938271,99.69984735539072,99.70845481049562,99.69104016477857,99.7027324592133,99.6116504854369,99.79381443298969,99.69696241853615,99.80544747081711,99.58847736625515,6162496.0,3.3421456E7,10.0,0.0,3.6976912800000004E7,2813.7225955034237,3254553.6,59843.179452075674,3915.0,62.80835047100736,1958.0,31.40417523550368,1958.0,31.40417523550368,27.999999999999996,1.8257418583505547,1535.3731669203787,7.638332674547998,0.0,0.0,1.0833753477437242,4.1352978024629383E-4
6932808.0,106.791628707,6.208069988721794E-4,6932808.0,99.7,99.3999855996544,99.38775510204081,99.36034115138592,99.70009220488988,99.69849246231156,99.70149253731343,99.6995951935231,99.59839357429718,99.800796812749,99.70058922121197,99.79879275653923,99.60238568588468,6932808.0,3.7189544E7,10.0,0.0,4.1597915699999996E7,3161.017664894525,3626196.8,76030.37458045599,4361.200000000001,95.21181065859894,2181.1000000000004,47.60590532929947,2181.1000000000004,47.60590532929947,28.799999999999997,1.8737959096740264,1534.5090298690338,5.954760041339692,0.0,0.0,1.0834210999833185,3.2368679071181E-4
7703120.0,120.322962235,7.637724528438873E-4,7703120.0,99.7,99.39908661164971,99.38900203665987,99.38398357289527,99.69964300853192,99.71126082771896,99.68782518210197,99.69576067841963,99.8073217726397,99.58419958419958,99.70352564102565,99.61538461538461,99.79166666666667,7703120.0,4.0840672E7,10.0,0.0,4.62194086E7,3699.2494494012226,3986261.6,88332.2006911032,4789.6,109.19116773398446,2395.3,54.59558386699223,2395.3,54.59558386699223,29.0,1.763834207376394,1534.5574143056447,7.67908768479975,0.0,0.0,1.0834186785847326,4.1820950003466467E-4
8473432.0,134.499223156,9.26807435500848E-4,8473432.0,99.4,98.79969752377599,98.87429643527204,98.79759519038076,99.40024416529158,99.40944881889763,99.39024390243902,99.3970818280383,99.60552268244575,99.18864097363083,99.40340670377202,99.21414538310412,99.59266802443992,8473432.0,4.4455088E7,10.0,0.0,5.08409293E7,3929.6848629662923,4342511.199999999,88019.40928984545,5229.199999999999,102.26957840270316,2615.0999999999995,51.13478920135158,2615.0999999999995,51.13478920135158,29.299999999999997,1.5670212364724214,1535.4329110877063,6.5300768661976605,0.0,0.0,1.0833698574054063,3.549163620716617E-4
9243744.0,148.777720543,0.0011038505082325472,9243744.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9243744.0,4.7929048E7,10.0,0.0,5.54633134E7,4787.774435418027,4685021.6,93574.64591460896,5634.2,106.13701836148718,2817.6,53.06850918074359,2817.6,53.06850918074359,29.6,1.7126976771553504,1533.5637652147682,5.425357629003081,0.0,0.0,1.0834706337270812,2.948075016432022E-4
