learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
770312.0,11.383222805,5.204512115132023E-6,770312.0,99.0,97.99723618593659,97.97570850202429,97.91231732776617,99.00490856464675,99.03660886319847,98.96049896049895,98.97507756981283,99.80582524271846,98.14432989690721,99.03475754696939,98.2791586998088,99.79035639412997,770312.0,1785272.0,270512.0,289990.0573008208,133647.19999999998,122937.68532860684,156.4,144.37312769348733,78.7,72.18656384674367,78.7,72.18656384674367,13.700000000000001,5.271516754112509,0.0,0.0,0.0,0.0,1.0,0.0
1540624.0,21.843644971,1.3692264227523237E-5,1540624.0,98.9,97.79635075685334,97.73195876288659,97.72256728778468,98.90062863533929,98.85297184567257,98.9433237271854,98.92071623555442,99.37106918238993,98.47036328871893,98.88054919175251,98.3402489626556,99.42084942084942,1540624.0,3136504.0,593924.0,528603.3064175398,267052.8,217726.05728442848,315.2,258.2530197736751,158.1,129.12650988683754,158.1,129.12650988683754,14.9,6.854844191437825,0.0,0.0,0.0,0.0,1.0,0.0
2310936.0,32.800246753,2.3789160733692265E-5,2310936.0,99.1,98.1960601954669,98.17813765182186,98.21428571428571,99.1004959926746,99.05561385099686,99.14040114613181,99.12363029632125,99.57805907172997,98.66920152091255,99.07737248506365,98.53862212943632,99.61612284069098,2310936.0,3562168.0,679236.0,631633.3412493183,308705.6,246520.04650836997,362.8,289.1404118724634,181.9,144.5702059362317,181.9,144.5702059362317,16.1,6.2441083341730135,0.0,0.0,0.0,0.0,1.0,0.0
3081248.0,43.943803139,3.452354162174665E-5,3081248.0,99.7,99.4,99.41176470588235,99.39516129032258,99.7000994002985,99.6996996996997,99.7002997002997,99.7,99.6,99.8,99.7001988007952,99.79959919839679,99.60079840319361,3081248.0,3723536.0,735448.0,728409.1188641479,324945.60000000003,292543.05743303266,382.20000000000005,343.93952956878917,191.60000000000002,171.96976478439458,191.60000000000002,171.96976478439458,16.8,6.232531142677463,156.37987927565393,494.51659873322853,0.0,0.0,1.0081872548918693,0.025890373242662728
3851560.0,54.042377219,4.687117562393946E-5,3851560.0,99.1,98.19727427870941,98.18181818181819,98.09725158562368,99.09952362969338,99.13378248315688,99.06347554630594,99.08801807142056,99.42084942084942,98.7551867219917,99.11103186020141,98.84836852207293,99.37369519832986,3851560.0,4726352.0,1003810.0,1108828.442045427,423824.00000000006,442237.7275066231,501.0,523.8023376130436,251.0,261.9011688065218,251.0,261.9011688065218,16.099999999999998,7.578478299324565,469.7684592557005,756.4005868150737,0.0,0.0,1.0245290102057654,0.03949553723466329
4621872.0,65.787609547,6.392921740935822E-5,4621872.0,99.1,98.19701425560729,98.23874755381604,98.18548387096774,99.1009704270408,99.06152241918664,99.13544668587897,99.1211403329445,99.58071278825996,98.66156787762907,99.08080872811163,98.54771784232366,99.61389961389962,4621872.0,5613968.0,1298172.0,1487515.5311980967,511044.0,562888.3663107633,604.1999999999999,667.6307695458954,302.59999999999997,333.8153847729477,302.59999999999997,333.8153847729477,15.600000000000001,8.579044235810887,626.3754157774395,808.6485949422737,0.0,0.0,1.0327045590736041,0.042221477758351444
5392184.0,77.097212677,7.951583292772403E-5,5392184.0,98.8,97.59988479447014,97.54601226993866,97.63313609467455,98.80150422150366,98.8095238095238,98.79032258064517,98.7983807740924,99.20318725099602,98.39357429718876,98.80462786641276,98.41897233201581,99.19028340080972,5392184.0,5327296.0,1215884.0,1755284.247319758,483095.1999999999,649024.6893843099,569.6,766.2242491594743,285.3,383.11212457973716,285.3,383.11212457973716,16.0,7.039570693980958,468.7569410122053,754.7736309539516,0.0,0.0,1.0245812509538461,0.03957973696776361
6162496.0,88.026293852,1.0073644476209006E-4,6162496.0,99.6,99.19946203848986,99.2248062015504,99.1769547325103,99.60012835678027,99.61013645224172,99.58932238193019,99.59496670081967,99.8046875,99.38524590163934,99.60529054778947,99.41634241245137,99.79423868312757,6162496.0,7505448.0,1753446.0,1949865.7425291846,697568.8,705292.3314857623,821.4,832.8413481036536,411.2,416.4206740518268,411.2,416.4206740518268,18.200000000000003,7.37563556583431,468.7067233718845,754.6926538436994,0.0,0.0,1.0245829416607184,0.03958245520443702
6932808.0,99.438696641,1.2790000661190044E-4,6932808.0,99.3,98.59993279677425,98.57142857142857,98.50746268656717,99.3000650081161,99.29506545820746,99.30486593843099,99.30075524833589,99.39516129032258,99.20634920634922,99.29937477749199,99.19517102615694,99.40357852882704,6932808.0,9200512.0,2236108.0,2204333.650889639,864720.0,778042.1175323494,1020.2,918.4354813122876,510.6,459.2177406561438,510.6,459.2177406561438,20.0,7.086763875156433,468.3362334413118,754.0947576679107,0.0,0.0,1.0246012621780785,0.03961188887278208
7703120.0,109.7144508,1.522982114946251E-4,7703120.0,99.5,98.99847768608284,98.98167006109979,98.97330595482546,99.49933814422084,99.51876804619828,99.47970863683663,99.49547146078939,99.61464354527938,99.37629937629939,99.50320512820512,99.42307692307692,99.58333333333333,7703120.0,9177968.0,2242720.0,2210076.8061062694,862825.6000000001,786918.4001095243,1016.6,931.8954638560891,508.8,465.94773192804456,508.8,465.94773192804456,19.399999999999995,7.366591251499342,781.169175827775,823.431841639548,0.0,0.0,1.04097273500766,0.04318943933535684
