learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
770312.0,5.159905897,2.4990393438406597E-6,770312.0,99.0,97.99723618593659,97.97570850202429,97.91231732776617,99.00490856464675,99.03660886319847,98.96049896049895,98.97507756981283,99.80582524271846,98.14432989690721,99.03475754696939,98.2791586998088,99.79035639412997,770312.0,1890112.0,10.0,769940.1000000001,678.8143994413228,149467.99999999997,6259.532108889784,174.8,7.685484153042453,87.9,3.8427420765212266,87.9,3.8427420765212266,14.9,0.737864787372622,0.0,0.0,0.0,0.0,1.0,0.0
1540624.0,10.184948567,6.545790123579766E-6,1540624.0,99.0,97.99711584681941,97.9381443298969,97.9296066252588,98.99895105371436,98.96049896049897,99.03660886319847,99.00641025641026,99.16666666666667,98.84615384615385,98.99149297489546,98.7551867219917,99.22779922779922,1540624.0,3112928.0,10.0,1540719.3,766.0483086014166,270070.39999999997,9125.564618148297,315.0,11.313708498984761,158.0,5.656854249492381,158.0,5.656854249492381,16.9,0.7378647873726221,1256.474016467786,662.3544501436476,0.0,0.0,1.0652782912744159,0.03441171906259907
2310936.0,15.315700466,1.2198173676760386E-5,2310936.0,99.2,98.39663292915122,98.38056680161942,98.4126984126984,99.19989754703884,99.16142557651992,99.23518164435946,99.21804511278197,99.57894736842105,98.85714285714286,99.18175661867534,98.74739039665971,99.61612284069098,2310936.0,4258464.0,10.0,2311227.1999999997,1240.2334726440604,383037.6,11184.656823821942,448.0,13.703203194062977,224.5,6.851601597031489,224.5,6.851601597031489,18.299999999999997,0.9486832980505135,1574.1460571267173,15.27703306610002,0.0,0.0,1.0813847518412631,8.06017025655374E-4
3081248.0,20.61209367,1.9566347846794102E-5,3081248.0,99.5,99.000007999936,99.01960784313727,98.99193548387096,99.50089500984559,99.5004995004995,99.4994994994995,99.5011920190723,99.20318725099602,99.79919678714859,99.50059800239201,99.79959919839679,99.20159680638723,3081248.0,5377520.0,10.0,3081812.2,1534.9061353856453,493399.19999999995,18927.64964454559,577.2,23.08342358586447,289.1,11.541711792932235,289.1,11.541711792932235,19.0,1.05409255338946,1578.0442678233103,12.366808669365332,0.0,0.0,1.0811687848581695,6.486417457013355E-4
3851560.0,26.03414875,2.879740273720793E-5,3851560.0,99.1,98.19727427870941,98.18181818181819,98.09725158562368,99.09952362969338,99.13378248315688,99.06347554630594,99.08801807142056,99.42084942084942,98.7551867219917,99.11103186020141,98.84836852207293,99.37369519832986,3851560.0,6580968.0,10.0,3852193.2,1593.2276673470562,612083.2000000002,23560.43393676968,716.0,30.408332191467967,358.5,15.204166095733983,358.5,15.204166095733983,19.7,1.3374935098492586,1578.0442678233103,12.366808669365332,0.0,0.0,1.0811687848581695,6.486417457013355E-4
4621872.0,31.632852651,3.979667511742764E-5,4621872.0,99.3,98.59787999455176,98.63013698630137,98.58870967741935,99.29983010138575,99.27159209157129,99.32627526467758,99.31138528364033,99.58246346555325,99.04030710172745,99.28827760777969,98.96265560165975,99.61389961389962,4621872.0,7594144.0,10.0,4622805.4,772.3786060677228,711984.0,22802.093627072452,835.8000000000001,29.031783349364613,418.40000000000003,14.515891674682306,418.40000000000003,14.515891674682306,20.299999999999997,1.1595018087284057,1582.6882895160747,6.721335408948928,0.0,0.0,1.0809122434532012,3.3530935126704854E-4
5392184.0,37.310864855,5.246491843358906E-5,5392184.0,99.2,98.39976956681762,98.3640081799591,98.42209072978304,99.19988478340882,99.2094861660079,99.19028340080972,99.19988478340882,99.2094861660079,99.19028340080972,99.19988478340882,99.2094861660079,99.19028340080972,5392184.0,8624272.0,10.0,5392902.2,1205.9154014920416,813583.2000000001,32511.210937493885,953.2,39.4230614967658,477.1,19.7115307483829,477.1,19.7115307483829,21.4,1.4298407059684815,1580.0287403787859,6.01764112934074,0.0,0.0,1.0810377113532441,3.07358663328292E-4
6162496.0,43.145575803,6.723096277041372E-5,6162496.0,99.7,99.39956288177794,99.4186046511628,99.38271604938271,99.69988098585331,99.7078870496592,99.69167523124358,99.69719530402553,99.80506822612085,99.58932238193019,99.7025668123809,99.61089494163424,99.79423868312757,6162496.0,9782440.0,10.0,6163122.200000001,1050.1174325863633,927796.7999999999,36016.030248272014,1086.8,45.07228761790454,543.9,22.53614380895227,543.9,22.53614380895227,21.6,1.3498971154211064,1579.4764086873272,6.516266977317188,0.0,0.0,1.0810635980436094,3.32073073798898E-4
6932808.0,49.049274262,8.393813356866693E-5,6932808.0,99.5,98.99997599942398,98.9795918367347,98.93390191897655,99.50008700474963,99.49748743718592,99.50248756218906,99.4995919934719,99.3975903614458,99.60159362549801,99.50058202095275,99.59758551307847,99.40357852882704,6932808.0,1.0939088E7,10.0,6933082.8,1488.5899218910904,1041849.6000000001,38366.709050657155,1223.8,48.508418513353625,612.4,24.254209256676813,612.4,24.254209256676813,22.0,1.632993161855452,1579.4764086873272,6.516266977317188,0.0,0.0,1.0810635980436094,3.32073073798898E-4
7703120.0,55.10104782,1.0270867842403594E-4,7703120.0,99.6,99.19871794871796,99.18533604887983,99.17864476386036,99.59935897435898,99.61538461538461,99.58333333333333,99.59935897435898,99.61538461538461,99.58333333333333,99.59935897435898,99.61538461538461,99.58333333333333,7703120.0,1.1989376E7,10.0,7703274.800000001,1721.5776227376641,1145429.6,41723.39545999477,1343.2,50.626738653271644,672.1,25.313369326635822,672.1,25.313369326635822,22.7,1.888562063228706,1576.9332313760606,9.871262389490395,0.0,0.0,1.0811936616214364,5.063883305690694E-4
