learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
770312.0,6.763072007,1.6043798081791401E-6,770312.0,97.5,95.00091983075114,94.93927125506072,94.78079331941545,97.5599257827026,97.55142017629774,97.44637385086824,97.50996015936255,100.0,95.0199203187251,97.60994263862332,95.21988527724665,100.0,770312.0,932560.0,10.0,769940.1000000001,678.8143994413228,54595.2,69824.44731499451,583.4,410.73624951623964,32.1,41.183734653379844,32.1,41.183734653379844,5.6000000000000005,7.290785661062569,0.0,0.0,0.0,0.0,1.0,0.0
1540624.0,13.347481971,3.6107979209883264E-6,1540624.0,97.39999999999999,94.78347404577701,94.63917525773195,94.61697722567287,97.4563569552984,97.22814498933901,97.5517890772128,97.61029411764706,100.0,95.22058823529412,97.30290456431536,94.6058091286307,100.0,1540624.0,1177896.0,10.0,1540719.3,766.0483086014166,78791.2,119742.4186872249,1198.2,853.7630168195908,46.1,70.07844810559726,46.1,70.07844810559726,5.3999999999999995,7.351492667781452,1302.1084141546528,687.8367638096473,0.0,0.0,1.0702674542912445,0.037289625799701825
2310936.0,19.901941088,5.972082900703007E-6,2310936.0,98.0,95.9861763914923,95.95141700404858,96.03174603174602,98.03179826719519,97.86780383795309,98.11676082862523,98.15157116451016,100.0,96.30314232902033,97.91231732776617,95.82463465553236,100.0,2310936.0,1392560.0,10.0,2311227.1999999997,1240.2334726440604,99956.0,163136.47039076075,1824.8,1325.9119964093477,58.8,95.83179708913599,58.8,95.83179708913599,5.6,7.691264886581111,1621.2606265044014,57.85115390408369,0.0,0.0,1.0877915382642231,0.0047014678812671755
3081248.0,26.537377685,8.438523761983996E-6,3081248.0,98.3,96.59975518237313,96.66666666666667,96.57258064516128,98.32782334732387,98.26707441386341,98.33169774288518,98.35907335907336,100.0,96.71814671814671,98.29659318637273,96.59318637274549,100.0,3081248.0,1436824.0,10.0,3081812.2,1534.9061353856453,104325.6,184264.50877848882,2512.5,1716.6040927106958,61.49999999999999,108.67612433280826,61.49999999999999,108.67612433280826,4.800000000000001,7.82872204698116,1622.591875486652,55.60586647538946,0.0,0.0,1.087714030978626,0.004777903563671547
3851560.0,33.239023406,1.0871155597018964E-5,3851560.0,97.2,94.4032908649714,94.34343434343434,94.08033826638477,97.2757451809878,97.23865877712032,97.1602434077079,97.23865877712032,100.0,94.47731755424064,97.31285988483684,94.6257197696737,100.0,3851560.0,1403128.0,10.0,3852193.2,1593.2276673470562,101002.4,199228.338334128,3201.2999999999997,2143.7471891785913,59.1,116.33901609806861,59.1,116.33901609806861,4.800000000000001,7.82872204698116,1622.591875486652,55.60586647538946,0.0,0.0,1.087714030978626,0.004777903563671547
4621872.0,39.996093713,1.3705598176049738E-5,4621872.0,98.5,96.99285502353592,97.06457925636008,96.9758064516129,98.51837072142506,98.41938883034773,98.57278782112274,98.59287054409005,100.0,97.18574108818011,98.44398340248964,96.88796680497926,100.0,4621872.0,1621480.0,10.0,4622805.4,772.3786060677228,122530.40000000001,237324.97789187252,3911.9999999999995,2539.4558034700617,72.3,139.83009531411884,72.3,139.83009531411884,5.199999999999999,8.495750571772795,1637.128960799549,43.776009594722574,0.0,0.0,1.0883669671013607,0.004809644092598711
5392184.0,46.793649487,1.6905578736967175E-5,5392184.0,98.5,97.00064786006223,96.93251533742331,97.0414201183432,98.52215438363493,98.49548645937813,98.50448654037885,98.52652259332024,100.0,97.05304518664047,98.51778656126481,97.03557312252964,100.0,5392184.0,1819688.0,10.0,5392902.2,1205.9154014920416,142080.0,276213.7447380601,4629.2,2959.642726186164,83.4,162.39608643341407,83.4,162.39608643341407,5.2,8.534895690308373,1636.0943796943798,45.266890704583126,0.0,0.0,1.088419340501097,0.004720680397386538
6162496.0,53.589687163,1.9763681132997525E-5,6162496.0,98.9,97.79963033789677,97.86821705426357,97.73662551440329,98.91165723930976,98.91838741396263,98.88097660223805,98.8933601609658,100.0,97.78672032193158,98.92996108949417,97.85992217898833,100.0,6162496.0,1625640.0,10.0,6163122.200000001,1050.1174325863633,122947.20000000001,245757.47707617047,5296.1,3443.9770114731537,72.6,145.44506408492063,72.6,145.44506408492063,4.3,6.992853494818836,1635.3685851637072,46.42196141877851,0.0,0.0,1.088457463184095,0.004658558731405592
6932808.0,60.390656515,2.2754378055716706E-5,6932808.0,98.0,95.99889569521187,95.91836734693877,95.73560767590618,98.03791532427374,97.94661190965093,98.05068226120859,98.08795411089865,100.0,96.17590822179733,97.98792756539235,95.97585513078471,100.0,6932808.0,1699824.0,10.0,6933082.8,1488.5899218910904,130256.0,251091.8395310989,5990.400000000001,3886.5888271221993,76.9,148.4688145331837,76.9,148.4688145331837,4.699999999999999,7.717944458640958,1635.3685851637072,46.42196141877851,0.0,0.0,1.088457463184095,0.004658558731405592
7703120.0,67.186408695,2.5332138737438978E-5,7703120.0,97.7,95.40110373510358,95.31568228105905,95.27720739219711,97.75107532822078,97.73844641101277,97.66022380467955,97.71371769383698,100.0,95.42743538767395,97.78846153846155,95.57692307692308,100.0,7703120.0,1466248.0,10.0,7703274.800000001,1721.5776227376641,107224.0,201836.68712655344,6651.999999999999,4387.446536553022,63.199999999999996,119.08708298272039,63.199999999999996,119.08708298272039,4.5,7.352248333370926,1635.3685851637072,46.42196141877851,0.0,0.0,1.088457463184095,0.004658558731405592
8473432.0,73.925348631,2.8044401840918123E-5,8473432.0,97.8,95.60205823674521,95.87242026266416,95.59118236472945,97.84732441995179,97.79116465863453,97.80876494023903,97.85575048732944,100.0,95.71150097465888,97.83889980353635,95.67779960707269,100.0,8473432.0,1555760.0,10.0,8473507.700000001,1896.7542481242635,116042.4,230201.7578015714,7349.5,4834.410092704636,68.8,137.07645879419104,68.8,137.07645879419104,4.4,7.3363630105265525,1634.594759211325,48.112062361360316,0.0,0.0,1.0884988879177802,0.004603384688340539
9243744.0,80.677763371,3.102893772947596E-5,9243744.0,98.3,96.58829101476266,96.78638941398866,96.39830508474576,98.32227846427291,98.18956336528221,98.39773798303487,98.42300556586271,100.0,96.84601113172542,98.22175732217573,96.44351464435147,100.0,9243744.0,1708520.0,10.0,9244042.0,2299.407991442915,131108.0,268311.1828737504,8062.900000000001,5277.7974456943475,77.7,159.2329181489249,77.7,159.2329181489249,4.6,7.662317607037124,1632.5145361522402,51.38621656195009,0.0,0.0,1.0886137530630082,0.004425643662523085
1.0014056E7,87.396572786,3.3606185227834965E-5,1.0014056E7,97.8,95.60126683515148,95.61752988047807,95.46391752577318,97.84694520671283,97.83037475345168,97.76876267748479,97.81746031746033,100.0,95.63492063492063,97.87644787644787,95.75289575289575,100.0,1.0014056E7,1482744.0,10.0,1.00147225E7,2245.75981945245,108842.4,246006.23908402538,8719.8,5783.471790849814,64.5,146.41512520531782,64.5,146.41512520531782,4.6,7.58946638440411,1632.537011371725,51.359665958923166,0.0,0.0,1.0886175927240958,0.004418525252773553
1.0784368E7,94.064537531,3.549826977813933E-5,1.0784368E7,98.3,96.60081580420699,96.44351464435145,96.48033126293996,98.32833637018892,98.31181727904668,98.28801611278952,98.31683168316832,100.0,96.63366336633663,98.33984375,96.6796875,100.0,1.0784368E7,1096856.0,10.0,1.07846905E7,1953.763163743353,70798.4,123336.21524849148,9341.0,6308.390884810131,41.400000000000006,72.15138406310874,41.400000000000006,72.15138406310874,3.9,6.505553183413554,1632.537011371725,51.359665958923166,0.0,0.0,1.0886175927240958,0.004418525252773553
1.155468E7,100.703298492,3.755128466889683E-5,1.155468E7,97.8,95.60126683515148,95.63492063492063,95.43568464730289,97.84694520671283,97.83037475345168,97.76876267748479,97.81746031746033,100.0,95.63492063492063,97.87644787644787,95.75289575289575,100.0,1.155468E7,1195384.0,10.0,1.15551763E7,2195.208623343177,80518.4,146925.07411995935,10045.2,6762.750801264232,47.0,86.08006608836786,47.0,86.08006608836786,4.4,7.167829363048327,1634.2915607580826,48.50494843058673,0.0,0.0,1.0885289260234594,0.004561534795296018
1.2324992E7,107.386067661,3.9944977282472025E-5,1.2324992E7,98.1,96.18810689350774,96.04166666666666,96.07438016528926,98.12903549810491,97.98087141339002,98.20585457979226,98.23747680890537,100.0,96.47495361781077,98.02083333333333,96.04166666666667,100.0,1.2324992E7,1384568.0,10.0,1.23257768E7,2672.312140783587,99172.0,200157.14783472844,10760.400000000001,7199.938150968924,58.1,117.42274055735541,58.1,117.42274055735541,4.3,7.394442357458592,1635.3393022965192,46.260860159704386,0.0,0.0,1.0884845336269486,0.004609370993889363
1.3095304E7,114.08862597,4.246874421871902E-5,1.3095304E7,98.0,96.0015833729843,96.24765478424014,95.92668024439918,98.03920799689412,97.99599198396794,98.00399201596807,98.04305283757338,100.0,96.08610567514677,98.03536345776031,96.07072691552064,100.0,1.3095304E7,1455496.0,10.0,1.3096202799999999E7,2438.055272365947,106164.0,219205.08312841045,11462.1,7659.854922472967,62.300000000000004,128.82033138358938,62.300000000000004,128.82033138358938,4.4,7.3363630105265525,1634.7019808030798,47.21063173354724,0.0,0.0,1.088507282138677,0.004573041470797473
1.3865616E7,120.857196338,4.5062627920840334E-5,1.3865616E7,99.0,97.99511610282649,97.98387096774194,97.96747967479675,99.00386178133978,98.94736842105264,99.04761904761905,99.04318126176457,99.78768577494692,98.29867674858222,98.96457350766752,98.12108559498957,99.80806142034548,1.3865616E7,1481344.0,10.0,1.3866860100000001E7,2323.283760829251,108711.20000000001,245322.07033421734,12168.100000000002,8131.678362360929,64.0,144.45145282143142,64.0,144.45145282143142,4.2,7.330302403948512,1634.7019808030798,47.21063173354724,0.0,0.0,1.088507282138677,0.004573041470797473
1.4635928E7,127.633194115,4.657314263829882E-5,1.4635928E7,98.1,96.1914688903143,96.09856262833675,96.06625258799171,98.13065538238426,97.99789251844047,98.19219790675547,98.22429906542057,100.0,96.44859813084112,98.03719008264463,96.07438016528926,100.0,1.4635928E7,861696.0,10.0,1.46372124E7,2339.6150300611207,47611.2,97180.18791777125,12822.599999999999,8646.017698596532,27.7,56.59613257301441,27.7,56.59613257301441,3.0,6.394442031083626,1637.8890785027124,43.10106077523819,0.0,0.0,1.0883656602462444,0.004811805406656389
1.540624E7,134.359903598,4.862395282273249E-5,1.540624E7,98.8,97.59973116989103,97.53086419753086,97.51552795031056,98.81392921529557,98.78048780487805,98.81889763779526,98.83268482490273,100.0,97.66536964980544,98.79518072289157,97.59036144578313,100.0,1.540624E7,1178488.0,10.0,1.54073918E7,2068.3184689232457,78848.0,162929.57830915786,13648.6,8914.149080098572,46.400000000000006,95.97244975049408,46.400000000000006,95.97244975049408,3.5,7.3824115301167,1647.7785351704133,34.601460567832724,0.0,0.0,1.089267383619042,0.004390904146706486
1.6176552E7,141.0714817,5.069226320710641E-5,1.6176552E7,98.4,96.79793787198956,96.88715953307393,96.79358717434869,98.42380061077726,98.35051546391752,98.44660194174757,98.47036328871893,100.0,96.94072657743786,98.37728194726166,96.75456389452333,100.0,1.6176552E7,1191224.0,10.0,1.61778792E7,1931.4224924768407,80108.79999999999,176392.8865363403,14444.1,9244.272382279623,47.0,103.88134256608996,47.0,103.88134256608996,3.5999999999999996,7.604092465391398,1647.7785351704133,34.601460567832724,0.0,0.0,1.089267383619042,0.004390904146706486
1.6946864E7,147.797863333,5.318617497508232E-5,1.6946864E7,98.4,96.7971174056651,96.80638722554889,96.70781893004114,98.42340300578216,98.34368530020706,98.45261121856868,98.47619047619047,100.0,96.95238095238096,98.37067209775967,96.74134419551935,100.0,1.6946864E7,1433184.0,10.0,1.69487898E7,1930.1265243500966,103968.0,223598.04316376892,15265.999999999998,9536.821984055041,60.900000000000006,130.9473600769069,60.900000000000006,130.9473600769069,3.8,8.011103405759894,1647.7785351704133,34.601460567832724,0.0,0.0,1.089267383619042,0.004390904146706486
1.7717176E7,154.539665744,5.5503077416264744E-5,1.7717176E7,98.7,97.39725149758144,97.47572815533981,97.32510288065843,98.71512935188159,98.65284974093265,98.74396135265701,98.75954198473282,100.0,97.51908396946564,98.67075664621676,97.34151329243353,100.0,1.7717176E7,1328416.0,10.0,1.77196822E7,2415.2072742890014,93636.8,242009.69707513787,16036.800000000001,9896.775522023996,54.7,141.33808954261252,54.7,141.33808954261252,3.0,6.599663291074443,1646.6727958624886,36.653503511376876,0.0,0.0,1.0893196178556082,0.004275565341525618
1.8487488E7,161.310395423,5.77761401656152E-5,1.8487488E7,98.3,96.59975518237313,96.4509394572025,96.45833333333333,98.32782334732387,98.33169774288518,98.26707441386341,98.29659318637273,100.0,96.59318637274549,98.35907335907336,96.71814671814671,100.0,1.8487488E7,1297712.0,10.0,1.84899909E7,2444.696820557471,90601.6,199894.9729495189,16826.8,10249.394147948453,53.3,117.88699862344636,53.3,117.88699862344636,3.1,6.573515886579351,1647.8004641525072,34.15352964722856,0.0,0.0,1.0892646602532543,0.0043883314597072025
