learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
770312.0,7.553306544,2.0169973444870114E-5,770312.0,99.2,98.39690281624097,98.38056680161942,98.32985386221294,99.19884653191076,99.23371647509578,99.163179916318,99.19017146245977,99.42418426103646,98.95615866388309,99.20752311891962,99.04397705544933,99.37106918238993,770312.0,1.0340152E7,10.0,717611.5,21632.193689807173,982405.6,387679.1002887712,1283.2,529.8523484057715,642.1,264.92617420288576,642.1,264.92617420288576,20.4,2.065591117977289,0.0,0.0,0.0,0.0,1.0,0.0
1540624.0,15.339198121,5.877573713110215E-5,1540624.0,99.3,98.59787999455176,98.55670103092783,98.55072463768116,99.29983010138575,99.27159209157129,99.32627526467758,99.31138528364033,99.58246346555325,99.04030710172745,99.28827760777969,98.96265560165975,99.61389961389962,1540624.0,1.9166648E7,10.0,1454641.0999999999,35001.48214464956,1852548.8,705723.4663175717,2425.8,960.4652576283595,1213.4,480.23262881417975,1213.4,480.23262881417975,22.5,2.1730674684008826,442.32596176911363,713.6215480035007,0.0,0.0,1.0261264476550993,0.04214501734307494
2310936.0,24.968612803,1.2656125431413211E-4,2310936.0,99.8,99.59922570406025,99.59514170040485,99.60317460317461,99.80001279918085,99.7907949790795,99.80842911877394,99.80879541108987,100.0,99.61759082217974,99.79123173277662,99.58246346555325,100.0,2310936.0,2.721068E7,10.0,2162676.8000000003,64966.78458822902,2645459.9999999995,1004920.8591733868,3478.4,1380.0029146507063,1739.7,690.0014573253532,1739.7,690.0014573253532,23.5,2.3213980461973533,577.7878715277706,748.0662955784559,0.0,0.0,1.035576218057097,0.04604934334791262
3081248.0,34.349758641,2.1115497769221524E-4,3081248.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3081248.0,3.4856568E7,10.0,2891937.3,89678.21449437983,3399181.6,1282071.5662939327,4472.0,1750.3681517517011,2236.5,875.1840758758506,2236.5,875.1840758758506,24.799999999999997,2.658320271650251,577.7878715277706,748.0662955784559,0.0,0.0,1.035576218057097,0.04604934334791262
3851560.0,44.308765306,3.197632101833152E-4,3851560.0,99.6,99.19858630624422,99.19191919191918,99.15433403805497,99.5992931531221,99.61612284069098,99.58246346555325,99.5992931531221,99.61612284069098,99.58246346555325,99.5992931531221,99.61612284069098,99.58246346555325,3851560.0,4.2155E7,10.0,3605171.6,133208.03599399613,4118640.8,1536870.9954077182,5428.0,2107.7352247798535,2714.5,1053.8676123899268,2714.5,1053.8676123899268,25.099999999999998,2.6436506745197805,577.7878715277706,748.0662955784559,0.0,0.0,1.035576218057097,0.04604934334791262
4621872.0,55.047003803,4.5600630621237426E-4,4621872.0,99.6,99.19907733709233,99.21722113502935,99.19354838709677,99.59993638728677,99.58592132505176,99.61315280464217,99.5931834198219,99.3801652892562,99.8062015503876,99.60669027059068,99.79253112033194,99.42084942084942,4621872.0,4.9043768E7,10.0,4321072.4,146377.66252418622,4797686.399999999,1785270.89190005,6331.0,2435.103648261769,3166.0,1217.5518241308846,3166.0,1217.5518241308846,25.9,2.806737924669451,725.8238341530031,767.2392504709408,0.0,0.0,1.0442164022143594,0.04673345084094001
5392184.0,65.814035003,6.118579061275956E-4,5392184.0,99.7,99.39995679688937,99.38650306748467,99.40828402366864,99.70087315127142,99.70267591674926,99.69727547931382,99.69818913480886,100.0,99.3963782696177,99.70355731225297,99.40711462450594,100.0,5392184.0,5.5952264E7,10.0,5051688.600000001,160398.802074496,5478537.600000001,2013386.694257282,7277.0,2782.26286800271,3639.0,1391.131434001355,3639.0,1391.131434001355,26.299999999999997,2.7507574714370335,724.2600211996672,765.5425364088027,0.0,0.0,1.04430847558558,0.0468266556899949
6162496.0,76.846398821,7.914825619542503E-4,6162496.0,99.9,99.79985429392599,99.8062015503876,99.79423868312757,99.9000270926579,99.90262901655306,99.8972250770812,99.89733059548254,100.0,99.7946611909651,99.90272373540856,99.80544747081711,100.0,6162496.0,6.2936088E7,10.0,5761164.2,189680.8666100921,6166943.2,2250034.5921274093,8196.4,3121.2825070616227,4098.7,1560.6412535308114,4098.7,1560.6412535308114,26.9,2.4244128727957572,860.5400581934981,743.2310875191237,0.0,0.0,1.053698545579436,0.04636565877071409
6932808.0,88.430426654,9.999100312654864E-4,6932808.0,99.5,98.99997599942398,98.9795918367347,98.93390191897655,99.50008700474963,99.49748743718592,99.50248756218906,99.4995919934719,99.3975903614458,99.60159362549801,99.50058202095275,99.59758551307847,99.40357852882704,6932808.0,6.9550096E7,10.0,6448208.8,235395.53282261855,6818942.4,2478509.7256473927,9046.800000000001,3420.049180932929,4523.900000000001,1710.0245904664646,4523.900000000001,1710.0245904664646,27.2,2.780887148615228,856.8247096646359,740.3261018931494,0.0,0.0,1.0539472706380806,0.04659699562271781
7703120.0,100.482800496,0.0012363390540173337,7703120.0,99.9,99.79969553721656,99.79633401221996,99.7946611909651,99.89994787284175,99.90375360923966,99.89594172736733,99.8960498960499,100.0,99.7920997920998,99.90384615384616,99.8076923076923,100.0,7703120.0,7.5828168E7,10.0,7125863.900000001,278182.0349617019,7437814.399999999,2702281.2383345547,9859.0,3725.0857708246126,4930.0,1862.5428854123063,4930.0,1862.5428854123063,27.7,2.9458068127047605,994.6753080119998,689.4220528200186,0.0,0.0,1.0632186782091047,0.04379861109229555
8473432.0,112.692093013,0.0014954890300239963,8473432.0,99.7,99.39982715021927,99.43714821763604,99.39879759519037,99.70001303260085,99.70501474926255,99.69481180061037,99.69832277062929,99.80314960629921,99.59349593495935,99.70170335188601,99.60707269155206,99.79633401221996,8473432.0,8.2047064E7,10.0,7834059.0,298500.49040570186,8050640.8,2910038.015386237,10728.400000000001,4030.7302950099634,5364.700000000001,2015.3651475049817,5364.700000000001,2015.3651475049817,28.200000000000003,2.820559440174157,994.6021346294002,689.1656018336535,0.0,0.0,1.0632115716476016,0.0437802550041163
