learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
77062.0,17.787408294,5.470805147413648E-6,77062.0,99.9,99.79989434421374,99.80392156862746,99.79550102249489,99.90004707782634,99.90224828934507,99.89764585465711,99.90234375,99.8046875,100.0,99.89775051124745,100.0,99.79550102249489,77062.0,1205152.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,865.0333333333331,3574.234254085933,3886.733333333333,8055.791139687927
154124.0,34.921438285,1.0906467398856354E-5,154124.0,99.9,99.79972602520247,99.800796812749,99.79550102249489,99.89996308637888,99.89615784008308,99.90356798457087,99.89626556016597,99.79253112033194,100.0,99.90366088631984,100.0,99.8073217726397,154124.0,1226296.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,0.9817321205635816,0.8,0.7,1130.7583333333341,4853.558928130731,4062.8,8203.88539390346
231186.0,52.444239094,1.656131388279593E-5,231186.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,231186.0,1247440.0,20.0,20.0,20.0,0.0,100.0,100.0,3.0,1.0,0.8,0.7,1147.9833333333336,5488.241600482445,4238.866666666667,8345.608443043195
308248.0,70.019480436,2.2233083640981635E-5,308248.0,99.7,99.39983195294683,99.34924078091106,99.38900203665987,99.70081110110489,99.70501474926253,99.69481180061037,99.70588235294117,99.41176470588235,100.0,99.69574036511156,100.0,99.39148073022312,308248.0,1247440.0,20.0,20.0,20.0,0.0,100.0,100.0,3.0,1.0,0.8,0.7,1425.2500000000005,5808.934207412786,4238.866666666667,8345.608443043195
385310.0,87.655167984,2.7924360213128896E-5,385310.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,385310.0,1247440.0,20.0,20.0,20.0,0.0,100.0,100.0,3.0,1.0,0.8,0.7,1026.8416666666672,3904.744216320445,4238.866666666667,8345.608443043195
462372.0,105.367546847,3.3640386117172553E-5,462372.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,462372.0,1247440.0,20.0,20.0,20.0,0.0,100.0,100.0,3.0,0.9949999999999999,0.8,0.7,643.6583333333333,2566.7537700169755,4238.866666666667,8345.608443043195
539434.0,123.057840989,3.934928498095268E-5,539434.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,539434.0,1247440.0,20.0,20.0,20.0,0.0,100.0,100.0,3.0,1.0,0.8,0.7,1261.4750000000013,5416.593166260646,4238.866666666667,8345.608443043195
616496.0,140.653116489,4.501477468579753E-5,616496.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,616496.0,1244640.0,20.0,20.0,20.0,0.0,100.0,100.0,3.0,0.9807629815069213,0.8,0.7,1177.8916666666664,5086.694196165927,4215.533333333334,8301.291978956524
693558.0,158.270051229,5.069999947138746E-5,693558.0,99.9,99.7999839987199,99.79797979797979,99.8019801980198,99.90009181562145,99.89909182643794,99.90089197224975,99.8991935483871,99.79838709677419,100.0,99.9009900990099,100.0,99.8019801980198,693558.0,1247440.0,20.0,20.0,20.0,0.0,100.0,100.0,3.0,1.0,0.8,0.7,1600.2333333333322,7055.799173638056,4238.866666666667,8345.608443043195
770620.0,175.719224735,5.633108542183528E-5,770620.0,99.9,99.79987512207617,99.80237154150198,99.8073217726397,99.90003748594276,99.90243902439025,99.8974358974359,99.90253411306043,99.80506822612085,100.0,99.89754098360656,100.0,99.79508196721312,770620.0,1247440.0,20.0,20.0,20.0,0.0,100.0,100.0,3.0,1.0,0.8,0.7,1467.8250000000007,6166.524865651435,4238.866666666667,8345.608443043195
