learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),members size
77062.0,2.653309303,2.0412275652735596E-7,77062.0,99.9,99.79989434421374,99.80392156862746,99.79550102249489,99.90004707782634,99.90224828934507,99.89764585465711,99.90234375,99.8046875,100.0,99.89775051124745,100.0,99.79550102249489,77062.0,307536.0,2.0
154124.0,5.675127908,4.612110816469126E-7,154124.0,99.9,99.79972602520247,99.800796812749,99.79550102249489,99.89996308637888,99.89615784008308,99.90356798457087,99.89626556016597,99.79253112033194,100.0,99.90366088631984,100.0,99.8073217726397,154124.0,328864.0,3.0
231186.0,8.947046862,7.576303203028357E-7,231186.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,231186.0,350192.0,4.0
308248.0,12.721535977,1.1204058664922333E-6,308248.0,99.8,99.599899174592,99.56616052060737,99.59266802443992,99.80034819275184,99.80314960629921,99.79674796747969,99.80353634577604,99.60707269155206,100.0,99.7971602434077,100.0,99.59432048681542,308248.0,371520.0,5.0
385310.0,17.11295386,1.566705923074339E-6,385310.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,385310.0,392848.0,6.0
462372.0,22.022352098,2.0927362962704274E-6,462372.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,462372.0,414176.0,7.0
539434.0,27.159928451,2.6432154131148876E-6,539434.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,539434.0,414176.0,7.0
616496.0,32.86997828,3.2865392977525044E-6,616496.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,616496.0,435504.0,8.0
693558.0,38.814915415,3.956326806819551E-6,693558.0,99.9,99.7999839987199,99.79797979797979,99.8019801980198,99.90009181562145,99.89909182643794,99.90089197224975,99.8991935483871,99.79838709677419,100.0,99.9009900990099,100.0,99.8019801980198,693558.0,435504.0,8.0
770620.0,45.039917061,4.6920147141767E-6,770620.0,99.9,99.79987512207617,99.80237154150198,99.8073217726397,99.90003748594276,99.90243902439025,99.8974358974359,99.90253411306043,99.80506822612085,100.0,99.89754098360656,100.0,99.79508196721312,770620.0,456832.0,9.0
847682.0,51.220399989,5.422441276341325E-6,847682.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,847682.0,456832.0,9.0
924744.0,57.300991779,6.141062427606827E-6,924744.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,924744.0,456832.0,9.0
1001806.0,63.818479223,6.983238486771729E-6,1001806.0,99.9,99.79999519988479,99.79838709677419,99.79919678714859,99.9000974050301,99.90049751243781,99.89949748743719,99.90059642147118,99.80119284294234,100.0,99.8995983935743,100.0,99.79919678714859,1001806.0,499488.0,11.0
1078868.0,71.400529384,8.004809591458482E-6,1078868.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1078868.0,520816.0,12.0
1155930.0,79.435040324,9.176005147243036E-6,1155930.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1155930.0,563472.0,14.0
1232992.0,88.355537256,1.06732292450896E-5,1232992.0,99.9,99.79987512207617,99.8073217726397,99.79757085020243,99.90003748594276,99.90243902439025,99.8974358974359,99.90253411306043,99.80506822612085,100.0,99.89754098360656,100.0,99.79508196721312,1232992.0,648784.0,18.0
1310054.0,99.141472869,1.2543062364070004E-5,1310054.0,99.9,99.7994368185866,99.7867803837953,99.78813559322035,99.89981877215884,99.90503323836657,99.89440337909187,99.90512333965845,99.81024667931689,100.0,99.89451476793249,100.0,99.78902953586498,1310054.0,670112.0,19.0
1387116.0,110.005788427,1.4426483309112358E-5,1387116.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1387116.0,670112.0,19.0
1464178.0,121.299373064,1.6446634808721324E-5,1464178.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1464178.0,691440.0,20.0
1541240.0,132.867692962,1.857975886061054E-5,1541240.0,99.9,99.79999039953917,99.80806142034548,99.79166666666667,99.90009500964582,99.90069513406156,99.89929506545822,99.90079365079364,99.8015873015873,100.0,99.89939637826961,100.0,99.79879275653923,1541240.0,712768.0,21.0
1618302.0,144.722122939,2.0765639777488276E-5,1618302.0,99.7,99.39978872563142,99.3975903614458,99.38144329896907,99.70078961620284,99.69418960244649,99.70559371933267,99.6951219512195,99.39024390243902,100.0,99.706457925636,100.0,99.412915851272,1618302.0,712768.0,21.0
1695364.0,156.468570002,2.293160933704901E-5,1695364.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1695364.0,712768.0,21.0
1772426.0,168.770142114,2.5267815169173892E-5,1772426.0,99.8,99.59992318525157,99.59514170040485,99.5959595959596,99.80036015028888,99.79716024340772,99.80276134122288,99.79757085020242,99.59514170040485,100.0,99.80314960629921,100.0,99.60629921259843,1772426.0,734096.0,22.0
1849488.0,182.30179349,2.7986950417796323E-5,1849488.0,99.8,99.598999101758,99.58932238193019,99.6,99.79989994997499,99.78947368421053,99.80952380952381,99.78991596638656,99.57983193277312,100.0,99.80988593155892,100.0,99.61977186311786,1849488.0,776752.0,24.0
1926550.0,195.85533668,3.0710484745396596E-5,1926550.0,99.9,99.79991196126295,99.79209979209979,99.78991596638656,99.90005586876937,99.89785495403473,99.90205680705189,99.89795918367346,99.79591836734694,100.0,99.90215264187867,100.0,99.80430528375733,1926550.0,776752.0,24.0
2003612.0,211.145667434,3.3951751009685397E-5,2003612.0,99.8,99.59803196449818,99.60552268244575,99.56803455723542,99.79941831310802,99.81308411214954,99.78494623655914,99.81343283582089,99.6268656716418,100.0,99.78540772532189,100.0,99.57081545064378,2003612.0,819408.0,26.0
2080674.0,226.278762893,3.7243184206567035E-5,2080674.0,99.9,99.79995518996255,99.800796812749,99.7946611909651,99.90007743998402,99.8984771573604,99.90147783251231,99.89858012170384,99.79716024340772,100.0,99.9015748031496,100.0,99.80314960629921,2080674.0,840736.0,27.0
2157736.0,242.104082869,4.094712742453879E-5,2157736.0,99.8,99.59998719959039,99.60238568588468,99.59266802443992,99.80039203005298,99.79879275653923,99.80119284294234,99.79919678714859,99.59839357429718,100.0,99.8015873015873,100.0,99.60317460317461,2157736.0,904720.0,30.0
2234798.0,259.078711908,4.492006839520738E-5,2234798.0,99.9,99.79999519988479,99.80544747081711,99.78768577494692,99.9000974050301,99.90049751243781,99.89949748743719,99.90059642147118,99.80119284294234,100.0,99.8995983935743,100.0,99.79919678714859,2234798.0,904720.0,30.0
2311860.0,276.453598423,4.9082557445648576E-5,2311860.0,99.9,99.79999039953917,99.8062015503876,99.79591836734694,99.90009500964582,99.90069513406156,99.89929506545822,99.90079365079364,99.8015873015873,100.0,99.89939637826961,100.0,99.79879275653923,2311860.0,926048.0,31.0
2388922.0,294.18979021,5.3527325458676086E-5,2388922.0,99.7,99.39993279247275,99.3723849372385,99.39148073022312,99.70086122054605,99.69666329625885,99.70326409495549,99.69758064516128,99.39516129032258,100.0,99.70414201183432,100.0,99.40828402366864,2388922.0,968704.0,33.0
2465984.0,313.06892253,5.8362686330778534E-5,2465984.0,99.9,99.7999983999872,99.7946611909651,99.79633401221996,99.90009900188913,99.90029910269193,99.89969909729189,99.9003984063745,99.800796812749,100.0,99.89979959919839,100.0,99.79959919839679,2465984.0,990032.0,34.0
2543046.0,333.244754898,6.386412522777551E-5,2543046.0,99.7,99.39978872563142,99.38900203665987,99.3975903614458,99.70078961620284,99.70559371933267,99.69418960244649,99.706457925636,99.412915851272,100.0,99.6951219512195,100.0,99.39024390243902,2543046.0,1054016.0,37.0
2620108.0,353.866641953,6.948719194961215E-5,2620108.0,99.9,99.8,99.8073217726397,99.8,99.9000998002995,99.8998998998999,99.90009990009989,99.9,99.8,100.0,99.9001996007984,100.0,99.8003992015968,2620108.0,1054016.0,37.0
