learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77062.0,9.160869389,1.085567141242879E-5,77062.0,99.9,99.79991196126295,99.80392156862746,99.79550102249489,99.90005586876937,99.90205680705189,99.89785495403473,99.89795918367346,100.0,99.79591836734694,99.90215264187867,99.80430528375733,100.0,77062.0,4598720.0,10.0,0.0,462292.0,401.0882418842282,418406.4,46597.019235139924,24.599999999999998,2.4585451886114367,12.799999999999999,1.2292725943057183,12.799999999999999,1.2292725943057183,5.6,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
154124.0,14.462739979,1.7363068630992507E-5,154124.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,154124.0,4744392.0,10.0,0.0,924545.6,871.8272254931572,432797.6,49884.58431040818,25.0,2.82842712474619,13.0,1.414213562373095,13.0,1.414213562373095,5.7,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
231186.0,19.735349224,2.4291533173860153E-5,231186.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,231186.0,5079416.0,10.0,0.0,1386593.4000000001,996.6342469643665,466108.0,65400.654757170945,27.0,3.8873012632302,14.0,1.9436506316151,14.0,1.9436506316151,5.9,0.7378647873726217,9907.723076923077,15953.285416185681,0.0,0.0,1.0011745634213762,0.0018912628773280163
308248.0,25.393230339,3.255937707984887E-5,308248.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,308248.0,5648600.0,10.0,0.0,1848750.5,1102.242890151203,522983.2,59908.821321886964,30.6,3.502380143083652,15.8,1.751190071541826,15.8,1.751190071541826,6.199999999999999,0.6324555320336759,9907.723076923077,15953.285416185681,0.0,0.0,1.0011745634213762,0.0018912628773280163
385310.0,31.696594709,4.2247275895502364E-5,385310.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,385310.0,5941000.0,10.0,0.0,2311261.9000000004,848.2641687587512,552036.0,67836.86662051018,32.199999999999996,4.022160834399563,16.599999999999998,2.011080417199781,16.599999999999998,2.011080417199781,6.500000000000001,0.7071067811865474,16043.510211425999,16936.604283673172,0.0,0.0,1.0020150998029038,0.002127218627694639
462372.0,37.258675387,5.085547103408105E-5,462372.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,462372.0,5982424.0,10.0,0.0,2773700.7,1168.8311397859513,556174.3999999999,66863.58711951438,32.800000000000004,3.938414796731181,16.900000000000002,1.9692073983655904,16.900000000000002,1.9692073983655904,6.7,0.6749485577105528,16043.510211425999,16936.604283673172,0.0,0.0,1.0020150998029038,0.002127218627694639
539434.0,42.917223723,5.980982635928727E-5,539434.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,539434.0,6116904.0,10.0,0.0,3236296.0999999996,913.2248658219686,569614.4,57090.41335207787,33.2,3.3266599866332394,17.1,1.6633299933166197,17.1,1.6633299933166197,6.7,0.6749485577105528,22674.93609377894,15681.256219603718,0.0,0.0,1.0027933377493692,0.0019319324362787557
616496.0,48.831407993,6.955736977364412E-5,616496.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,616496.0,6370928.0,10.0,0.0,3698505.0,1519.41713970997,594996.7999999999,66761.33866709252,35.0,4.216370213557839,18.0,2.1081851067789197,18.0,2.1081851067789197,6.9,0.8755950357709131,22674.93609377894,15681.256219603718,0.0,0.0,1.0027933377493692,0.0019319324362787557
693558.0,55.742107125,8.124735465619728E-5,693558.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,693558.0,6538744.0,10.0,0.0,4160775.7,1670.3855210366175,611648.0,82312.61834953105,36.199999999999996,5.266244708835067,18.599999999999998,2.6331223544175333,18.599999999999998,2.6331223544175333,7.0,0.9428090415820634,25972.955141397986,13729.094872926762,0.0,0.0,1.0031837597054063,0.0016831945825166077
770620.0,62.209776358,9.285753091996497E-5,770620.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,770620.0,6938944.0,10.0,0.0,4622952.1,1828.8380312221586,651586.4,77522.99923563901,39.2,5.028805910838963,20.1,2.5144029554194813,20.1,2.5144029554194813,7.199999999999999,0.7888106377466155,25972.955141397986,13729.094872926762,0.0,0.0,1.0031837597054063,0.0016831945825166077
