learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77062.0,13.152286902,8.90188125005337E-6,77062.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77062.0,2634216.0,46962.0,32458.349379542462,216379.99999999997,102742.92670760571,12.4,6.995236474439826,6.7,3.497618237219913,6.7,3.497618237219913,3.4,1.5055453054181622,0.0,0.0,0.0,0.0,1.0,0.0
154124.0,22.684372735,1.629152708229776E-5,154124.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,154124.0,2996664.0,101174.0,64232.41220581536,252598.4,114408.23272940924,14.6,7.5306779981029,7.800000000000001,3.7653389990514503,7.800000000000001,3.7653389990514503,4.2,1.7511900715418263,0.0,0.0,0.0,0.0,1.0,0.0
231186.0,31.858384891,2.330980543395664E-5,231186.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,231186.0,2957152.0,103936.0,106847.56795443581,245460.0,144736.6536575998,13.999999999999998,9.104333522498441,7.5,4.552166761249221,7.5,4.552166761249221,3.9,2.183269719175042,0.0,0.0,0.0,0.0,1.0,0.0
308248.0,41.955130704,3.296123430665069E-5,308248.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,308248.0,3694984.0,158748.0,130855.09373179004,322380.8,139596.75682702026,18.6,8.579044235810887,9.8,4.2895221179054435,9.8,4.2895221179054435,4.800000000000001,1.7511900715418263,0.0,0.0,0.0,0.0,1.0,0.0
385310.0,50.684403628,4.162809190884463E-5,385310.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,385310.0,3837832.0,210110.0,163435.54624921037,336656.0,163493.2623497916,19.4,10.01332445627658,10.2,5.00666222813829,10.2,5.00666222813829,4.999999999999999,2.260776661041756,0.0,0.0,0.0,0.0,1.0,0.0
462372.0,60.691667606,5.209537363567788E-5,462372.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,462372.0,4043160.0,265472.0,193882.8111113629,353984.8,166097.19681680365,20.200000000000003,10.031062866028815,10.600000000000001,5.015531433014408,10.600000000000001,5.015531433014408,5.2,2.043961295567452,0.0,0.0,0.0,0.0,1.0,0.0
539434.0,70.392577145,6.278977990483757E-5,539434.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,539434.0,4261344.0,322434.0,223692.2489095727,375785.60000000003,168805.00528861367,21.8,10.250203250017371,11.4,5.125101625008686,11.4,5.125101625008686,5.6,2.1705094128132942,0.0,0.0,0.0,0.0,1.0,0.0
616496.0,79.482258239,7.200356750337384E-5,616496.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,616496.0,3918248.0,323596.0,259919.30371645052,344693.60000000003,153839.972267866,19.600000000000005,9.143303560529969,10.300000000000002,4.571651780264984,10.300000000000002,4.571651780264984,5.5,2.068278940998476,0.0,0.0,0.0,0.0,1.0,0.0
693558.0,89.549721699,8.220994617553085E-5,693558.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,693558.0,3918808.0,382208.0,285946.5810640551,344749.60000000003,163840.4053402104,19.6,9.80022675474626,10.3,4.90011337737313,10.3,4.90011337737313,5.1,2.558211180579986,0.0,0.0,0.0,0.0,1.0,0.0
770620.0,98.044463134,9.11985696247394E-5,770620.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,770620.0,4090208.0,414020.0,337518.6250004912,361875.99999999994,185246.7509314716,21.0,11.075498483890767,11.0,5.5377492419453835,11.0,5.5377492419453835,5.3,2.496664441476534,0.0,0.0,0.0,0.0,1.0,0.0
847682.0,107.283731334,1.0134196986553115E-4,847682.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,847682.0,4243736.0,468581.99999999994,368484.7200209106,377218.4,187727.79575355613,21.6,11.236844159579089,11.3,5.6184220797895446,11.3,5.6184220797895446,5.5,2.3213980461973533,0.0,0.0,0.0,0.0,1.0,0.0
924744.0,116.235323817,1.1180391958709445E-4,924744.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,924744.0,4517672.0,528694.0,392914.2152627664,401402.4,186967.08549498464,22.999999999999996,11.195237082497776,11.999999999999998,5.597618541248888,11.999999999999998,5.597618541248888,5.6,2.503331114069145,0.0,0.0,0.0,0.0,1.0,0.0
1001806.0,124.250389553,1.2148263458966917E-4,1001806.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1001806.0,4667808.0,590406.0,416448.396162918,416404.0,195652.8393342544,24.0,11.822765233978798,12.5,5.9113826169894,12.5,5.9113826169894,5.7,2.584139659108574,0.0,0.0,0.0,0.0,1.0,0.0
1078868.0,133.263848808,1.3230295334837878E-4,1078868.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1078868.0,4640352.0,652068.0,441184.3404091109,416851.2,196331.12083688276,24.0,11.822765233978798,12.5,5.9113826169894,12.5,5.9113826169894,5.7,2.584139659108574,0.0,0.0,0.0,0.0,1.0,0.0
1155930.0,141.347424971,1.4262024728227835E-4,1155930.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1155930.0,4933608.0,715230.0,464344.5918711663,442964.0,187860.27780951103,25.8,11.631375193367674,13.4,5.815687596683837,13.4,5.815687596683837,6.000000000000001,2.260776661041756,0.0,0.0,0.0,0.0,1.0,0.0
1232992.0,148.974008402,1.5216249278247057E-4,1232992.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1232992.0,4836408.0,747892.0,524034.4454327406,436442.4,202328.78845812657,25.2,12.163698268025048,13.1,6.081849134012524,13.1,6.081849134012524,5.9,2.282785822435191,0.0,0.0,0.0,0.0,1.0,0.0
1310054.0,156.757936826,1.617741136670871E-4,1310054.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1310054.0,4773096.0,808004.0,551105.2757867593,430116.0,220855.59136735077,24.800000000000004,13.281566172707192,12.900000000000002,6.640783086353596,12.900000000000002,6.640783086353596,5.7,2.6267851073127395,0.0,0.0,0.0,0.0,1.0,0.0
1387116.0,165.1736838,1.724708479178115E-4,1387116.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1387116.0,4913160.0,870116.0,575778.3138210978,444112.8,210662.88676608945,25.6,12.720936373640983,13.3,6.3604681868204915,13.3,6.3604681868204915,6.000000000000001,2.4037008503093262,0.0,0.0,0.0,0.0,1.0,0.0
1464178.0,174.05566765,1.8198373070574082E-4,1464178.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1464178.0,4140040.0,779628.0,686646.7007615101,366856.0,215426.675760764,21.000000000000004,12.927146286443545,11.000000000000002,6.4635731432217725,11.000000000000002,6.4635731432217725,5.2,2.6583202716502514,0.0,0.0,0.0,0.0,1.0,0.0
