learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77062.0,5.991382284,4.417230016155491E-6,77062.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77062.0,2867864.0,10.0,76962.0,159.13935193198628,248522.40000000002,57046.628762404136,13.799999999999999,3.4253953543107007,7.3999999999999995,1.7126976771553504,7.3999999999999995,1.7126976771553504,3.9999999999999996,0.8164965809277261,0.0,0.0,0.0,0.0,1.0,0.0
154124.0,9.923454049,7.463825062555915E-6,154124.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,154124.0,2994992.0,10.0,153944.69999999998,374.1105154600445,261223.99999999997,70358.73982827026,15.0,4.216370213557839,8.0,2.1081851067789197,8.0,2.1081851067789197,4.1,0.8755950357709132,0.0,0.0,0.0,0.0,1.0,0.0
231186.0,13.830958618,1.1278460043805064E-5,231186.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,231186.0,3773600.0,10.0,230877.30000000002,373.14639665061094,339025.6,98949.95431271754,20.2,5.513619500836089,10.6,2.7568097504180447,10.6,2.7568097504180447,4.8,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
308248.0,17.666028064,1.574970388192626E-5,308248.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,308248.0,4506688.0,10.0,307846.5,517.4976650510944,412281.60000000003,87654.05105070729,24.2,5.266244708835067,12.6,2.6331223544175333,12.6,2.6331223544175333,5.500000000000001,0.7071067811865474,0.0,0.0,0.0,0.0,1.0,0.0
385310.0,21.743246252,2.0868750153874637E-5,385310.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,385310.0,4853192.0,10.0,384998.6,383.3113616891665,446908.8,98545.91314915095,26.000000000000004,5.830951894845301,13.500000000000002,2.9154759474226504,13.500000000000002,2.9154759474226504,5.7,0.674948557710553,0.0,0.0,0.0,0.0,1.0,0.0
462372.0,25.818276492,2.6135641656610982E-5,462372.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,462372.0,4996040.0,10.0,462097.8,444.2123616269791,461184.0,99446.11834221252,26.800000000000004,5.846176338238333,13.900000000000002,2.9230881691191666,13.900000000000002,2.9230881691191666,5.799999999999999,0.9189365834726815,0.0,0.0,0.0,0.0,1.0,0.0
539434.0,29.853770899,3.148210747133608E-5,539434.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,539434.0,5121208.0,10.0,539227.5,358.3968160820951,473690.4,98604.45462463761,27.8,6.124631508189788,14.4,3.062315754094894,14.4,3.062315754094894,6.0,0.9428090415820634,0.0,0.0,0.0,0.0,1.0,0.0
616496.0,33.808855322,3.69562192790249E-5,616496.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,616496.0,5350080.0,10.0,616212.5,581.4086820434904,496561.6,99718.10591774306,29.0,5.962847939999439,15.0,2.9814239699997196,15.0,2.9814239699997196,6.4,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
693558.0,37.646900469,4.2312544723584935E-5,693558.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,693558.0,5394600.0,10.0,693269.5,637.5782740617417,501010.4,98294.09238628965,29.400000000000002,6.310485101972924,15.200000000000001,3.155242550986462,15.200000000000001,3.155242550986462,6.4,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
770620.0,41.651532434,4.8171529070176894E-5,770620.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,770620.0,5655384.0,10.0,770250.2,667.4979483946944,527071.2,109339.63171777091,31.0,6.863753427324667,16.0,3.4318767136623336,16.0,3.4318767136623336,6.4,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
