learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
7706.0,2.390251935,9.789923168479466E-7,7706.0,99.8,99.59953866854616,99.62616822429906,99.61013645224172,7706.0,1601440.0,10.0,7677.0,83.13041962282311,119566.40000000001,17418.01786911728,6.199999999999999,1.0327955589886444,3.5999999999999996,0.5163977794943222,3.5999999999999996,0.5163977794943222,2.5999999999999996,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
15412.0,3.500684668,1.6047094803088491E-6,15412.0,100.0,100.0,100.0,100.0,15412.0,2178152.0,10.0,15428.9,88.18093772339806,177027.2,16222.220459056223,9.600000000000001,0.966091783079296,5.300000000000001,0.483045891539648,5.300000000000001,0.483045891539648,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23118.0,4.241169231,2.055235557497767E-6,23118.0,100.0,100.0,100.0,100.0,23118.0,2351832.0,10.0,23084.899999999998,91.7913697226246,194215.2,30540.050370328827,10.6,1.837873166945363,5.8,0.9189365834726815,5.8,0.9189365834726815,3.3000000000000003,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
30824.0,4.955880945,2.5026656926268237E-6,30824.0,100.0,100.0,100.0,100.0,30824.0,2419896.0,10.0,30769.2,100.00088888493833,201016.0,34323.161936705845,11.2,1.9888578520235065,6.1,0.9944289260117533,6.1,0.9944289260117533,3.3000000000000003,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
38530.0,5.645944287,2.9859275769810896E-6,38530.0,100.0,100.0,100.0,100.0,38530.0,2707048.0,10.0,38459.299999999996,129.25087577609992,229710.4,38886.13683620995,12.8,2.3944379994757297,6.9,1.1972189997378648,6.9,1.1972189997378648,3.6999999999999997,0.6749485577105531,0.0,0.0,0.0,0.0,1.0,0.0
46236.0,6.303067973,3.458350320356354E-6,46236.0,100.0,100.0,100.0,100.0,46236.0,2778984.0,10.0,46161.799999999996,127.46485354359017,236764.8,45022.771396014454,13.2,2.7406406388125952,7.1,1.3703203194062976,7.1,1.3703203194062976,3.7999999999999994,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
53942.0,6.962548321,3.944472673704018E-6,53942.0,100.0,100.0,100.0,100.0,53942.0,2849352.0,10.0,53842.3,139.58752730017795,243763.19999999998,56021.61045882205,13.6,3.40587727318528,7.3,1.70293863659264,7.3,1.70293863659264,3.8999999999999995,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
61648.0,7.613213426,4.4307924480204445E-6,61648.0,100.0,100.0,100.0,100.0,61648.0,2889128.0,10.0,61547.5,139.00699422850846,247738.40000000002,57014.16127244178,13.799999999999999,3.4253953543107007,7.3999999999999995,1.7126976771553504,7.3999999999999995,1.7126976771553504,3.9999999999999996,0.8164965809277261,0.0,0.0,0.0,0.0,1.0,0.0
69354.0,8.241434081,4.901610968873647E-6,69354.0,100.0,100.0,100.0,100.0,69354.0,2896968.0,10.0,69281.0,171.51158043182383,248522.40000000002,57046.628762404136,13.799999999999999,3.4253953543107007,7.3999999999999995,1.7126976771553504,7.3999999999999995,1.7126976771553504,3.9999999999999996,0.8164965809277261,0.0,0.0,0.0,0.0,1.0,0.0
77060.0,8.87114521,5.373546522028263E-6,77060.0,100.0,100.0,100.0,100.0,77060.0,2896968.0,10.0,76959.0,159.91803456076437,248522.40000000002,57046.628762404136,13.799999999999999,3.4253953543107007,7.3999999999999995,1.7126976771553504,7.3999999999999995,1.7126976771553504,3.9999999999999996,0.8164965809277261,0.0,0.0,0.0,0.0,1.0,0.0
84766.0,9.570218503,5.897465389003813E-6,84766.0,100.0,100.0,100.0,100.0,84766.0,2896968.0,10.0,84663.2,176.63572056008215,248522.40000000002,57046.628762404136,13.799999999999999,3.4253953543107007,7.3999999999999995,1.7126976771553504,7.3999999999999995,1.7126976771553504,3.9999999999999996,0.8164965809277261,0.0,0.0,0.0,0.0,1.0,0.0
92472.0,10.212182697,6.378779279537111E-6,92472.0,100.0,100.0,100.0,100.0,92472.0,2898144.0,10.0,92378.69999999998,204.24769820544927,248522.40000000002,57046.628762404136,13.799999999999999,3.4253953543107007,7.3999999999999995,1.7126976771553504,7.3999999999999995,1.7126976771553504,3.9999999999999996,0.8164965809277261,0.0,0.0,0.0,0.0,1.0,0.0
100178.0,10.889247393,6.893268991891006E-6,100178.0,100.0,100.0,100.0,100.0,100178.0,2937304.0,10.0,100043.2,229.6798738340933,252385.59999999998,60171.10970704943,14.0,3.5590260840104366,7.5,1.7795130420052183,7.5,1.7795130420052183,4.1,0.8755950357709132,0.0,0.0,0.0,0.0,1.0,0.0
107884.0,11.538557638,7.387609249933924E-6,107884.0,100.0,100.0,100.0,100.0,107884.0,2942904.0,10.0,107765.2,280.10426630096276,252945.6,61043.04717019148,14.0,3.5590260840104366,7.5,1.7795130420052183,7.5,1.7795130420052183,4.1,0.8755950357709132,0.0,0.0,0.0,0.0,1.0,0.0
115590.0,12.197267242,7.889105534836541E-6,115590.0,100.0,100.0,100.0,100.0,115590.0,2942904.0,10.0,115472.80000000002,343.5733141881338,252945.6,61043.04717019148,14.0,3.5590260840104366,7.5,1.7795130420052183,7.5,1.7795130420052183,4.1,0.8755950357709132,0.0,0.0,0.0,0.0,1.0,0.0
123296.0,12.84313061,8.380397848933263E-6,123296.0,100.0,100.0,100.0,100.0,123296.0,2940368.0,10.0,123177.1,289.3338901684358,252691.2,60806.25256738725,14.2,3.794733192202055,7.6,1.8973665961010275,7.6,1.8973665961010275,4.1,0.8755950357709132,0.0,0.0,0.0,0.0,1.0,0.0
131002.0,13.484577535,8.87358509603655E-6,131002.0,100.0,100.0,100.0,100.0,131002.0,2972032.0,10.0,130832.29999999999,271.8798958690738,255856.0,64408.465751362564,14.2,3.794733192202055,7.6,1.8973665961010275,7.6,1.8973665961010275,4.1,0.8755950357709132,0.0,0.0,0.0,0.0,1.0,0.0
138708.0,14.131924069,9.376186394017408E-6,138708.0,100.0,100.0,100.0,100.0,138708.0,3001160.0,10.0,138519.69999999998,296.8984300695854,258766.4,70639.29842862887,14.399999999999999,4.221637386396684,7.699999999999999,2.110818693198342,7.699999999999999,2.110818693198342,4.1,0.8755950357709132,0.0,0.0,0.0,0.0,1.0,0.0
146414.0,14.780079568,9.878802742402623E-6,146414.0,100.0,100.0,100.0,100.0,146414.0,2997504.0,10.0,146251.0,336.23206271859107,258400.0,70778.39670407913,14.6,4.1952353926806065,7.8,2.0976176963403033,7.8,2.0976176963403033,4.1,0.8755950357709132,0.0,0.0,0.0,0.0,1.0,0.0
154120.0,15.432181831,1.0389249101529526E-5,154120.0,100.0,100.0,100.0,100.0,154120.0,3025776.0,10.0,153939.9,373.77190013875145,261223.99999999997,70358.73982827026,15.0,4.216370213557839,8.0,2.1081851067789197,8.0,2.1081851067789197,4.1,0.8755950357709132,0.0,0.0,0.0,0.0,1.0,0.0
161826.0,16.089471688,1.0919236720822994E-5,161826.0,100.0,100.0,100.0,100.0,161826.0,3116816.0,10.0,161604.7,363.6625572636717,270321.60000000003,77062.63526249281,15.399999999999999,4.599516882842757,8.2,2.2997584414213783,8.2,2.2997584414213783,4.1,0.8755950357709132,0.0,0.0,0.0,0.0,1.0,0.0
169532.0,16.728368229,1.1440820920052214E-5,169532.0,100.0,100.0,100.0,100.0,169532.0,3155704.0,10.0,169300.2,366.4974761168193,274158.4,76587.2041578168,15.399999999999999,4.599516882842757,8.2,2.2997584414213783,8.2,2.2997584414213783,4.1,0.8755950357709132,0.0,0.0,0.0,0.0,1.0,0.0
177238.0,17.376565736,1.1970267912873892E-5,177238.0,100.0,100.0,100.0,100.0,177238.0,3157312.0,10.0,177013.59999999998,352.24429653926984,274232.8,76545.37656231543,16.0,4.346134936801766,8.5,2.173067468400883,8.5,2.173067468400883,4.3,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
184944.0,18.029159286,1.2514996480461725E-5,184944.0,100.0,100.0,100.0,100.0,184944.0,3226560.0,10.0,184769.0,351.6734596500302,281119.19999999995,87615.19644546702,16.400000000000002,4.993328882953068,8.7,2.496664441476534,8.7,2.496664441476534,4.500000000000001,0.9718253158075499,0.0,0.0,0.0,0.0,1.0,0.0
192650.0,18.693469939,1.3096711222698234E-5,192650.0,100.0,100.0,100.0,100.0,192650.0,3384864.0,10.0,192448.09999999998,344.07571841094034,296940.0,88993.43394505761,16.8,5.370702416299421,8.9,2.6853512081497106,8.9,2.6853512081497106,4.500000000000001,0.9718253158075499,0.0,0.0,0.0,0.0,1.0,0.0
200356.0,19.348165255,1.3670610446836048E-5,200356.0,100.0,100.0,100.0,100.0,200356.0,3388432.0,10.0,200131.60000000003,380.12196872991643,297294.4,89287.67763085291,17.399999999999995,5.796550698475776,9.199999999999998,2.898275349237888,9.199999999999998,2.898275349237888,4.6,0.9660917830792958,0.0,0.0,0.0,0.0,1.0,0.0
208062.0,19.995817573,1.423837874321264E-5,208062.0,100.0,100.0,100.0,100.0,208062.0,3388688.0,10.0,207809.9,357.06098140855954,297319.19999999995,89278.72276665054,17.599999999999998,5.738757124441959,9.299999999999999,2.8693785622209793,9.299999999999999,2.8693785622209793,4.7,0.9486832980505137,0.0,0.0,0.0,0.0,1.0,0.0
