learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77062.0,9.461304701,5.452788085970967E-6,77062.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77062.0,2243336.0,10.0,76962.0,159.13935193198628,185663.2,106793.97372594474,29.0,24.580932086115492,5.5,3.2058973436118907,5.5,3.2058973436118907,2.9,2.0789954839350235,0.0,0.0,0.0,0.0,1.0,0.0
154124.0,16.956594119,9.981865988211037E-6,154124.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,154124.0,2335736.0,10.0,153944.69999999998,374.1105154600445,194894.4,115869.10738050741,52.29999999999999,59.68817117132822,6.0,3.6209268304000717,6.0,3.6209268304000717,3.0000000000000004,2.160246899469287,0.0,0.0,0.0,0.0,1.0,0.0
231186.0,23.688497264,1.4675951299169891E-5,231186.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,231186.0,2695352.0,10.0,230877.30000000002,373.14639665061094,230829.6,161796.8250445258,76.9,93.19448004635849,7.1000000000000005,5.021066730398144,7.1000000000000005,5.021066730398144,3.2,2.440400695696417,0.0,0.0,0.0,0.0,1.0,0.0
308248.0,31.530994794,2.097590157738786E-5,308248.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,308248.0,3105168.0,10.0,307846.5,517.4976650510944,271780.8,205063.18444204243,103.50000000000001,116.69642477623536,8.3,6.342975116877989,8.3,6.342975116877989,3.3,2.869378562220979,0.0,0.0,0.0,0.0,1.0,0.0
385310.0,40.791694557,2.891106524166043E-5,385310.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,385310.0,3312184.0,10.0,384998.6,383.3113616891665,292468.8,223952.73721072884,133.5,148.96177734946343,8.799999999999999,6.795423296438403,8.799999999999999,6.795423296438403,3.5,3.0276503540974917,0.0,0.0,0.0,0.0,1.0,0.0
462372.0,47.833783975,3.5079891454972226E-5,462372.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,462372.0,3386128.0,10.0,462097.8,444.2123616269791,299858.4,229478.8598131766,161.69999999999996,182.20748246618925,9.0,6.944222218666553,9.0,6.944222218666553,3.5,3.0276503540974917,0.0,0.0,0.0,0.0,1.0,0.0
539434.0,55.095044709,4.130389594075096E-5,539434.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,539434.0,3313296.0,10.0,539227.5,358.3968160820951,292580.0,222889.32341510762,189.90000000000003,217.16171649512975,8.8,6.779052703405952,8.8,6.779052703405952,3.6,3.1340424729448424,0.0,0.0,0.0,0.0,1.0,0.0
616496.0,63.216563157,4.831820155107103E-5,616496.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,616496.0,3338488.0,10.0,616212.5,581.4086820434904,295096.8,229925.7472551616,219.19999999999996,253.04141075238167,8.899999999999999,6.999206304209706,8.899999999999999,6.999206304209706,3.5,3.100179206289712,0.0,0.0,0.0,0.0,1.0,0.0
693558.0,71.31979683,5.521104425103034E-5,693558.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,693558.0,3288080.0,10.0,693269.5,637.5782740617417,290060.8,230238.25869776242,249.3,290.56077964286004,8.7,6.992853494818836,8.7,6.992853494818836,3.5,3.100179206289712,0.0,0.0,0.0,0.0,1.0,0.0
770620.0,78.786808748,6.138142577101323E-5,770620.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,770620.0,3194240.0,10.0,770250.2,667.4979483946944,280683.2,258792.4701690097,280.20000000000005,327.24058428012864,8.5,7.919736247011148,8.5,7.919736247011148,3.1,3.2812599206199238,0.0,0.0,0.0,0.0,1.0,0.0
