learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77062.0,5.730765445,4.202148560772961E-6,77062.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77062.0,2852392.0,10.0,48435.4,11192.31068586326,246871.19999999998,54069.248826132425,15.2,4.157990967870047,8.1,2.0789954839350235,8.1,2.0789954839350235,4.9,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
154124.0,9.443587852,7.376733382432549E-6,154124.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,154124.0,3305104.0,10.0,92691.7,26099.223475251347,292113.6,76298.50252091016,16.8,4.565571644870382,8.9,2.282785822435191,8.9,2.282785822435191,5.1,0.9944289260117531,0.0,0.0,0.0,0.0,1.0,0.0
231186.0,13.379858741,1.0850054795330494E-5,231186.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,231186.0,3410848.0,10.0,145160.5,37157.122679687316,302671.19999999995,66706.90587737774,19.799999999999997,4.825856285561029,10.399999999999999,2.4129281427805145,10.399999999999999,2.4129281427805145,5.5,0.8498365855987974,0.0,0.0,0.0,0.0,1.0,0.0
308248.0,17.377219661,1.4870829677561153E-5,308248.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,308248.0,3888112.0,10.0,200237.6,54473.46045185674,350361.6,74087.77831014595,22.8,5.028805910838963,11.9,2.5144029554194813,11.9,2.5144029554194813,5.7,0.8232726023485646,0.0,0.0,0.0,0.0,1.0,0.0
385310.0,21.128515969,1.9048579890398586E-5,385310.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,385310.0,4304904.0,10.0,246529.7,80081.6358669216,392009.6,82357.46853159908,25.4,5.87272414547873,13.2,2.936362072739365,13.2,2.936362072739365,6.1000000000000005,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
462372.0,24.924459868,2.347929080378378E-5,462372.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,462372.0,4511864.0,10.0,302602.1,117808.45219389917,412690.39999999997,101085.37551023118,26.8,7.083627444874397,13.9,3.5418137224371984,13.9,3.5418137224371984,6.3,0.9486832980505139,0.0,0.0,0.0,0.0,1.0,0.0
539434.0,28.698339622,2.797749683246376E-5,539434.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,539434.0,4607376.0,10.0,348277.39999999997,138099.21280103904,422235.2,99102.34040155998,27.2,6.892830413633511,14.1,3.4464152068167553,14.1,3.4464152068167553,6.5,0.8498365855987975,0.0,0.0,0.0,0.0,1.0,0.0
616496.0,32.803678365,3.317335421590238E-5,616496.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,616496.0,4892272.0,10.0,405732.50000000006,157310.31838534938,450704.0,103705.09168256345,28.8,6.356099432828282,14.9,3.178049716414141,14.9,3.178049716414141,7.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
693558.0,37.321245776,3.919901109839153E-5,693558.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,693558.0,5155872.0,10.0,474429.7,156757.98935092412,477045.60000000003,110851.41969641666,30.2,7.067924416372572,15.6,3.533962208186286,15.6,3.533962208186286,7.500000000000001,1.0801234497346432,0.0,0.0,0.0,0.0,1.0,0.0
770620.0,41.737862022,4.519307738990241E-5,770620.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,770620.0,5246072.0,10.0,507070.39999999997,162511.52274442298,486060.8,108876.31462127615,30.600000000000005,7.042726744663603,15.800000000000002,3.5213633723318014,15.800000000000002,3.5213633723318014,7.500000000000001,1.0801234497346432,0.0,0.0,0.0,0.0,1.0,0.0
