learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
77052.0,16.51895607,1.0377239784887249E-5,77052.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77052.0,2444560.0,20.0,20.0,20.0,0.0,100.0,100.0,70.0,0.795,0.8,0.7,3331.608333333332,11901.301021525838,14205.933333333343,8167.669652877956
154104.0,39.756812995,2.8472354996758546E-5,154104.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154104.0,3010008.0,20.0,20.0,20.0,0.0,100.0,100.0,155.0,0.6304444444444445,0.8,0.7,7289.200000000003,26166.736182547862,18914.0,977.738773519643
231156.0,63.181632317,4.66791200880048E-5,231156.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231156.0,3004408.0,20.0,20.0,20.0,0.0,100.0,100.0,224.0,1.0,0.8,0.7,8110.724999999999,35194.9244920254,18867.333333333325,927.2796876065038
308208.0,87.639895701,6.563597191389148E-5,308208.0,99.9,0.0,-Infinity,-Infinity,?,?,99.94997498749373,50.0,0.0,100.0,?,?,99.9,308208.0,2996008.0,20.0,20.0,20.0,0.0,100.0,100.0,296.0,1.0,0.8,0.7,8231.400000000001,37399.07542882701,18797.333333333332,840.4133970083699
385260.0,111.266025013,8.393074820333406E-5,385260.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,385260.0,2993208.0,20.0,20.0,20.0,0.0,100.0,100.0,374.0,1.0,0.8,0.7,4199.250000000002,15627.949298660802,18774.000000000007,808.0311167982845
462312.0,134.744978123,1.0216258111371513E-4,462312.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,462312.0,3001608.0,20.0,20.0,20.0,0.0,100.0,100.0,442.0,0.765,0.8,0.7,5790.708333333334,24718.813378958857,18843.99999999999,899.4489442771853
539364.0,159.696307773,1.2153774111081422E-4,539364.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,539364.0,3001608.0,20.0,20.0,20.0,0.0,100.0,100.0,500.0,0.792,0.8,0.7,8143.891666666668,33431.03324776809,18843.999999999993,899.448944277186
616416.0,183.913883984,1.4034312825498454E-4,616416.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,616416.0,3001608.0,20.0,20.0,20.0,0.0,100.0,100.0,563.0,0.5557375579718618,0.8,0.7,8454.033333333333,36010.38505903152,18843.999999999993,899.4489442771855
693468.0,208.6267881,1.5953314650078444E-4,693468.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,693468.0,3001608.0,20.0,20.0,20.0,0.0,100.0,100.0,639.0,0.33816319194823863,0.8,0.7,13745.950000000008,52767.72547077262,18843.999999999996,899.4489442771837
770520.0,233.72032455,1.7903690946149563E-4,770520.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,770520.0,3004408.0,20.0,20.0,20.0,0.0,100.0,100.0,707.0,0.795,0.8,0.7,19467.049999999996,71333.77937223636,18867.333333333325,926.8736040427227
847572.0,257.653692517,1.9762160374972451E-4,847572.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,847572.0,3001608.0,20.0,20.0,20.0,0.0,100.0,100.0,779.0,0.5423079760258184,0.8,0.7,25891.691666666673,91062.37297439412,18844.0,899.4489442771851
924624.0,282.242170003,2.16732813419485E-4,924624.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,924624.0,3004408.0,20.0,20.0,20.0,0.0,100.0,100.0,855.0,1.0,0.8,0.7,22445.574999999986,92690.3479669249,18867.33333333332,926.8736040427226
1001676.0,307.361546833,2.3622026957750034E-4,1001676.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1001676.0,2998808.0,20.0,20.0,20.0,0.0,100.0,100.0,924.0,0.794,0.8,0.7,1459.133333333333,4431.050826547917,18820.666666666657,870.5309239974487
1078728.0,331.523095601,2.549121435646584E-4,1078728.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1078728.0,2990408.0,20.0,20.0,20.0,0.0,100.0,100.0,989.0,1.0,0.8,0.7,2858.3916666666687,10962.61886709285,18750.66666666668,774.0728618923465
1155780.0,353.326880945,2.718431783234575E-4,1155780.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1155780.0,3001608.0,20.0,20.0,20.0,0.0,100.0,100.0,1051.0,0.798,0.8,0.7,1503.5333333333328,5336.529199586491,18844.0,899.0302899151245
1232832.0,376.945558034,2.901150755486745E-4,1232832.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1232832.0,2990408.0,20.0,20.0,20.0,0.0,100.0,100.0,1110.0,0.775,0.8,0.7,5016.249999999999,19481.310469289292,18750.66666666667,774.5590595265658
1309884.0,401.338692981,3.0888009263455875E-4,1309884.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1309884.0,2973608.0,20.0,20.0,20.0,0.0,100.0,100.0,1184.0,1.0,0.8,0.7,4186.3166666666675,23710.192784228184,18610.666666666657,503.7628716095738
1386936.0,426.52104883,3.284164075234233E-4,1386936.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1386936.0,2998808.0,20.0,20.0,20.0,0.0,100.0,100.0,1243.0,0.791,0.8,0.7,4086.7499999999964,14567.817898488753,18820.666666666653,870.5309239974465
1463988.0,451.22192813,3.476507654166922E-4,1463988.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1463988.0,3010008.0,20.0,20.0,20.0,0.0,100.0,100.0,1313.0,1.0,0.8,0.7,5443.7750000000015,22462.95854166917,18913.99999999999,977.7387735196419
1541040.0,475.423981008,3.6635644317381874E-4,1541040.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1541040.0,2987608.0,20.0,20.0,20.0,0.0,100.0,100.0,1383.0,0.7280000000000001,0.8,0.7,876.9416666666666,2296.34267234608,18727.33333333332,740.866326111037
1618092.0,498.790801038,3.845012027139048E-4,1618092.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1618092.0,3001608.0,20.0,20.0,20.0,0.0,100.0,100.0,1434.0,1.0,0.8,0.7,3650.158333333332,13700.379604012716,18843.999999999993,899.4489442771848
1695144.0,523.281328369,4.0344758132339136E-4,1695144.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1695144.0,2990408.0,20.0,20.0,20.0,0.0,100.0,100.0,1489.0,1.0,0.8,0.7,5130.624999999999,24270.316897122804,18750.666666666668,775.0449521615824
1772196.0,545.408472236,4.205816256530932E-4,1772196.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1772196.0,2993208.0,20.0,20.0,20.0,0.0,100.0,100.0,1550.0,1.0,0.8,0.7,6563.408333333334,32783.07515928135,18773.999999999996,808.4968935566499
1849248.0,570.920305693,4.4035506741623256E-4,1849248.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1849248.0,2996008.0,20.0,20.0,20.0,0.0,100.0,100.0,1611.0,0.4643333333333333,0.8,0.7,4783.275,29512.874011514665,18797.33333333334,840.86123649959
1926300.0,596.549667841,4.6025673194500426E-4,1926300.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1926300.0,3001608.0,20.0,20.0,20.0,0.0,100.0,100.0,1677.0,1.0,0.8,0.7,5653.583333333335,36777.445919513564,18843.99999999999,899.8674038644878
2003352.0,622.064837644,4.8001427738838485E-4,2003352.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2003352.0,2993208.0,20.0,20.0,20.0,0.0,100.0,100.0,1735.0,1.0,0.8,0.7,2178.0833333333326,8031.888713890708,18774.00000000001,809.4276429945411
2080404.0,648.933549935,5.007810064091804E-4,2080404.0,99.8,0.0,-Infinity,-Infinity,?,?,99.8998998998999,50.0,0.0,100.0,?,?,99.8,2080404.0,2987608.0,20.0,20.0,20.0,0.0,100.0,100.0,1803.0,1.0,0.8,0.7,2826.708333333335,14414.637635331426,18727.33333333333,739.3403070547786
2157456.0,673.099438531,5.195112474799729E-4,2157456.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2157456.0,2996008.0,20.0,20.0,20.0,0.0,100.0,100.0,1856.0,0.775,0.8,0.7,3284.366666666666,18554.41196074302,18797.33333333334,841.7562006902941
2234508.0,699.950682897,5.403228256691227E-4,2234508.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2234508.0,2996008.0,20.0,20.0,20.0,0.0,100.0,100.0,1913.0,1.0,0.8,0.7,4438.249999999996,26010.95073726262,18797.33333333333,841.3088376001339
2311560.0,724.349824734,5.59163158947365E-4,2311560.0,99.9,0.0,-Infinity,-Infinity,?,?,99.94997498749373,50.0,0.0,100.0,?,?,99.9,2311560.0,2984808.0,20.0,20.0,20.0,0.0,100.0,100.0,1976.0,0.4567340608587293,0.8,0.7,757.2083333333335,2600.9172457534482,18703.999999999996,699.4259350749466
2388612.0,750.080128632,5.79124568521262E-4,2388612.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2388612.0,2998808.0,20.0,20.0,20.0,0.0,100.0,100.0,2043.0,1.0,0.8,0.7,1194.35,4312.338517546595,18820.66666666665,871.3954165525491
2465664.0,777.68722276,6.00581975331156E-4,2465664.0,99.9,0.0,-Infinity,-Infinity,?,?,99.94997498749373,50.0,0.0,100.0,?,?,99.9,2465664.0,3004408.0,20.0,20.0,20.0,0.0,100.0,100.0,2111.0,1.0,0.8,0.7,3574.0333333333324,14694.635499714435,18867.333333333325,927.2796876065053
2542716.0,801.475205794,6.19053775582171E-4,2542716.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2542716.0,3001608.0,20.0,20.0,20.0,0.0,100.0,100.0,2171.0,0.78,0.8,0.7,2809.4249999999993,13309.315711193047,18843.99999999999,899.4489442771834
2619768.0,825.361951477,6.3760226682132E-4,2619768.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2619768.0,3001608.0,20.0,20.0,20.0,0.0,100.0,100.0,2229.0,0.772,0.8,0.7,1636.725,8673.272099209891,18843.99999999999,899.4489442771845
2696820.0,849.812671021,6.565886939919136E-4,2696820.0,99.8,88.78923766816146,50.0,75.0,94.6915808472237,88.8888888888889,99.89909182643794,90.0,80.0,100.0,99.8991935483871,100.0,99.79838709677419,2696820.0,3001608.0,20.0,20.0,20.0,0.0,100.0,100.0,2290.0,1.0,0.8,0.7,1390.8249999999996,6079.834164952141,18843.999999999996,899.8674038644879
