learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),members size
77052.0,2.307453025,1.775155544390695E-7,77052.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77052.0,307536.0,2.0
154104.0,5.166593279,4.523146426534073E-7,154104.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154104.0,371520.0,5.0
231156.0,8.775108928,8.190482993524397E-7,231156.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231156.0,392848.0,6.0
308208.0,12.462336893,1.1937814933354325E-6,308208.0,99.9,0.0,-Infinity,-Infinity,?,?,99.94997498749373,50.0,0.0,100.0,?,?,99.9,308208.0,392848.0,6.0
385260.0,16.356252136,1.5465504365605322E-6,385260.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,385260.0,350192.0,4.0
462312.0,19.65218187,1.8451449299300339E-6,462312.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,462312.0,350192.0,4.0
539364.0,23.91561283,2.254913894161048E-6,539364.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,539364.0,371520.0,5.0
616416.0,27.82397853,2.630556652247372E-6,616416.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,616416.0,371520.0,5.0
693468.0,31.163709711,2.951546530983063E-6,693468.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,693468.0,371520.0,5.0
770520.0,34.537720222,3.275831081470313E-6,770520.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,770520.0,371520.0,5.0
