learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77052.0,6.057528756,1.3375025043706348E-6,77052.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,77052.0,868744.0,8352.0,5648.0084985771755,40240.8,15094.40818316505,1.6,0.9660917830792959,1.2999999999999998,0.4830458915396479,1.2999999999999998,0.4830458915396479,0.30000000000000004,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
154104.0,12.488140316,2.7692531781987432E-6,154104.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,154104.0,860632.0,15154.0,13026.57540056736,39430.4,13455.280625505775,1.4,0.8432740427115678,1.2000000000000002,0.42163702135578396,1.2000000000000002,0.42163702135578396,0.19999999999999998,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
231156.0,18.402264699,4.037148285794658E-6,231156.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,231156.0,828696.0,4056.0,3125.1666622224593,36239.200000000004,10091.460469129333,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
308208.0,23.282010254,5.042973062264957E-6,308208.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,308208.0,796760.0,5458.0,1513.8251770487457,33048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
385260.0,28.429722814,6.234966243704694E-6,385260.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,385260.0,895080.0,5260.0,2645.7513110645905,42872.0,22155.48032529298,1.8,1.3984117975602022,1.4,0.6992058987801011,1.4,0.6992058987801011,0.4,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
462312.0,34.041966345,7.59188073007239E-6,462312.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,462312.0,934584.0,8161.999999999999,11175.49402338289,46820.8,24084.101592359864,1.8,1.3984117975602022,1.4,0.6992058987801011,1.4,0.6992058987801011,0.4,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
539364.0,40.027865712,9.191812085948511E-6,539364.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,539364.0,1033176.0,7514.0,7663.22386466688,56671.2,31543.255369236842,2.8,2.2010098692292237,1.9,1.1005049346146119,1.9,1.1005049346146119,0.9,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
616416.0,44.830758356,1.0538883697627435E-5,616416.0,8.4,0.0,-Infinity,-Infinity,?,?,15.498154981549817,50.0,0.0,100.0,?,?,8.4,616416.0,1084152.0,13666.0,7786.205751198719,61766.4,15136.309510577537,3.0,1.3333333333333333,2.0000000000000004,0.6666666666666666,2.0000000000000004,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
693468.0,49.886162233,1.1798853476581849E-5,693468.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,693468.0,963400.0,10968.0,9530.652303663865,49696.0,17548.532828827727,3.0,2.1081851067789197,2.0,1.0540925533894598,2.0,1.0540925533894598,1.0,1.0540925533894598,0.0,0.0,0.0,0.0,1.0,0.0
770520.0,54.905541551,1.3112817654324172E-5,770520.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,770520.0,1011896.0,12620.0,9828.529900244492,54547.2,18503.565234840553,2.2,1.0327955589886444,1.6,0.5163977794943222,1.6,0.5163977794943222,0.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
847572.0,60.292386412,1.4610783034994764E-5,847572.0,70.8,-2.793736622732884,-3549.9999999999973,-1522.222222222221,43.295182710307564,0.6802721088435374,82.88393903868698,49.00712627111859,0.36231884057971014,97.65193370165746,38.77574111789998,5.555555555555555,71.99592668024441,847572.0,1074904.0,22622.0,14686.444997570605,60840.8,14647.549941505196,3.2,1.1352924243950933,2.1000000000000005,0.5676462121975466,2.1000000000000005,0.5676462121975466,1.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
924624.0,66.836091459,1.6020286335517155E-5,924624.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,924624.0,832616.0,17224.0,39865.60756675692,36631.200000000004,11331.073311915337,1.2000000000000002,0.6324555320336759,1.1000000000000003,0.31622776601683794,1.1000000000000003,0.31622776601683794,0.09999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
1001676.0,71.725050009,1.724162590503705E-5,1001676.0,4.6,0.0,-Infinity,-Infinity,?,?,8.795411089866157,50.0,0.0,100.0,?,?,4.6,1001676.0,965656.0,35176.0,61160.53556919782,49923.200000000004,17641.081025077045,2.5999999999999996,0.8432740427115678,1.7999999999999998,0.4216370213557839,1.7999999999999998,0.4216370213557839,0.8,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
1078728.0,76.522208476,1.8314559426511088E-5,1078728.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1078728.0,864552.0,48128.00000000001,87254.03524575048,39822.4,14311.54551169556,1.4,0.8432740427115678,1.2000000000000002,0.4216370213557839,1.2000000000000002,0.4216370213557839,0.20000000000000004,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
1155780.0,81.557091626,1.9743515863557726E-5,1155780.0,50.1,0.20000000000000018,-24849.999999999978,-49799.999999999956,60.079968063974455,0.39920159680638717,66.711140760507,50.1,0.2,100.0,75.02502502502503,100.0,50.050050050050054,1155780.0,1097064.0,49130.00000000001,110090.37953729955,63056.8,10580.672324783734,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
1232832.0,87.223486225,2.096404793705244E-5,1232832.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1232832.0,832616.0,58132.0,133770.5747414829,36631.200000000004,11331.073311915337,1.2000000000000002,0.6324555320336759,1.1000000000000003,0.31622776601683794,1.1000000000000003,0.31622776601683794,0.09999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
1309884.0,92.871767765,2.2128285181265025E-5,1309884.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1309884.0,796760.0,36684.0,11771.434350437787,33048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1386936.0,97.790884099,2.3142225156476898E-5,1386936.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1386936.0,796760.0,12186.0,1513.8251770487457,33048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1463988.0,102.944207941,2.425224263308822E-5,1463988.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1463988.0,832616.0,17088.0,19333.04597487594,36631.200000000004,11331.073311915337,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
1541040.0,107.840952727,2.530202758099387E-5,1541040.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1541040.0,828696.0,9890.0,2285.825890132492,36239.2,10091.460469129333,1.2,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
1618092.0,112.574353999,2.6362033447474987E-5,1618092.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1618092.0,865640.0,27742.0,27912.611645793535,39928.0,14257.092363685755,2.2,1.3984117975602022,1.6,0.6992058987801011,1.6,0.6992058987801011,0.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
1695144.0,118.498800166,2.774205138648214E-5,1695144.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1695144.0,900408.0,42044.0,60243.39521197877,43405.6,16711.411318816452,1.6,0.9660917830792959,1.3,0.4830458915396479,1.3,0.4830458915396479,0.30000000000000004,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
1772196.0,122.99015595,2.8870254157570105E-5,1772196.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1772196.0,970984.0,71946.0,87967.56030871077,50456.8,18373.836258235362,2.4000000000000004,1.6465452046971292,1.7000000000000002,0.8232726023485646,1.7000000000000002,0.8232726023485646,0.7,0.8232726023485646,0.0,0.0,0.0,0.0,1.0,0.0
1849248.0,127.698326293,2.992052700766343E-5,1849248.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1849248.0,862288.0,42948.0,98367.56466324547,39594.399999999994,20516.307763987814,1.7999999999999998,1.3984117975602022,1.4000000000000001,0.699205898780101,1.4000000000000001,0.699205898780101,0.4,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
1926300.0,132.433894842,3.089663367625339E-5,1926300.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,1926300.0,796760.0,13050.0,1513.825177048746,33048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2003352.0,137.156336223,3.187003454170864E-5,2003352.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2003352.0,796760.0,11602.0,1513.825177048746,33048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2080404.0,142.643338424,3.300102850442825E-5,2080404.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2080404.0,796760.0,11154.0,1513.825177048746,33048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2157456.0,147.556131972,3.401366521193006E-5,2157456.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2157456.0,796760.0,9206.0,1513.825177048746,33048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2234508.0,152.24362277,3.497986197997137E-5,2234508.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2234508.0,796760.0,7258.0,1513.8251770487457,33048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2311560.0,156.621627812,3.609928975391552E-5,2311560.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2311560.0,988376.0,37810.0,26703.36017141746,52195.200000000004,16479.285939222813,2.2,1.0327955589886444,1.6,0.5163977794943222,1.6,0.5163977794943222,0.6000000000000001,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
2388612.0,161.64370178,3.713445160187398E-5,2388612.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,2388612.0,796760.0,3862.0,1513.8251770487457,33048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
