learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77052.0,5.361527651,2.134762825786418E-6,77052.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77052.0,1554384.0,10.0,76951.5,161.06675634655173,117259.2,17453.76916186173,8.200000000000001,1.3984117975602022,4.6000000000000005,0.6992058987801009,4.6000000000000005,0.6992058987801009,3.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
154104.0,8.506600384,3.516180740441457E-6,154104.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154104.0,1697840.0,10.0,153923.4,374.38874626961626,131598.4,10357.121728013477,8.200000000000001,1.3984117975602022,4.6000000000000005,0.6992058987801009,4.6000000000000005,0.6992058987801009,3.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
231156.0,11.162841526,4.707527192009365E-6,231156.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231156.0,1733696.0,10.0,230847.0,373.65670518984746,135181.6,1217.78261150703,8.4,1.3498971154211057,4.7,0.6749485577105528,4.7,0.6749485577105528,3.6999999999999997,0.674948557710553,0.0,0.0,0.0,0.0,1.0,0.0
308208.0,13.828707761,5.903190578591286E-6,308208.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308208.0,1733696.0,10.0,307805.5,517.4749054570383,135181.6,1217.78261150703,8.4,1.3498971154211057,4.7,0.6749485577105528,4.7,0.6749485577105528,3.6999999999999997,0.674948557710553,0.0,0.0,0.0,0.0,1.0,0.0
385260.0,16.595381298,7.144456249196414E-6,385260.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,385260.0,1734240.0,10.0,384950.39999999997,389.1912411941283,135234.4,1295.1055898608786,8.799999999999999,1.9888578520235067,4.8999999999999995,0.9944289260117534,4.8999999999999995,0.9944289260117534,3.8999999999999995,0.9944289260117534,0.0,0.0,0.0,0.0,1.0,0.0
462312.0,19.486680789,8.515607598738294E-6,462312.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,462312.0,1833136.0,10.0,462042.6,448.5636830794283,145117.59999999998,23310.087636042903,9.2,2.573367875415838,5.1,1.286683937707919,5.1,1.286683937707919,3.9999999999999996,1.2472191289246473,0.0,0.0,0.0,0.0,1.0,0.0
539364.0,22.407424507,9.975448058015263E-6,539364.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,539364.0,1932032.0,10.0,539156.0000000001,359.66187825045637,155000.8,36479.1160614155,9.600000000000001,3.2727833889689535,5.300000000000001,1.6363916944844767,5.300000000000001,1.6363916944844767,4.1,1.5238839267549948,0.0,0.0,0.0,0.0,1.0,0.0
616416.0,25.466218181,1.1573436396011364E-5,616416.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,616416.0,2019416.0,10.0,616128.1000000001,584.9414880519506,163732.0,36604.84956335097,10.2,3.155242550986462,5.6,1.577621275493231,5.6,1.577621275493231,4.3,1.4181364924121764,0.0,0.0,0.0,0.0,1.0,0.0
693468.0,29.072213413,1.3838333956480939E-5,693468.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,693468.0,2427872.0,10.0,693183.8,632.539994343798,204548.80000000002,43281.15245128197,12.599999999999998,3.502380143083653,6.799999999999999,1.7511900715418265,6.799999999999999,1.7511900715418265,4.6000000000000005,1.2649110640673515,0.0,0.0,0.0,0.0,1.0,0.0
770520.0,32.647848615,1.6084162618225252E-5,770520.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,770520.0,2427872.0,10.0,770152.7,670.0815953631657,204548.80000000002,43281.15245128197,12.599999999999998,3.502380143083653,6.799999999999999,1.7511900715418265,6.799999999999999,1.7511900715418265,4.6000000000000005,1.2649110640673515,0.0,0.0,0.0,0.0,1.0,0.0
