learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77052.0,4.735407999,1.9142194969055555E-6,77052.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77052.0,1583488.0,10.0,76951.5,161.06675634655173,117259.2,17453.76916186173,8.200000000000001,1.3984117975602022,4.6000000000000005,0.6992058987801009,4.6000000000000005,0.6992058987801009,3.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
154104.0,7.988499526,3.368989877683806E-6,154104.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154104.0,1728624.0,10.0,153923.4,374.38874626961626,131598.4,10357.121728013477,8.200000000000001,1.3984117975602022,4.6000000000000005,0.6992058987801009,4.6000000000000005,0.6992058987801009,3.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
231156.0,11.081712625,4.782300146921675E-6,231156.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231156.0,1766160.0,10.0,230847.0,373.65670518984746,135181.6,1217.78261150703,8.4,1.3498971154211057,4.7,0.6749485577105528,4.7,0.6749485577105528,3.6999999999999997,0.674948557710553,0.0,0.0,0.0,0.0,1.0,0.0
308208.0,14.344404954,6.273046638144689E-6,308208.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308208.0,1766160.0,10.0,307805.5,517.4749054570383,135181.6,1217.78261150703,8.4,1.3498971154211057,4.7,0.6749485577105528,4.7,0.6749485577105528,3.6999999999999997,0.674948557710553,0.0,0.0,0.0,0.0,1.0,0.0
385260.0,17.686027277,7.800762759828668E-6,385260.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,385260.0,1767208.0,10.0,384950.39999999997,389.1912411941283,135234.4,1295.1055898608786,8.799999999999999,1.9888578520235067,4.8999999999999995,0.9944289260117534,4.8999999999999995,0.9944289260117534,3.8999999999999995,0.9944289260117534,0.0,0.0,0.0,0.0,1.0,0.0
462312.0,20.904160847,9.355335831687825E-6,462312.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,462312.0,1867280.0,10.0,462042.6,448.5636830794283,145117.59999999998,23310.087636042903,9.2,2.573367875415838,5.1,1.286683937707919,5.1,1.286683937707919,3.9999999999999996,1.2472191289246473,0.0,0.0,0.0,0.0,1.0,0.0
539364.0,24.100986614,1.0981404893988522E-5,539364.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,539364.0,1966176.0,10.0,539156.0000000001,359.66187825045637,155000.8,36479.1160614155,9.600000000000001,3.2727833889689535,5.300000000000001,1.6363916944844767,5.300000000000001,1.6363916944844767,4.1,1.5238839267549948,0.0,0.0,0.0,0.0,1.0,0.0
616416.0,27.30680279,1.2684518590833398E-5,616416.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,616416.0,2053560.0,10.0,616128.1000000001,584.9414880519506,163732.0,36604.84956335097,10.2,3.155242550986462,5.6,1.577621275493231,5.6,1.577621275493231,4.3,1.4181364924121764,0.0,0.0,0.0,0.0,1.0,0.0
693468.0,30.391729536,1.4649654636337188E-5,693468.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,693468.0,2462352.0,10.0,693183.8,632.539994343798,204548.80000000002,43281.15245128197,12.599999999999998,3.502380143083653,6.799999999999999,1.7511900715418265,6.799999999999999,1.7511900715418265,4.6000000000000005,1.2649110640673515,0.0,0.0,0.0,0.0,1.0,0.0
770520.0,33.357426062,1.6539741834209203E-5,770520.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,770520.0,2463528.0,10.0,770152.7,670.0815953631657,204548.80000000002,43281.15245128197,12.599999999999998,3.502380143083653,6.799999999999999,1.7511900715418265,6.799999999999999,1.7511900715418265,4.6000000000000005,1.2649110640673515,0.0,0.0,0.0,0.0,1.0,0.0
