learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77052.0,4.655358613,1.651127545839871E-6,77052.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77052.0,1388968.0,10.0,76951.5,161.06675634655173,100278.4,38782.43264159689,8.200000000000001,1.3984117975602022,4.0,1.699673171197595,4.0,1.699673171197595,3.0,1.699673171197595,0.0,0.0,0.0,0.0,1.0,0.0
154104.0,7.647576334,2.83735989973311E-6,154104.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154104.0,1532424.0,10.0,153923.4,374.38874626961626,114617.59999999999,42989.0592882525,9.700000000000001,2.8303906287138374,4.0,1.699673171197595,4.0,1.699673171197595,3.0,1.699673171197595,0.0,0.0,0.0,0.0,1.0,0.0
231156.0,10.562113945,3.994907994447239E-6,231156.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231156.0,1535224.0,10.0,230847.0,373.65670518984746,114897.59999999999,43148.80403441097,11.500000000000002,6.485025486114573,4.0,1.699673171197595,4.0,1.699673171197595,3.0,1.699673171197595,0.0,0.0,0.0,0.0,1.0,0.0
308208.0,13.352468724,5.103135195159082E-6,308208.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308208.0,1535224.0,10.0,307805.5,517.4749054570383,114897.59999999999,43148.80403441097,12.600000000000001,8.745792639257399,4.0,1.699673171197595,4.0,1.699673171197595,3.0,1.699673171197595,0.0,0.0,0.0,0.0,1.0,0.0
385260.0,16.19266204,6.231356300722003E-6,385260.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,385260.0,1535496.0,10.0,384950.39999999997,389.1912411941283,114924.0,43164.772179791864,14.3,11.851394667107984,4.1,1.8529256146249728,4.1,1.8529256146249728,3.1,1.8529256146249728,0.0,0.0,0.0,0.0,1.0,0.0
462312.0,19.272528539,7.507459362172646E-6,462312.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,462312.0,1601608.0,10.0,462042.6,448.5636830794283,121530.40000000001,51402.65436120763,16.500000000000004,15.47219728703357,4.3,2.110818693198342,4.3,2.110818693198342,3.1999999999999997,2.043961295567452,0.0,0.0,0.0,0.0,1.0,0.0
539364.0,22.455774835,8.90783816893059E-6,539364.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,539364.0,1700504.0,10.0,539156.0000000001,359.66187825045637,131413.6,62831.617128109414,18.400000000000002,18.50045044496665,4.5,2.41522945769824,4.5,2.41522945769824,3.3,2.263232692902394,0.0,0.0,0.0,0.0,1.0,0.0
616416.0,25.776853563,1.0393878210833648E-5,616416.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,616416.0,1729632.0,10.0,616128.1000000001,584.9414880519506,134324.0,63624.72623473082,20.0,21.296843793284385,4.6,2.4129281427805145,4.6,2.4129281427805145,3.4,2.2705848487901865,0.0,0.0,0.0,0.0,1.0,0.0
693468.0,28.895080556,1.1923390079116729E-5,693468.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,693468.0,1896040.0,10.0,693183.8,632.539994343798,150952.8,88811.84413103669,23.0,22.612680808195506,5.1,3.178049716414141,5.1,3.178049716414141,3.3,2.5841396591085743,0.0,0.0,0.0,0.0,1.0,0.0
770520.0,32.010708606,1.3453883990488502E-5,770520.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,770520.0,1898840.0,10.0,770152.7,670.0815953631657,151232.8,88402.31698924338,24.900000000000002,25.030869829960853,5.1,3.178049716414141,5.1,3.178049716414141,3.3,2.5841396591085743,0.0,0.0,0.0,0.0,1.0,0.0
