learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77052.0,3.252416337,1.5733013866669686E-6,77052.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77052.0,1887848.0,10.0,52434.0,15704.702614892849,150489.6,21512.57560487715,8.6,0.8432740427115678,4.8,0.4216370213557839,4.8,0.4216370213557839,3.7999999999999994,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
154104.0,5.4656838,2.6755702253607845E-6,154104.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154104.0,1925112.0,10.0,87167.3,30065.36594026792,154214.40000000002,20993.321706358587,8.6,0.8432740427115678,4.8,0.4216370213557839,4.8,0.4216370213557839,3.7999999999999994,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
231156.0,7.82790478,3.869123317514031E-6,231156.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231156.0,1953096.0,10.0,139088.9,43750.585005485606,157008.80000000002,24572.24521374561,9.2,1.1352924243950935,5.1,0.5676462121975467,5.1,0.5676462121975467,3.8999999999999995,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
308208.0,10.030068185,5.020270774032271E-6,308208.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308208.0,2020616.0,10.0,180113.6,54406.027711805764,163756.80000000002,34067.7670689857,9.4,1.577621275493231,5.2,0.7888106377466155,5.2,0.7888106377466155,3.8999999999999995,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
385260.0,12.272243606,6.192333903903355E-6,385260.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,385260.0,2020616.0,10.0,222762.5,64956.91969169515,163756.80000000002,34067.7670689857,9.4,1.577621275493231,5.2,0.7888106377466155,5.2,0.7888106377466155,3.8999999999999995,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
462312.0,14.366687969,7.2881741777863504E-6,462312.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,462312.0,2022464.0,10.0,300611.3,61100.080138245314,163936.0,34036.6624816372,10.799999999999999,1.4757295747452441,5.8999999999999995,0.7378647873726221,5.8999999999999995,0.7378647873726221,3.8999999999999995,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
539364.0,16.380106232,8.341620552273284E-6,539364.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,539364.0,2022464.0,10.0,329681.4,76523.71787912847,163936.0,34036.6624816372,10.799999999999999,1.4757295747452441,5.8999999999999995,0.7378647873726221,5.8999999999999995,0.7378647873726221,3.8999999999999995,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
616416.0,18.471825423,9.451796993869812E-6,616416.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,616416.0,2051592.0,10.0,361524.9,92242.3843040714,166846.4,29046.698658080462,11.0,0.9428090415820635,6.0,0.47140452079103173,6.0,0.47140452079103173,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
693468.0,20.508081191,1.0845857122315023E-5,693468.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,693468.0,2646376.0,10.0,606366.9,144141.6307744651,226285.6,18463.945330171326,13.6,1.3498971154211057,7.3,0.6749485577105528,7.3,0.6749485577105528,4.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
770520.0,22.332743492,1.2138287709439817E-5,770520.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,770520.0,2737960.0,10.0,641379.9,152618.9950551882,235436.0,33140.878711612,14.4,2.1186998109427604,7.7,1.0593499054713802,7.7,1.0593499054713802,4.4,0.9660917830792958,0.0,0.0,0.0,0.0,1.0,0.0
847572.0,24.225340621,1.3530556506420862E-5,847572.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,847572.0,2843592.0,10.0,711256.0,200238.06721888712,245994.39999999997,39811.06455692382,14.4,2.1186998109427604,7.7,1.0593499054713802,7.7,1.0593499054713802,4.4,0.9660917830792958,3242.057142857143,10252.284875846466,0.0,0.0,1.000401861252115,0.0012707968600507327
924624.0,26.110277277,1.4821336627806846E-5,924624.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,924624.0,2647024.0,10.0,802573.3,194173.4134250161,226338.4,63967.04585470379,16.6,3.3730961708462712,8.8,1.6865480854231356,8.8,1.6865480854231356,5.3,1.3374935098492586,3242.057142857143,10252.284875846466,0.0,0.0,1.000401861252115,0.0012707968600507327
