learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
77162.0,1.545932164,1.552222895466205E-7,77162.0,98.5,97.00064786006223,97.04724409448818,96.96969696969697,98.52215438363493,98.49548645937813,98.50448654037885,98.52652259332024,100.0,97.05304518664047,98.51778656126481,97.03557312252964,100.0,77162.0,404384.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,0.99,0.8,0.7,5040.416666666665,18452.020706260275,353.9333333333331,353.21257277824566
154324.0,2.743167726,2.804704054454052E-7,154324.0,98.6,97.19802741129755,97.27626459143968,97.0649895178197,98.61810285263054,98.64077669902913,98.55670103092783,98.57723577235772,100.0,97.15447154471545,98.65900383141762,97.31800766283524,100.0,154324.0,404384.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,0.98,0.8,0.7,8027.491666666664,32672.826745314538,353.9333333333331,353.21257277824566
231486.0,3.829743389,3.941418990860383E-7,231486.0,98.8,97.60010559535381,97.5560081466395,97.5359342915811,98.81411206640973,98.8118811881188,98.7878787878788,98.80239520958084,100.0,97.60479041916167,98.82583170254404,97.65166340508806,100.0,231486.0,404384.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,0.99,0.8,0.7,9472.20833333335,43392.977128395745,353.9333333333331,353.21257277824566
308648.0,4.924669324,5.086869516723272E-7,308648.0,98.5,96.98087079737215,96.91358024691358,97.01195219123507,98.51255256887129,98.36779107725789,98.61239592969471,98.63138686131387,100.0,97.26277372262774,98.39400428265525,96.78800856531049,100.0,308648.0,404384.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,11836.741666666663,53052.03748192077,353.9333333333331,353.21257277824566
385810.0,6.063826219,6.278922074063164E-7,385810.0,99.1,98.19793844157716,98.22485207100591,98.14814814814815,99.10694351417729,99.06735751295336,99.13043478260869,99.13793103448276,100.0,98.27586206896551,99.07597535934292,98.15195071868584,100.0,385810.0,404496.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,0.98,0.8,0.7,12813.158333333333,56175.575672628314,354.8666666666666,355.3738931344966
462972.0,7.179695274,7.449307451303531E-7,462972.0,98.6,97.19964155411893,97.24409448818896,97.22772277227722,98.61888808652864,98.57433808553971,98.62475442043221,98.64341085271317,100.0,97.28682170542635,98.59437751004016,97.18875502008032,100.0,462972.0,405432.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,16730.641666666674,71949.9014562188,362.53333333333336,361.6983034866185
540134.0,8.278782321,8.602090927428421E-7,540134.0,98.2,96.39700230591852,96.4774951076321,96.35627530364373,98.22981696307397,98.13664596273291,98.25918762088975,98.28897338403041,100.0,96.57794676806084,98.17073170731707,96.34146341463415,100.0,540134.0,405432.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,0.98,0.8,0.7,21838.825000000008,88966.16938233182,362.53333333333336,361.6983034866185
617296.0,9.422387643,9.801212618586836E-7,617296.0,97.89999999999999,95.79966397311784,95.64315352697095,95.73170731707317,97.93445903298391,97.8549540347293,97.94319294809011,97.97275641025641,99.79166666666667,96.15384615384616,97.89619158476633,95.99198396793587,99.8003992015968,617296.0,405312.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,0.99,0.8,0.7,19312.08333333333,87232.4326135278,361.5333333333336,359.7695558733859
694458.0,10.529110255,1.096200469893184E-6,694458.0,98.5,96.99442164657604,96.93251533742331,97.0703125,98.51367277836856,98.42931937172774,98.56459330143541,98.57059146970408,99.78768577494692,97.35349716446125,98.45681978345826,97.10743801652893,99.8062015503876,694458.0,405432.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,0.98,0.8,0.7,23783.79166666666,102254.44805240724,362.53333333333336,361.6983034866185
771620.0,11.639769623,1.2126925867394774E-6,771620.0,98.1,96.20079023563099,96.31067961165049,96.20758483033931,98.12820973469928,98.0827447023209,98.11694747274528,98.14294463057027,99.7946611909651,96.49122807017544,98.11347926267281,96.42857142857143,99.79838709677419,771620.0,405432.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,0.96,0.8,0.7,28326.89999999999,118974.11768100284,362.53333333333336,361.6983034866185
848782.0,12.740030549,1.3280940572945817E-6,848782.0,98.2,96.38420621273724,96.21052631578947,96.37826961770624,98.21701583285414,98.06866952789699,98.31460674157304,98.32256401166633,99.78165938864629,96.86346863468634,98.11169402063179,96.41350210970464,99.80988593155894,848782.0,405432.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,0.9749514170040487,0.8,0.7,29203.05833333333,124858.27441982934,362.53333333333336,361.6983034866185
925944.0,13.842371037,1.4437136438503905E-6,925944.0,97.2,94.40376067282786,94.73684210526315,94.17879417879418,97.265740966835,97.1943887775551,97.2055888223553,97.27066019759492,99.79423868312757,94.74708171206225,97.26082223360656,94.7265625,99.79508196721312,925944.0,405432.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,0.98,0.8,0.7,24393.291666666657,122192.26500051562,362.53333333333336,361.6983034866185
