learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),members size
77162.0,0.8435341,6.111986281350255E-8,77162.0,98.5,97.00064786006223,97.04724409448818,96.96969696969697,98.52215438363493,98.49548645937813,98.50448654037885,98.52652259332024,100.0,97.05304518664047,98.51778656126481,97.03557312252964,100.0,77162.0,290240.0,28.0
154324.0,2.243326772,1.7576069562257992E-7,154324.0,98.6,97.19802741129755,97.27626459143968,97.0649895178197,98.61810285263054,98.64077669902913,98.55670103092783,98.57723577235772,100.0,97.15447154471545,98.65900383141762,97.31800766283524,100.0,154324.0,316576.0,51.0
231486.0,4.391108369,3.661782222275726E-7,231486.0,98.8,97.60010559535381,97.5560081466395,97.5359342915811,98.81411206640973,98.8118811881188,98.7878787878788,98.80239520958084,100.0,97.60479041916167,98.82583170254404,97.65166340508806,100.0,231486.0,342704.0,74.0
308648.0,7.513507853,6.634235464340738E-7,308648.0,98.5,96.98087079737215,96.91358024691358,97.01195219123507,98.51255256887129,98.36779107725789,98.61239592969471,98.63138686131387,100.0,97.26277372262774,98.39400428265525,96.78800856531049,100.0,308648.0,367984.0,96.0
385810.0,11.396618673,1.0529370341004225E-6,385810.0,99.1,98.19793844157716,98.22485207100591,98.14814814814815,99.10694351417729,99.06735751295336,99.13043478260869,99.13793103448276,100.0,98.27586206896551,99.07597535934292,98.15195071868584,100.0,385810.0,387744.0,113.0
462972.0,15.248593408,1.4642320153750108E-6,462972.0,98.6,97.19964155411893,97.24409448818896,97.22772277227722,98.61888808652864,98.57433808553971,98.62475442043221,98.64341085271317,100.0,97.28682170542635,98.59437751004016,97.18875502008032,100.0,462972.0,412736.0,135.0
540134.0,19.989256042,2.0136060881423826E-6,540134.0,98.2,96.39700230591852,96.4774951076321,96.35627530364373,98.22981696307397,98.13664596273291,98.25918762088975,98.28897338403041,100.0,96.57794676806084,98.17073170731707,96.34146341463415,100.0,540134.0,447952.0,166.0
617296.0,25.636477385,2.718807766521788E-6,617296.0,98.0,95.99966397177363,95.85062240663899,95.9349593495935,98.03828483319535,97.95501022494886,98.04305283757338,98.0806142034549,100.0,96.1612284069098,97.99599198396794,95.99198396793587,100.0,617296.0,482704.0,196.0
694458.0,32.642483542,3.6616343363322316E-6,694458.0,98.6,97.19461365822379,97.13701431492842,97.265625,98.61644220088468,98.53249475890985,98.66156787762907,98.67924528301887,100.0,97.35849056603773,98.55371900826447,97.10743801652893,100.0,694458.0,520192.0,229.0
771620.0,40.746624673,4.8046382740075134E-6,771620.0,98.2,96.40080621940686,96.50485436893203,96.40718562874251,98.2316534040672,98.18181818181819,98.21782178217822,98.24902723735408,100.0,96.49805447470817,98.21428571428572,96.42857142857143,100.0,771620.0,545184.0,251.0
848782.0,49.876567618,6.164463346155025E-6,848782.0,98.3,96.58472689869095,96.42105263157895,96.579476861167,98.32055473065155,98.17400644468313,98.40972871842844,98.43462246777163,100.0,96.86924493554328,98.20675105485233,96.41350210970464,100.0,848782.0,575728.0,277.0
925944.0,59.959962844,7.755197247850013E-6,925944.0,97.3,94.60388520265408,94.92481203007517,94.38669438669439,97.37096040763745,97.29187562688064,97.30807577268196,97.37864077669902,100.0,94.75728155339806,97.36328125,94.7265625,100.0,925944.0,609808.0,307.0
1003106.0,70.576048186,9.507964595980955E-6,1003106.0,97.6,95.19582998042301,94.98956158663883,95.2755905511811,97.6529402790654,97.5051975051975,97.6878612716763,97.74011299435028,100.0,95.48022598870057,97.5659229208925,95.131845841785,100.0,1003106.0,638208.0,332.0
1080268.0,82.785354167,1.159913094071217E-5,1080268.0,98.5,96.99285502353592,97.07602339181285,96.94501018329939,98.51837072142506,98.57278782112274,98.41938883034773,98.44398340248964,100.0,96.88796680497926,98.59287054409005,97.18574108818011,100.0,1080268.0,662064.0,353.0
1157430.0,95.086806514,1.382298823115572E-5,1157430.0,98.1,96.19969597567804,96.31067961165049,96.14604462474645,98.13461959493756,98.05924412665985,98.13907933398627,98.17307692307693,100.0,96.34615384615385,98.09619238476954,96.19238476953907,100.0,1157430.0,698800.0,384.0
1234592.0,108.653740913,1.636732286029193E-5,1234592.0,97.5,95.00299820107935,94.84536082474226,94.93927125506072,97.56091611990537,97.48743718592965,97.51243781094527,97.57281553398059,100.0,95.14563106796116,97.54901960784314,95.09803921568627,100.0,1234592.0,724928.0,407.0
1311754.0,123.071434721,1.9177136634429227E-5,1311754.0,98.7,97.40022877986738,97.29166666666667,97.4559686888454,98.71658049656487,98.71159563924678,98.68819374369325,98.70517928286853,100.0,97.41035856573706,98.7279843444227,97.4559686888454,100.0,1311754.0,753328.0,432.0
1388916.0,138.558562501,2.2327359802517392E-5,1388916.0,97.89999999999999,95.79609877966753,95.83333333333333,95.58823529411764,97.94043139135627,97.81931464174455,97.97492767598843,98.01512287334593,100.0,96.03024574669186,97.86585365853658,95.73170731707317,100.0,1388916.0,786272.0,461.0
1466078.0,155.057053057,2.5785124886368263E-5,1466078.0,97.7,95.40220694066848,95.61068702290076,95.1063829787234,97.75160296045459,97.68378650553876,97.71598808341608,97.76699029126213,100.0,95.53398058252426,97.73622047244095,95.47244094488188,100.0,1466078.0,810128.0,482.0
1543240.0,172.345960055,2.9535569329855657E-5,1543240.0,98.2,96.39540053107764,96.31901840490798,96.30390143737166,98.22904368358914,98.125,98.26923076923076,98.29867674858224,100.0,96.59735349716446,98.15950920245399,96.31901840490798,100.0,1543240.0,838528.0,507.0
1620402.0,190.428705287,3.358576086306514E-5,1620402.0,98.9,97.80024637240629,97.73662551440329,97.75967413441956,98.9119586623422,98.90329012961116,98.89669007021062,98.90873015873017,100.0,97.81746031746032,98.91518737672584,97.83037475345168,100.0,1620402.0,865792.0,531.0
1697564.0,209.276428474,3.79568471328661E-5,1697564.0,98.4,96.80076781572421,96.72131147540983,96.89320388349513,98.42517204995355,98.40637450199202,98.39357429718876,98.41897233201581,100.0,96.83794466403161,98.43137254901961,96.86274509803921,100.0,1697564.0,896464.0,558.0
1774726.0,229.000277614,4.26991384748993E-5,1774726.0,97.5,94.95955547311627,95.0592885375494,94.66950959488273,97.54021986498759,97.2436604189636,97.71271729185727,97.76386404293382,100.0,95.52772808586762,97.3175965665236,94.63519313304721,100.0,1774726.0,929392.0,585.0
1851888.0,249.684634806,4.7836496621096434E-5,1851888.0,98.7,97.38727078325601,97.4609375,97.16157205240175,98.71026500085817,98.78618113912232,98.60064585575888,98.61995753715499,100.0,97.23991507430998,98.80073800738008,97.60147601476015,100.0,1851888.0,960064.0,612.0
1929050.0,271.341770389,5.3342756718331014E-5,1929050.0,98.6,97.19835263134723,97.28682170542635,97.2,98.61826106180716,98.55967078189302,98.63813229571984,98.65642994241843,100.0,97.31285988483685,98.58012170385395,97.16024340770791,100.0,1929050.0,982784.0,632.0
2006212.0,294.043928082,5.9328208110387754E-5,2006212.0,97.3,94.59805529990795,94.92481203007517,94.5233265720081,97.36819275746141,97.20785935884177,97.38625363020329,97.45283018867926,100.0,94.90566037735849,97.28370221327968,94.56740442655935,100.0,2006212.0,1019136.0,664.0
2083374.0,317.738146341,6.57632279753069E-5,2083374.0,98.5,96.98795180722891,96.90721649484536,96.8944099378882,98.51599020553536,98.3957219251337,98.59154929577464,98.61111111111111,100.0,97.22222222222221,98.42105263157895,96.84210526315789,100.0,2083374.0,1049808.0,691.0
2160536.0,342.134381969,7.251079026728901E-5,2160536.0,98.3,96.59975518237313,96.69260700389106,96.51639344262296,98.32782334732387,98.26707441386341,98.33169774288518,98.35907335907336,100.0,96.71814671814671,98.29659318637273,96.59318637274549,100.0,2160536.0,1069120.0,708.0
2237698.0,367.550301042,7.981674405084182E-5,2237698.0,97.89999999999999,95.79545909582349,95.91439688715953,95.66115702479338,97.94012431840184,97.81477627471385,97.97882579403273,98.0188679245283,100.0,96.0377358490566,97.86150712830957,95.72301425661914,100.0,2237698.0,1111152.0,745.0
2314860.0,393.82563591,8.758595512743745E-5,2314860.0,98.4,96.8008061968384,96.65271966527197,96.76113360323886,98.42519065035688,98.40319361277446,98.39679358717434,98.42209072978304,100.0,96.84418145956607,98.42829076620825,96.85658153241651,100.0,2314860.0,1142960.0,773.0
2392022.0,421.042129894,9.580941926603655E-5,2392022.0,98.5,96.99908772266768,96.98189134808854,96.86847599164926,98.5213968659528,98.4646878198567,98.53372434017595,98.55491329479769,100.0,97.10982658959537,98.48790322580645,96.9758064516129,100.0,2392022.0,1167952.0,795.0
2469184.0,450.516560372,1.0497498087302282E-4,2469184.0,98.3,96.60095173351462,96.5587044534413,96.68615984405457,98.32840211958612,98.3050847457627,98.29488465396189,98.32347140039448,100.0,96.64694280078896,98.33333333333334,96.66666666666667,100.0,2469184.0,1202032.0,825.0
2546346.0,479.447146301,1.1424349659696103E-4,2546346.0,97.8,95.60212856977222,95.68627450980391,95.50102249488752,97.84735812133071,97.80000000000001,97.80000000000001,97.84735812133071,100.0,95.69471624266144,97.84735812133071,95.69471624266144,100.0,2546346.0,1238384.0,854.0
2623508.0,509.60089256,1.240988346934013E-4,2623508.0,98.4,96.79461495312124,96.74796747967478,96.81274900398405,98.42219031540417,98.32635983263597,98.46743295019157,98.49056603773585,100.0,96.98113207547169,98.35390946502058,96.70781893004116,100.0,2623508.0,1263376.0,876.0
2700670.0,541.137527151,1.3468419424200802E-4,2700670.0,98.7,97.39073187963648,97.3630831643002,97.39478957915831,98.71195179925472,98.61554845580403,98.77474081055607,98.78957169459963,100.0,97.57914338919925,98.6344537815126,97.26890756302521,100.0,2700670.0,1297456.0,906.0
2777832.0,573.308223625,1.4569983086125128E-4,2777832.0,98.5,96.96724625960371,96.96356275303644,96.7032967032967,98.50593889290072,98.32402234636871,98.64253393665159,98.66071428571428,100.0,97.32142857142857,98.35164835164835,96.7032967032967,100.0,2777832.0,1323584.0,929.0
2854994.0,606.91315474,1.5740408585496716E-4,2854994.0,97.6,95.20228371295264,95.03105590062111,95.32163742690058,97.65602109581013,97.57575757575758,97.62376237623764,97.67891682785299,100.0,95.35783365570599,97.63313609467455,95.26627218934911,100.0,2854994.0,1346304.0,949.0
2932156.0,641.035931815,1.696597424482387E-4,2932156.0,98.6,97.19511950794382,97.29206963249516,97.13701431492842,98.61668827267842,98.53556485355648,98.65900383141762,98.67674858223062,100.0,97.35349716446125,98.55670103092784,97.11340206185567,100.0,2932156.0,1388336.0,986.0
3009318.0,676.417586564,1.8274187366915196E-4,3009318.0,98.8,97.58329574015595,97.5609756097561,97.41379310344827,98.80590361253961,98.68995633187774,98.8929889298893,98.90510948905109,100.0,97.8102189781022,98.70689655172413,97.41379310344827,100.0,3009318.0,1429232.0,1022.0
3086480.0,713.003781166,1.966672030928987E-4,3086480.0,98.1,96.19223215359332,96.04989604989605,95.97457627118644,98.1310231467865,98.18875119161106,98.00210304942166,98.04123711340208,100.0,96.08247422680412,98.22097378277154,96.44194756554307,100.0,3086480.0,1471264.0,1059.0
3163642.0,751.629233938,2.117092510347525E-4,3163642.0,98.7,97.39793916782091,97.29166666666667,97.31958762886597,98.71546452261228,98.73908826382153,98.65841073271413,98.67617107942974,100.0,97.35234215885947,98.75478927203065,97.5095785440613,100.0,3163642.0,1505344.0,1089.0
3240804.0,793.502659658,2.2839765251630393E-4,3240804.0,98.5,96.99815086093034,97.0873786407767,96.86192468619247,98.5209419824702,98.54227405247813,98.4552008238929,98.4787018255578,100.0,96.95740365111561,98.5632183908046,97.12643678160919,100.0,3240804.0,1540560.0,1120.0
