learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77162.0,1.8476638,4.0440030637921564E-7,77162.0,99.1,98.19995679896317,98.22834645669292,98.18181818181819,99.10243370149342,99.10625620655411,99.09365558912387,99.09899639598558,99.60079840319361,98.59719438877755,99.10587124545934,98.61660079051383,99.59514170040485,77162.0,863984.0,57212.0,24075.633140399677,42958.4,15764.65799185,50.199999999999996,18.93145530591877,25.599999999999998,9.465727652959385,25.599999999999998,9.465727652959385,9.9,3.5103022978402048,0.0,0.0,0.0,0.0,1.0,0.0
154324.0,3.454412369,9.44218731004362E-7,154324.0,99.1,98.19730316553564,98.24902723735408,98.11320754716981,99.10111409623713,99.13378248315688,99.06347554630594,99.08193872116166,99.61315280464217,98.55072463768117,99.12029689478831,98.65900383141762,99.581589958159,154324.0,1298680.0,126674.0,46261.9654191696,85822.4,28932.579971758867,100.80000000000001,34.31164363432461,50.900000000000006,17.155821817162305,50.900000000000006,17.155821817162305,12.9,3.928528138289623,0.0,0.0,0.0,0.0,1.0,0.0
231486.0,4.718211888,1.4372321322828595E-6,231486.0,99.4,98.7993132071545,98.77800407331976,98.76796714579056,99.40005225945275,99.41406250000001,99.38524590163934,99.4047976432068,99.22027290448344,99.58932238193019,99.39530732874711,99.60861056751467,99.18200408997954,231486.0,1507936.0,176986.0,83960.63892615926,106136.8,47576.06635647336,124.0,55.62773089426212,62.5,27.81386544713106,62.5,27.81386544713106,13.399999999999999,4.4522154285504,0.0,0.0,0.0,0.0,1.0,0.0
308648.0,5.828897694,1.8909758088421514E-6,308648.0,99.3,98.59294219806549,98.559670781893,98.60557768924303,99.29896111425056,99.2465016146394,99.34640522875814,99.33415407393102,99.78354978354979,98.88475836431226,99.2637930826681,98.7152034261242,99.812382739212,308648.0,1579144.0,193448.0,132621.47471490264,113319.20000000001,69579.20633956991,133.20000000000002,82.77117050438919,67.10000000000001,41.385585252194595,67.10000000000001,41.385585252194595,13.399999999999999,4.788875998951458,0.0,0.0,0.0,0.0,1.0,0.0
385810.0,6.897667205,2.381064622416569E-6,385810.0,99.5,98.99927146962989,99.0138067061144,98.97119341563786,99.49973487904818,99.48612538540596,99.51314508276535,99.50240988935326,99.58847736625515,99.41634241245137,99.4970600125685,99.38398357289527,99.61013645224172,385810.0,1772528.0,232010.0,158090.7264129613,132552.0,77211.95089995963,155.4,91.43692422162455,78.2,45.718462110812276,78.2,45.718462110812276,14.4,4.812021982031624,0.0,0.0,0.0,0.0,1.0,0.0
462972.0,7.914187499,2.8666923182212292E-6,462972.0,99.2,98.39997439959039,98.4251968503937,98.41584158415841,99.19998719979519,99.19678714859438,99.20318725099601,99.19998719979519,99.19678714859438,99.20318725099602,99.19998719979519,99.19678714859438,99.20318725099602,462972.0,1846672.0,262372.0,183715.6317065408,139542.4,84993.26185475594,163.0,99.73297682645729,82.0,49.866488413228645,82.0,49.866488413228645,14.2,5.00666222813829,0.0,0.0,0.0,0.0,1.0,0.0
540134.0,9.012506344,3.4340480055486326E-6,540134.0,99.2,98.39969274100628,98.43444227005871,98.38056680161942,99.20024012580866,99.18864097363083,99.21104536489153,99.19748443775904,98.98785425101214,99.40711462450594,99.20299596696755,99.39024390243902,99.01574803149606,540134.0,1996776.0,305034.0,222610.49690734112,154671.2,97366.683780439,181.0,114.63953167307612,91.0,57.31976583653806,91.0,57.31976583653806,14.2,5.533734925185902,0.0,0.0,0.0,0.0,1.0,0.0
617296.0,10.073528131,4.066470664473006E-6,617296.0,99.4,98.80000479998078,98.75518672199169,98.78048780487805,99.40039760159041,99.4,99.4,99.40039760159041,99.20159680638723,99.59919839679358,99.40039760159041,99.59919839679358,99.20159680638723,617296.0,2304016.0,371796.0,239136.06075946713,184655.2,101065.38950468322,215.8,117.90466958993233,108.4,58.95233479496616,108.4,58.95233479496616,15.199999999999998,4.9170903772228725,0.0,0.0,0.0,0.0,1.0,0.0
694458.0,11.171332664,4.803689722976384E-6,694458.0,99.4,98.7986160056385,98.77300613496932,98.828125,99.39970411691687,99.37888198757764,99.41972920696325,99.40643073423156,99.5850622406639,99.22779922779922,99.39297840989173,99.17355371900827,99.6124031007752,694458.0,2595816.0,441258.0,253233.4452195795,213421.6,102139.24975378792,249.79999999999998,120.03777183314703,125.39999999999999,60.01888591657352,125.39999999999999,60.01888591657352,15.7,4.667856991049414,0.0,0.0,0.0,0.0,1.0,0.0
771620.0,12.300389938,5.5195785316928E-6,771620.0,99.2,98.4,98.44660194174757,98.40319361277446,99.201574475778,99.20318725099602,99.19678714859438,99.2,99.6,98.8,99.2031490015361,98.80952380952381,99.59677419354838,771620.0,2450936.0,426120.0,350263.31364972965,199458.4,149639.8916296498,233.4,174.93058940937436,117.2,87.46529470468718,117.2,87.46529470468718,14.7,5.831904586934796,0.0,0.0,0.0,0.0,1.0,0.0
848782.0,13.458087624,6.242866712328288E-6,848782.0,99.0,97.99374047026723,97.89473684210526,97.98792756539235,98.99844809092554,98.9406779661017,99.0530303030303,99.02047370533921,99.36170212765958,98.67924528301887,98.97643227286584,98.52320675105484,99.42965779467681,848782.0,2415008.0,415082.0,364176.1020898177,195583.19999999998,152969.24637092545,229.6,179.67637574261119,115.3,89.83818787130559,115.3,89.83818787130559,14.9,5.173651192984184,0.0,0.0,0.0,0.0,1.0,0.0
925944.0,14.56511766,7.011238183373454E-6,925944.0,99.4,98.79953902298483,98.87218045112782,98.75259875259876,99.40135159867538,99.41176470588235,99.38775510204081,99.3934447218488,99.80314960629921,98.98373983739837,99.40925973360656,99.0234375,99.79508196721312,925944.0,2682960.0,484544.0,374574.78114078456,222012.0,151807.3424311222,260.4,179.220658531444,130.7,89.610329265722,130.7,89.610329265722,15.7,4.967673276069771,0.0,0.0,0.0,0.0,1.0,0.0
1003106.0,15.709126031,7.758443669695669E-6,1003106.0,98.5,96.99865539761812,96.86847599164926,97.04724409448818,98.50719361064381,98.4646878198567,98.53372434017595,98.52729194695368,99.3801652892562,97.67441860465115,98.48710347228055,97.56592292089249,99.40828402366864,1003106.0,2524720.0,448856.0,428944.52179480944,206568.8,175381.78110675514,241.8,206.0770082598574,121.4,103.0385041299287,121.4,103.0385041299287,14.200000000000001,5.827139568909908,0.0,0.0,0.0,0.0,1.0,0.0
1080268.0,16.858829007,8.60584263408947E-6,1080268.0,99.4,98.79506942408335,98.83040935672514,98.77800407331976,99.39793316114093,99.43609022556392,99.35897435897435,99.38523685045314,99.62335216572504,99.14712153518124,99.41063271611138,99.24953095684803,99.57173447537473,1080268.0,2849080.0,518318.0,438470.4760110233,238400.8,173880.38025467712,280.8,205.34080073001672,140.9,102.67040036500836,140.9,102.67040036500836,15.5,4.972144630058766,0.0,0.0,0.0,0.0,1.0,0.0
1157430.0,18.09676491,9.540103048606366E-6,1157430.0,99.1,98.19994239815674,98.25242718446601,98.17444219066937,99.10478401528792,99.09182643794146,99.10802775024777,99.11097240893669,99.79674796747967,98.4251968503937,99.09859639438558,98.39679358717434,99.8003992015968,1157430.0,2917240.0,545830.0,481533.1302782349,245279.19999999998,191007.03409781653,287.2,224.8583751806654,144.1,112.4291875903327,144.1,112.4291875903327,14.9,6.008327554319921,0.0,0.0,0.0,0.0,1.0,0.0
1234592.0,19.317573652,1.054533829614718E-5,1234592.0,99.4,98.79971193086341,98.76288659793815,98.78542510121457,99.40143759827103,99.40944881889764,99.39024390243902,99.39511289625706,99.80237154150198,98.98785425101214,99.4077631052421,99.01960784313727,99.79591836734694,1234592.0,3182896.0,615242.0,491791.7948120368,271631.2,192082.93047697452,320.0,227.68447953741207,160.5,113.84223976870604,160.5,113.84223976870604,15.7,5.888784066153027,0.0,0.0,0.0,0.0,1.0,0.0
1311754.0,20.558383514,1.1659382498706787E-5,1311754.0,99.2,98.3992252250089,98.33333333333333,98.43444227005871,99.19961261250445,99.21722113502935,99.18200408997954,99.19961261250445,99.21722113502935,99.18200408997954,99.19961261250445,99.21722113502935,99.18200408997954,1311754.0,3470560.0,684704.0,502960.6484496465,300005.6,194975.0023516975,352.4,229.63362123173516,176.7,114.81681061586758,176.7,114.81681061586758,16.299999999999997,6.111010100175293,0.0,0.0,0.0,0.0,1.0,0.0
1388916.0,21.818238114,1.2877743365938043E-5,1388916.0,99.6,99.19969268198989,99.20634920634922,99.15966386554622,99.60143483459545,99.59183673469389,99.6078431372549,99.609375,100.0,99.21875,99.59349593495934,99.1869918699187,100.0,1388916.0,3738160.0,754166.0000000001,515039.27843741525,326392.8,198622.4563049763,383.59999999999997,233.03800357690827,192.29999999999998,116.51900178845413,192.29999999999998,116.51900178845413,16.7,5.478239782184703,0.0,0.0,0.0,0.0,1.0,0.0
1466078.0,23.104134331,1.419997210242932E-5,1466078.0,99.4,98.79984638033669,98.85496183206108,98.72340425531915,99.40150446976457,99.40711462450594,99.39271255060727,99.39676139272913,99.8015873015873,98.99193548387096,99.40624799948787,99.01574803149606,99.79674796747967,1466078.0,3974688.0,823578.0,528051.8177435073,349718.4,200394.35974497884,412.20000000000005,236.7318220171415,206.60000000000002,118.36591100857075,206.60000000000002,118.36591100857075,17.2,5.921711464320654,0.0,0.0,0.0,0.0,1.0,0.0
1543240.0,24.348793309,1.556157724781455E-5,1543240.0,99.6,99.19961261250445,99.18200408997954,99.17864476386036,99.59980630625222,99.59100204498978,99.60861056751467,99.59980630625222,99.59100204498978,99.60861056751467,99.59980630625222,99.59100204498978,99.60861056751467,1543240.0,4228664.0,893040.0,541769.3851323335,374606.39999999997,204333.71887467706,439.8,240.69011889426068,220.4,120.34505944713034,220.4,120.34505944713034,17.700000000000003,5.755190893638735,0.0,0.0,0.0,0.0,1.0,0.0
