learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77162.0,0.854520001,1.463856631740369E-7,77162.0,99.1,98.19995679896317,98.22834645669292,98.18181818181819,99.10243370149342,99.10625620655411,99.09365558912387,99.09899639598558,99.60079840319361,98.59719438877755,99.10587124545934,98.61660079051383,99.59514170040485,77162.0,680448.0,10.0,77066.80000000002,157.92811304162274,30179.2,2203.1192432548905,34.6,2.9514591494904874,17.8,1.4757295747452437,17.8,1.4757295747452437,9.6,1.1737877907772671,0.0,0.0,0.0,0.0,1.0,0.0
154324.0,1.561691927,3.06835056837704E-7,154324.0,99.0,97.99647379387723,98.0544747081712,97.9035639412998,98.9986302780315,99.04030710172745,98.9561586638831,98.99038461538461,99.23076923076923,98.75,99.00687731448083,98.85057471264368,99.16317991631799,154324.0,877032.0,10.0,154144.6,372.8175603875595,49567.200000000004,3716.4790027360273,57.0,4.422166387140533,29.0,2.2110831935702664,29.0,2.2110831935702664,12.000000000000002,1.5634719199411433,0.0,0.0,0.0,0.0,1.0,0.0
231486.0,2.133645839,4.6123937475910407E-7,231486.0,99.5,98.99938362031011,98.98167006109979,98.97330595482546,99.50058393024351,99.51219512195121,99.48717948717947,99.50801428319802,99.22178988326849,99.79423868312757,99.49315468686844,99.80430528375733,99.18200408997954,231486.0,1043520.0,10.0,231163.8,375.4327281062906,65985.6,2625.8849598225406,76.19999999999999,3.293090409394258,38.599999999999994,1.646545204697129,38.599999999999994,1.646545204697129,13.0,1.563471919941143,0.0,0.0,0.0,0.0,1.0,0.0
308648.0,2.658598821,6.212804307519168E-7,308648.0,99.3,98.59294219806549,98.559670781893,98.60557768924303,99.29896111425056,99.2465016146394,99.34640522875814,99.33415407393102,99.78354978354979,98.88475836431226,99.2637930826681,98.7152034261242,99.812382739212,308648.0,1178456.0,10.0,308253.5,521.0391859863615,79292.0,3852.131300404434,91.8,4.541169697580373,46.4,2.2705848487901865,46.4,2.2705848487901865,13.5,1.5092308563562362,0.0,0.0,0.0,0.0,1.0,0.0
385810.0,3.23790733,8.234421312416468E-7,385810.0,99.5,98.99927146962989,99.0138067061144,98.97119341563786,99.49973487904818,99.48612538540596,99.51314508276535,99.50240988935326,99.58847736625515,99.41634241245137,99.4970600125685,99.38398357289527,99.61013645224172,385810.0,1348936.0,10.0,385501.6,382.45644632211753,96103.20000000001,5450.686823185171,111.8,6.613118276073196,56.4,3.306559138036598,56.4,3.306559138036598,14.5,1.2692955176439846,0.0,0.0,0.0,0.0,1.0,0.0
462972.0,3.836918393,1.0523880568056098E-6,462972.0,99.1,98.1999855998848,98.22834645669292,98.21782178217822,99.10009100180186,99.09729187562688,99.10269192422732,99.0997963991856,98.99799599198397,99.20159680638723,99.1003856061697,99.19678714859438,99.00398406374502,462972.0,1477408.0,10.0,462701.8,435.637923050785,108772.8,4394.3983736874225,126.6,5.719362823873924,63.8,2.859681411936962,63.8,2.859681411936962,14.6,1.3498971154211057,0.0,0.0,0.0,0.0,1.0,0.0
540134.0,4.423748261,1.2957095664945534E-6,540134.0,99.1,98.19971195391263,98.23874755381604,98.17813765182186,99.10074008248134,99.08814589665653,99.11154985192498,99.0969096909691,98.7878787878788,99.4059405940594,99.10457077011715,99.39024390243902,98.81889763779527,540134.0,1602768.0,10.0,539922.3,368.8230680903197,121136.8,4245.064396841742,141.20000000000002,5.5337349251859,71.10000000000001,2.76686746259295,71.10000000000001,2.76686746259295,14.899999999999999,1.1005049346146116,0.0,0.0,0.0,0.0,1.0,0.0
617296.0,5.04275928,1.5744865163880585E-6,617296.0,99.5,99.000007999936,98.96265560165975,98.98373983739837,99.50089500984559,99.5004995004995,99.4994994994995,99.5011920190723,99.20318725099602,99.79919678714859,99.50059800239201,99.79959919839679,99.20159680638723,617296.0,1740848.0,10.0,617016.0,582.6079299151365,134754.40000000002,5740.76547741385,156.8,7.509993342207434,78.9,3.754996671103717,78.9,3.754996671103717,15.4,1.429840705968481,0.0,0.0,0.0,0.0,1.0,0.0
694458.0,5.629691113,1.8574039351336408E-6,694458.0,99.2,98.39815467418465,98.3640081799591,98.4375,99.19947184654315,99.17184265010353,99.22630560928432,99.20617119787245,99.37759336099586,99.03474903474904,99.19277339996155,98.96694214876032,99.4186046511628,694458.0,1863264.0,10.0,694163.3,619.7268305023154,146825.59999999998,5614.610527701618,171.4,7.22956891292051,86.2,3.614784456460255,86.2,3.614784456460255,15.6,1.5055453054181622,0.0,0.0,0.0,0.0,1.0,0.0
771620.0,6.233016216,2.1725045169171565E-6,771620.0,99.3,98.59997759964159,98.64077669902912,98.60279441117764,99.30087625213494,99.30348258706468,99.2964824120603,99.29939719758879,99.60079840319361,98.99799599198397,99.30235535074246,99.0079365079365,99.59677419354838,771620.0,2018832.0,10.0,771249.6000000001,664.2183710531025,162169.59999999998,6552.872876329384,189.0,8.32666399786453,95.0,4.163331998932265,95.0,4.163331998932265,15.9,1.5951314818673865,0.0,0.0,0.0,0.0,1.0,0.0
