learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77162.0,1.065159652,1.4646656074153878E-7,77162.0,98.5,97.00064786006223,97.04724409448818,96.96969696969697,98.52215438363493,98.49548645937813,98.50448654037885,98.52652259332024,100.0,97.05304518664047,98.51778656126481,97.03557312252964,100.0,77162.0,547096.0,10.0,77066.80000000002,157.92811304162274,16583.2,13929.404460429103,58.2,35.888097686497055,9.700000000000001,8.192815280611557,9.700000000000001,8.192815280611557,5.0,4.666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
154324.0,1.847837946,2.7397353001153305E-7,154324.0,98.7,97.39793916782091,97.47081712062257,97.27463312368972,98.71546452261228,98.73908826382153,98.65841073271413,98.67617107942974,100.0,97.35234215885947,98.75478927203065,97.5095785440613,100.0,154324.0,629728.0,10.0,154144.6,372.8175603875595,24733.6,24172.129126100765,112.70000000000002,74.06011072095424,14.4,14.135848832745143,14.4,14.135848832745143,5.6,6.003702561290361,0.0,0.0,0.0,0.0,1.0,0.0
231486.0,2.61666934,4.108546047117272E-7,231486.0,98.8,97.60010559535381,97.5560081466395,97.5359342915811,98.81411206640973,98.8118811881188,98.7878787878788,98.80239520958084,100.0,97.60479041916167,98.82583170254404,97.65166340508806,100.0,231486.0,688200.0,10.0,231163.8,375.4327281062906,30498.399999999998,31998.36285812135,165.8,110.19558369856148,17.9,18.770248326067033,17.9,18.770248326067033,5.8,6.425643072011462,0.0,0.0,0.0,0.0,1.0,0.0
308648.0,3.342985731,5.511291545985971E-7,308648.0,98.6,97.18252035629042,97.11934156378601,97.21115537848605,98.61055974593093,98.47826086956522,98.70370370370371,98.72029250457038,100.0,97.44058500914076,98.50107066381156,97.00214132762312,100.0,308648.0,746544.0,10.0,308253.5,521.0391859863615,36251.2,39358.163136903524,219.29999999999998,149.76132863845578,21.3,23.166306951643755,21.3,23.166306951643755,6.300000000000001,6.848357467305573,0.0,0.0,0.0,0.0,1.0,0.0
385810.0,4.035549972,6.96499415072478E-7,385810.0,99.1,98.19793844157716,98.22485207100591,98.14814814814815,99.10694351417729,99.06735751295336,99.13043478260869,99.13793103448276,100.0,98.27586206896551,99.07597535934292,98.15195071868584,100.0,385810.0,811368.0,10.0,385501.6,382.45644632211753,42644.0,49335.014638016815,275.6,190.83570595322738,25.099999999999998,28.995976732413528,25.099999999999998,28.995976732413528,6.3999999999999995,7.105553383719589,0.0,0.0,0.0,0.0,1.0,0.0
462972.0,4.727100263,8.447669227204782E-7,462972.0,98.6,97.19964155411893,97.24409448818896,97.22772277227722,98.61888808652864,98.57433808553971,98.62475442043221,98.64341085271317,100.0,97.28682170542635,98.59437751004016,97.18875502008032,100.0,462972.0,828752.0,10.0,462701.8,435.637923050785,44359.2,52642.8318657388,328.9,239.53633452058077,26.2,31.211821122417344,26.2,31.211821122417344,6.0,6.815016100086957,0.0,0.0,0.0,0.0,1.0,0.0
540134.0,5.413581638,9.94124243726724E-7,540134.0,98.2,96.39700230591852,96.4774951076321,96.35627530364373,98.22981696307397,98.13664596273291,98.25918762088975,98.28897338403041,100.0,96.57794676806084,98.17073170731707,96.34146341463415,100.0,540134.0,841008.0,10.0,539922.3,368.8230680903197,45568.0,58111.869799168875,380.5,285.36146668158733,26.700000000000003,34.104577731181806,26.700000000000003,34.104577731181806,5.4,7.121173436387511,0.0,0.0,0.0,0.0,1.0,0.0
617296.0,6.09672334,1.1431663798655135E-6,617296.0,98.1,96.19969597567804,96.05809128630705,96.13821138211381,98.13461959493756,98.05924412665985,98.13907933398627,98.17307692307693,100.0,96.34615384615385,98.09619238476954,96.19238476953907,100.0,617296.0,843336.0,10.0,617016.0,582.6079299151365,45799.2,63310.550226289735,436.5,324.47641585243827,26.7,36.956581130955406,26.7,36.956581130955406,5.4,7.32120208708925,0.0,0.0,0.0,0.0,1.0,0.0
694458.0,6.772421459,1.3006937784171705E-6,694458.0,98.6,97.19461365822379,97.13701431492842,97.265625,98.61644220088468,98.53249475890985,98.66156787762907,98.67924528301887,100.0,97.35849056603773,98.55371900826447,97.10743801652893,100.0,694458.0,901168.0,10.0,694163.3,619.7268305023154,51501.6,69489.24173680092,496.70000000000005,353.4635137543273,30.2,40.723457613518036,30.2,40.723457613518036,5.6,7.4266786355379315,0.0,0.0,0.0,0.0,1.0,0.0
771620.0,7.457180917,1.4704197573058536E-6,771620.0,98.2,96.40080621940686,96.50485436893203,96.40718562874251,98.2316534040672,98.18181818181819,98.21782178217822,98.24902723735408,100.0,96.49805447470817,98.21428571428572,96.42857142857143,100.0,771620.0,958104.0,10.0,771249.6000000001,664.2183710531025,57117.600000000006,76085.86289361952,562.0,391.68553146057815,33.3,44.41733895676327,33.3,44.41733895676327,5.6,7.4266786355379315,0.0,0.0,0.0,0.0,1.0,0.0
