learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77162.0,1.389520739,5.499315984525821E-7,77162.0,98.9,97.79994719873277,97.83464566929133,97.77777777777777,98.90241890014812,98.90764647467726,98.89224572004028,98.89899559598238,99.40119760479041,98.39679358717434,98.90584244131155,98.41897233201581,99.39271255060729,77162.0,1547832.0,10.0,74873.29999999999,3439.079691170622,115605.59999999999,39453.39435390122,144.8,50.336203008702725,72.9,25.168101504351363,72.9,25.168101504351363,12.799999999999999,1.3984117975602022,0.0,0.0,0.0,0.0,1.0,0.0
154324.0,2.550698851,1.3507435578040157E-6,154324.0,99.3,98.59765527962753,98.63813229571984,98.53249475890985,99.29971802824153,99.32756964457252,99.27007299270073,99.28757125288918,99.61464354527938,98.96049896049897,99.31186777601437,99.04214559386973,99.581589958159,154324.0,2665840.0,10.0,144922.80000000002,6313.959064380026,225844.0,82522.9645829302,283.4,107.52901417240321,142.2,53.764507086201604,142.2,53.764507086201604,14.8,1.2292725943057181,0.0,0.0,0.0,0.0,1.0,0.0
231486.0,3.564389789,2.3212466672842163E-6,231486.0,99.5,98.99947172106872,98.98167006109979,98.97330595482546,99.49983496519354,99.51124144672531,99.48822927328558,99.50211321721312,99.4140625,99.59016393442623,99.49755681749967,99.60861056751467,99.38650306748467,231486.0,3700784.0,10.0,214589.2,9041.798638668208,327880.8,126232.88392561495,415.40000000000003,168.63846931626642,208.20000000000002,84.31923465813321,208.20000000000002,84.31923465813321,16.299999999999997,1.3374935098492586,0.0,0.0,0.0,0.0,1.0,0.0
308648.0,4.66104246,3.682823315520653E-6,308648.0,99.4,98.79443026783741,98.76543209876543,98.80478087649402,99.39761400455149,99.35622317596567,99.43820224719101,99.4111144608582,99.56989247311829,99.25233644859813,99.38411721458674,99.14346895074947,99.62476547842401,308648.0,4799272.0,10.0,290575.3,11007.269305630105,436203.19999999995,168990.2656057772,549.8,217.79745942809652,275.4,108.89872971404826,275.4,108.89872971404826,16.8,1.5491933384829668,0.0,0.0,0.0,0.0,1.0,0.0
385810.0,5.614876514,5.110292064677293E-6,385810.0,99.4,98.79918825125785,98.81656804733727,98.76543209876543,99.39959412562892,99.38398357289527,99.41520467836257,99.39959412562892,99.38398357289527,99.41520467836257,99.39959412562892,99.38398357289527,99.41520467836257,385810.0,5784904.0,10.0,360856.60000000003,12263.38935567525,533358.4,201220.69968359504,682.6,267.69269279862266,341.8,133.84634639931133,341.8,133.84634639931133,17.700000000000003,1.4181364924121764,0.0,0.0,0.0,0.0,1.0,0.0
462972.0,6.573952114,6.784135501750424E-6,462972.0,99.5,99.000007999936,99.01574803149606,99.00990099009901,99.50089500984559,99.4994994994995,99.5004995004995,99.50059800239201,99.20159680638723,99.79959919839679,99.5011920190723,99.79919678714859,99.20318725099602,462972.0,6746280.0,10.0,426247.3,17195.66289019803,628153.6,239161.1329195816,799.4000000000001,315.55636932602425,400.20000000000005,157.77818466301213,400.20000000000005,157.77818466301213,18.3,1.3374935098492586,0.0,0.0,0.0,0.0,1.0,0.0
540134.0,7.673751382,8.964298801351477E-6,540134.0,99.4,98.79976955575471,98.82583170254404,98.78542510121457,99.40028013396937,99.39148073022312,99.40828402366864,99.39751324190684,99.19028340080972,99.60474308300395,99.4030471800781,99.59349593495935,99.21259842519686,540134.0,7662632.0,10.0,505085.8,17680.138679697437,718468.8,274481.2836965999,927.8000000000001,369.8182136011031,464.40000000000003,184.90910680055154,464.40000000000003,184.90910680055154,18.700000000000003,1.6363916944844765,0.0,0.0,0.0,0.0,1.0,0.0
617296.0,8.728266394,1.132901659443802E-5,617296.0,99.7,99.4000047999616,99.37759336099586,99.39024390243902,99.7008970098674,99.7002997002997,99.69969969969969,99.7011952191235,99.40239043824701,100.0,99.7005988023952,100.0,99.40119760479041,617296.0,8668200.0,10.0,575713.6,20340.923819291525,817612.0,318509.36054341914,1049.6,421.32916664606387,525.3,210.66458332303193,525.3,210.66458332303193,19.3,1.6363916944844765,0.0,0.0,0.0,0.0,1.0,0.0
694458.0,9.748245757,1.3846708442375568E-5,694458.0,99.6,99.19907733709233,99.18200408997954,99.21875,99.59993638728677,99.58592132505176,99.61315280464217,99.60669027059068,99.79253112033194,99.42084942084942,99.5931834198219,99.3801652892562,99.8062015503876,694458.0,9541432.0,10.0,644693.6,23601.711643202685,903702.4,353824.86639428453,1165.8000000000002,471.2029051032875,583.4000000000001,235.60145255164375,583.4000000000001,235.60145255164375,19.5,1.779513042005218,0.0,0.0,0.0,0.0,1.0,0.0
771620.0,10.815423507,1.6757369780787048E-5,771620.0,99.4,98.80003839877124,98.83495145631068,98.80239520958084,99.40357615736048,99.40119760479043,99.39879759519037,99.40239043824701,100.0,98.80478087649402,99.40476190476191,98.80952380952381,100.0,771620.0,1.0542832E7,10.0,722086.3,23869.0899935926,1002419.2000000001,392675.5537140327,1294.0,523.053640758872,647.5,261.526820379436,647.5,261.526820379436,19.9,2.078995483935023,0.0,0.0,0.0,0.0,1.0,0.0
