learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
77042.0,1.843808483,1.934422871899253E-7,77042.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77042.0,421808.0,20.0,20.0,20.0,0.0,100.0,100.0,21.0,1.0,0.8,0.7,3914.374999999999,13809.646002839443,496.4666666666667,425.7882642093078
154084.0,3.450069351,3.6959170943809674E-7,154084.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154084.0,423904.0,20.0,20.0,20.0,0.0,100.0,100.0,23.0,1.0,0.8,0.7,8539.083333333336,31070.146476864866,513.6666666666666,433.9760542775077
231126.0,4.957316558,5.352447222976862E-7,231126.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231126.0,424832.0,20.0,20.0,20.0,0.0,100.0,100.0,24.0,1.0,0.8,0.7,14088.350000000002,50514.584710571595,521.2666666666662,436.27513740552195
308168.0,6.516871128,7.066465414814464E-7,308168.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308168.0,424832.0,20.0,20.0,20.0,0.0,100.0,100.0,24.0,1.0,0.8,0.7,17005.833333333325,65534.51182614638,521.2666666666662,436.27513740552195
385210.0,8.054155028,8.756007173278907E-7,385210.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,385210.0,424832.0,20.0,20.0,20.0,0.0,100.0,100.0,24.0,1.0,0.8,0.7,19503.84166666667,78473.48777900476,521.2666666666662,436.27513740552195
462252.0,9.663187129,1.0528765701387614E-6,462252.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,462252.0,425880.0,20.0,20.0,20.0,0.0,100.0,100.0,25.0,1.0,0.8,0.7,16967.283333333333,79494.28861870944,529.8666666666664,439.886596030098
539294.0,11.264834979,1.229338859694691E-6,539294.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,539294.0,425880.0,20.0,20.0,20.0,0.0,100.0,100.0,25.0,1.0,0.8,0.7,17486.21666666668,83845.44940645946,529.8666666666664,439.886596030098
616336.0,12.848309704,1.4042282258875377E-6,616336.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,616336.0,426928.0,20.0,20.0,20.0,0.0,100.0,100.0,26.0,1.0,0.8,0.7,20620.141666666652,96272.79245908742,538.4666666666666,443.3004355857054
693378.0,14.424975125,1.5783655277487138E-6,693378.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,693378.0,426928.0,20.0,20.0,20.0,0.0,100.0,100.0,26.0,1.0,0.8,0.7,23323.074999999997,110436.81792088237,538.4666666666666,443.3004355857054
770420.0,16.01085123,1.7560867502668086E-6,770420.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,770420.0,433184.0,20.0,20.0,20.0,0.0,100.0,100.0,33.0,1.0,0.8,0.7,24744.266666666677,122207.65365486503,589.6666666666669,451.1681445734741
847462.0,18.421741629,2.0608610432220207E-6,847462.0,95.89999999999999,43.795580413445236,-412.5,-127.77777777777777,77.14920054475562,45.33333333333333,97.87012987012987,64.85925843240126,29.82456140350877,99.89395546129374,95.18556234442181,94.44444444444444,95.9266802443992,847462.0,488656.0,20.0,20.0,20.0,0.0,100.0,100.0,92.0,1.0,0.8,0.7,22948.175000000007,116681.55145722444,1044.0666666666664,233.159653648816
924504.0,21.125215037,2.407602069780367E-6,924504.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,924504.0,495776.0,20.0,20.0,20.0,0.0,100.0,100.0,110.0,1.0,0.8,0.7,25453.091666666656,128063.1480713695,1102.333333333334,43.63202380592213
1001546.0,23.918530276,2.7660394263162875E-6,1001546.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1001546.0,496016.0,20.0,20.0,20.0,0.0,100.0,100.0,112.0,1.0,0.8,0.7,9587.69166666667,49027.90363991,1104.3333333333342,46.35147660812434
1078588.0,26.209349099,3.06006771292317E-6,1078588.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1078588.0,496136.0,20.0,20.0,20.0,0.0,100.0,100.0,113.0,1.0,0.8,0.7,10119.76666666667,57536.55820794014,1105.333333333334,47.621288462681605
1155630.0,28.384354018,3.3392311994784363E-6,1155630.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1155630.0,496136.0,20.0,20.0,20.0,0.0,100.0,100.0,114.0,1.0,0.8,0.7,7166.525000000006,43127.507066614475,1105.333333333334,47.621288462681605
1232672.0,30.602221846,3.6245846888295353E-6,1232672.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1232672.0,497336.0,20.0,20.0,20.0,0.0,100.0,100.0,114.0,1.0,0.8,0.7,5068.158333333333,37788.606623395695,1115.3333333333328,33.035080242231004
1309714.0,32.850425512,3.912724528019246E-6,1309714.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1309714.0,495416.0,20.0,20.0,20.0,0.0,100.0,100.0,132.0,1.0,0.8,0.7,7517.883333333334,45778.996884315566,1099.3333333333333,44.4222166638872
1386756.0,35.464890843,4.247968428041751E-6,1386756.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1386756.0,495656.0,20.0,20.0,20.0,0.0,100.0,100.0,156.0,1.0,0.8,0.7,11372.224999999991,57473.7434121538,1101.333333333333,42.170787876681345
1463798.0,38.101588803,4.586063141638006E-6,1463798.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1463798.0,495656.0,20.0,20.0,20.0,0.0,100.0,100.0,157.0,0.743,0.8,0.7,14322.08333333333,70135.28933911998,1101.333333333333,42.170787876681345
1540840.0,40.713935304,4.921035351374828E-6,1540840.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1540840.0,495656.0,20.0,20.0,20.0,0.0,100.0,100.0,157.0,1.0,0.8,0.7,13824.091666666664,77974.55230076113,1101.333333333333,42.170787876681345
1617882.0,43.381065635,5.2630323032681455E-6,1617882.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1617882.0,495656.0,20.0,20.0,20.0,0.0,100.0,100.0,157.0,1.0,0.8,0.7,18940.09999999999,91218.04124437504,1101.333333333333,42.170787876681345
1694924.0,46.694014465,5.687840340756784E-6,1694924.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1694924.0,495656.0,20.0,20.0,20.0,0.0,100.0,100.0,157.0,1.0,0.8,0.7,19932.583333333343,99068.00604148154,1101.333333333333,42.170787876681345
1771966.0,49.557010036,6.054774660767271E-6,1771966.0,95.1,0.0,-Infinity,-Infinity,?,?,97.48846745258841,50.0,0.0,100.0,?,?,95.1,1771966.0,495416.0,20.0,20.0,20.0,0.0,100.0,100.0,173.0,1.0,0.8,0.7,18658.658333333333,103162.86286675777,1099.3333333333337,44.422216663887184
1849008.0,52.513936214,6.4340229327802235E-6,1849008.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1849008.0,495776.0,20.0,20.0,20.0,0.0,100.0,100.0,179.0,1.0,0.8,0.7,20776.34166666666,113835.20559917588,1102.3333333333342,43.632023805922096
1926050.0,55.439845421,6.809202210178121E-6,1926050.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1926050.0,495656.0,20.0,20.0,20.0,0.0,100.0,100.0,179.0,1.0,0.8,0.7,24572.85000000001,127236.82676075106,1101.3333333333321,44.76893680981558
2003092.0,58.152747311,7.156562974350111E-6,2003092.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2003092.0,494936.0,20.0,20.0,20.0,0.0,100.0,100.0,213.0,0.742,0.8,0.7,17575.13333333331,126630.1923332339,1095.3333333333333,45.969177348593625
2080134.0,60.472229247,7.45362213689803E-6,2080134.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2080134.0,495056.0,20.0,20.0,20.0,0.0,100.0,100.0,223.0,0.772,0.8,0.7,12540.899999999994,115313.34098278379,1096.3333333333335,49.76471250438656
2157176.0,62.768051794,7.747508666339217E-6,2157176.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2157176.0,494816.0,20.0,20.0,20.0,0.0,100.0,100.0,224.0,0.747,0.8,0.7,1224.4833333333336,3447.359639944005,1094.3333333333337,51.49093635398991
2234218.0,65.160727173,8.054387481821666E-6,2234218.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2234218.0,495776.0,20.0,20.0,20.0,0.0,100.0,100.0,224.0,1.0,0.8,0.7,1093.8166666666664,3021.6545553422757,1102.333333333333,43.632023805922216
2311260.0,67.522481884,8.357007212394053E-6,2311260.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2311260.0,495296.0,20.0,20.0,20.0,0.0,100.0,100.0,224.0,1.0,0.8,0.7,960.5249999999997,2584.4360403052283,1098.333333333333,47.89226939483158
2388302.0,70.449347629,8.732036557756687E-6,2388302.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2388302.0,495296.0,20.0,20.0,20.0,0.0,100.0,100.0,224.0,1.0,0.8,0.7,838.4333333333334,2137.317075502017,1098.333333333333,47.89226939483157
2465344.0,72.9259459,9.049602238706628E-6,2465344.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2465344.0,495656.0,20.0,20.0,20.0,0.0,100.0,100.0,228.0,1.0,0.8,0.7,697.7666666666667,1690.7835175093328,1101.333333333334,49.55827286098249
2542386.0,75.238259237,9.34624579474148E-6,2542386.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2542386.0,495896.0,20.0,20.0,20.0,0.0,100.0,100.0,228.0,1.0,0.8,0.7,578.4749999999999,1309.6538510055934,1103.3333333333337,47.465747638476515
2619428.0,77.578568392,9.646408243710757E-6,2619428.0,99.9,0.0,-Infinity,-Infinity,?,?,99.94997498749373,50.0,0.0,100.0,?,?,99.9,2619428.0,495776.0,20.0,20.0,20.0,0.0,100.0,100.0,228.0,1.0,0.8,0.7,446.7583333333336,861.0862984482742,1102.3333333333335,48.5336811635271
2696470.0,79.985370558,9.954575908260014E-6,2696470.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2696470.0,494936.0,20.0,20.0,20.0,0.0,100.0,100.0,229.0,1.0,0.8,0.7,280.46666666666664,340.3731252989434,1095.3333333333333,56.94363029182747
2773512.0,82.368197604,1.0260487490880356E-5,2773512.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2773512.0,496256.0,20.0,20.0,20.0,0.0,100.0,100.0,230.0,1.0,0.8,0.7,2315.6500000000005,7052.81085112033,1106.333333333333,48.83746552817509
2850554.0,84.817785406,1.0575045983544798E-5,2850554.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2850554.0,496376.0,20.0,20.0,20.0,0.0,100.0,100.0,231.0,1.0,0.8,0.7,2206.958333333331,6688.89753310165,1107.3333333333337,50.00392141485251
2927596.0,87.496535319,1.0919114989881456E-5,2927596.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2927596.0,496496.0,20.0,20.0,20.0,0.0,100.0,100.0,232.0,1.0,0.8,0.7,4286.216666666666,13644.666421388996,1108.3333333333333,51.12405957851072
3004638.0,90.167120582,1.1262135296972637E-5,3004638.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3004638.0,496496.0,20.0,20.0,20.0,0.0,100.0,100.0,232.0,1.0,0.8,0.7,8080.449999999996,29747.411750090327,1108.3333333333333,51.12405957851072
3081680.0,93.367927658,1.1673358711961727E-5,3081680.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3081680.0,496616.0,20.0,20.0,20.0,0.0,100.0,100.0,233.0,1.0,0.8,0.7,12544.583333333336,47802.50757400436,1109.3333333333335,52.200861793545094
3158722.0,96.566179093,1.2084253791192192E-5,3158722.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3158722.0,496616.0,20.0,20.0,20.0,0.0,100.0,100.0,233.0,1.0,0.8,0.7,12610.266666666661,56183.300989375355,1109.3333333333335,52.200861793545094
3235764.0,99.080547326,1.2407521203399438E-5,3235764.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3235764.0,496976.0,20.0,20.0,20.0,0.0,100.0,100.0,236.0,1.0,0.8,0.7,10087.975000000006,55968.744670043714,1112.3333333333335,55.196110771119585
3312806.0,101.603949594,1.2731950103839757E-5,3312806.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3312806.0,496976.0,20.0,20.0,20.0,0.0,100.0,100.0,236.0,1.0,0.8,0.7,12338.708333333328,68208.13157459605,1112.3333333333335,55.196110771119585
3389848.0,104.14636795,1.3058823865568643E-5,3389848.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3389848.0,496976.0,20.0,20.0,20.0,0.0,100.0,100.0,236.0,0.5384444444444445,0.8,0.7,10130.616666666661,66836.21187890893,1112.3333333333335,55.196110771119585
3466890.0,106.667622738,1.3382507048400115E-5,3466890.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3466890.0,496256.0,20.0,20.0,20.0,0.0,100.0,100.0,255.0,1.0,0.8,0.7,10148.824999999999,75591.59637863164,1106.3333333333333,61.15874554683691
3543932.0,109.209387944,1.3708823395246205E-5,3543932.0,99.8,85.613580779744,0.0,71.42857142857143,92.80679038987196,85.71428571428571,99.8992950654582,92.80679038987196,85.71428571428571,99.8992950654582,92.80679038987196,85.71428571428571,99.8992950654582,3543932.0,496256.0,20.0,20.0,20.0,0.0,100.0,100.0,255.0,1.0,0.8,0.7,6629.108333333329,61017.64404597196,1106.3333333333333,61.158745546836876
3620974.0,111.905775171,1.4055492633960279E-5,3620974.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3620974.0,496976.0,20.0,20.0,20.0,0.0,100.0,100.0,255.0,1.0,0.8,0.7,4013.6166666666686,17601.137967022863,1112.3333333333335,55.196110771119585
3698016.0,114.65156269,1.440851317171939E-5,3698016.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3698016.0,496976.0,20.0,20.0,20.0,0.0,100.0,100.0,255.0,1.0,0.8,0.7,5191.600000000003,27032.4145143809,1112.3333333333335,55.196110771119585
3775058.0,117.788004744,1.4811272560066315E-5,3775058.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3775058.0,496376.0,20.0,20.0,20.0,0.0,100.0,100.0,255.0,1.0,0.8,0.7,6338.08333333333,36701.82953596612,1107.3333333333337,60.24785408268608
