learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),members size
77042.0,0.405566529,2.6287164446425934E-8,77042.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77042.0,260704.0,2.0
154084.0,0.692773221,4.565762197416276E-8,154084.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154084.0,260704.0,2.0
231126.0,0.929198188,6.160314103529272E-8,231126.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231126.0,260704.0,2.0
308168.0,1.153420679,7.672567250708326E-8,308168.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308168.0,260704.0,2.0
385210.0,1.40196949,9.348887587647058E-8,385210.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,385210.0,260704.0,2.0
462252.0,1.627386958,1.0875824833895184E-7,462252.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,462252.0,261840.0,3.0
539294.0,1.87603327,1.2560110077197768E-7,539294.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,539294.0,261840.0,3.0
616336.0,2.12530501,1.424863185689888E-7,616336.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,616336.0,261840.0,3.0
693378.0,2.375902482,1.5946133905907887E-7,693378.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,693378.0,261840.0,3.0
770420.0,2.669864003,1.7937376196761098E-7,770420.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,770420.0,261840.0,3.0
847462.0,2.922690148,1.9649974874454654E-7,847462.0,99.8,94.01627573001437,75.0,88.88888888888889,97.09488118064029,94.11764705882352,99.89827060020346,99.89837398373984,100.0,99.79674796747967,94.44444444444444,88.88888888888889,100.0,847462.0,261840.0,3.0
924504.0,3.173603971,2.134961982804454E-7,924504.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,924504.0,261840.0,3.0
1001546.0,3.43018985,2.308768626532E-7,1001546.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1001546.0,261840.0,3.0
1078588.0,3.690372921,2.485011943200396E-7,1078588.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1078588.0,261840.0,3.0
1155630.0,3.95460537,2.6639982354452624E-7,1155630.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1155630.0,261840.0,3.0
1232672.0,4.245151247,2.8608087689284645E-7,1232672.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1232672.0,261840.0,3.0
1309714.0,4.497480582,3.031732106569947E-7,1309714.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1309714.0,261840.0,3.0
1386756.0,4.755944725,3.206811052433318E-7,1386756.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1386756.0,261840.0,3.0
1463798.0,5.01227875,3.380447094806573E-7,1463798.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1463798.0,261840.0,3.0
1540840.0,5.273106552,3.557127140618653E-7,1540840.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1540840.0,261840.0,3.0
1617882.0,5.53185125,3.732396129375737E-7,1617882.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1617882.0,261840.0,3.0
1694924.0,5.787297422,3.905430756150227E-7,1694924.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1694924.0,261840.0,3.0
1771966.0,6.041996811,4.077959525598006E-7,1771966.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1771966.0,261840.0,3.0
1849008.0,6.330958918,4.273697241866133E-7,1849008.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1849008.0,261840.0,3.0
1926050.0,6.652886367,4.4917650858664675E-7,1926050.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1926050.0,261840.0,3.0
2003092.0,6.974805815,4.709827510133799E-7,2003092.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2003092.0,261840.0,3.0
2080134.0,7.295243947,4.926886517676628E-7,2080134.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2080134.0,261840.0,3.0
2157176.0,7.639046261,5.160782380478828E-7,2157176.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2157176.0,262976.0,4.0
2234218.0,8.017624944,5.417224747983489E-7,2234218.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2234218.0,261840.0,3.0
2311260.0,8.293918541,5.604381044211237E-7,2311260.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2311260.0,261840.0,3.0
2388302.0,8.543124039,5.773920726162774E-7,2388302.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2388302.0,262976.0,4.0
2465344.0,8.79872053,5.947057176314997E-7,2465344.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2465344.0,261840.0,3.0
2542386.0,9.046250819,6.114729726806365E-7,2542386.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2542386.0,261840.0,3.0
2619428.0,9.293541513,6.282239979968798E-7,2619428.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2619428.0,261840.0,3.0
2696470.0,9.541092266,6.449926392404444E-7,2696470.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2696470.0,261840.0,3.0
2773512.0,9.784222752,6.6146185957486E-7,2773512.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2773512.0,261840.0,3.0
2850554.0,10.033202333,6.783272870484821E-7,2850554.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2850554.0,261840.0,3.0
2927596.0,10.27606881,6.947786238897052E-7,2927596.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2927596.0,261840.0,3.0
3004638.0,10.531809609,7.121020440684092E-7,3004638.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3004638.0,261840.0,3.0
3081680.0,10.777024214,7.287124388625926E-7,3081680.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3081680.0,261840.0,3.0
3158722.0,11.028841606,7.457700945318447E-7,3158722.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3158722.0,261840.0,3.0
3235764.0,11.277135224,7.625890561098314E-7,3235764.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3235764.0,261840.0,3.0
3312806.0,11.524867495,7.793699930551232E-7,3312806.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3312806.0,261840.0,3.0
3389848.0,11.77470888,7.962937975763735E-7,3389848.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3389848.0,261840.0,3.0
3466890.0,12.025414088,8.132761159086681E-7,3466890.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3466890.0,261840.0,3.0
3543932.0,12.271519279,8.299468373912158E-7,3543932.0,99.8,83.2355406538139,0.0,71.42857142857143,92.26485148514853,83.33333333333333,99.89939637826961,99.89949748743719,100.0,99.79899497487436,85.71428571428572,71.42857142857143,100.0,3543932.0,261840.0,3.0
3620974.0,12.528315589,8.474172243100983E-7,3620974.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3620974.0,262976.0,4.0
3698016.0,12.774620516,8.641014755488144E-7,3698016.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3698016.0,261840.0,3.0
3775058.0,13.02569518,8.811088201637771E-7,3775058.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3775058.0,261840.0,3.0
3852100.0,13.277029554,8.981337570654309E-7,3852100.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3852100.0,261840.0,3.0
3929142.0,13.547509769,9.164555986831667E-7,3929142.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,3929142.0,261840.0,3.0
4006184.0,13.80980579,9.342230577696817E-7,4006184.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4006184.0,261840.0,3.0
4083226.0,14.066756911,9.516284629763495E-7,4083226.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4083226.0,261840.0,3.0
4160268.0,14.33178701,9.695811235722856E-7,4160268.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4160268.0,261840.0,3.0
4237310.0,14.596637708,9.875216318682537E-7,4237310.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4237310.0,261840.0,3.0
4314352.0,14.860256174,1.0053786709923997E-6,4314352.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,4314352.0,261840.0,3.0
