learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77042.0,1.122209427,1.5337298299454773E-7,77042.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77042.0,546416.0,10.0,0.0,462169.1,406.8713828990976,13904.0,1301.322404325692,23.799999999999997,4.131182235954578,12.399999999999999,2.065591117977289,12.399999999999999,2.065591117977289,8.8,1.5491933384829668,0.0,0.0,0.0,0.0,1.0,0.0
154084.0,2.124900091,3.2300395865852426E-7,154084.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154084.0,653944.0,10.0,1.0,840617.5,264671.23312485876,24385.600000000002,11077.957164266945,38.599999999999994,15.399855699179637,19.799999999999997,7.699927849589819,19.799999999999997,7.699927849589819,10.2,3.155242550986462,0.0,0.0,0.0,0.0,1.0,0.0
231126.0,3.022318466,5.024082076899314E-7,231126.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231126.0,772752.0,10.0,1.0,1302552.2000000002,264240.53443986725,35867.2,11874.971296339578,64.8,17.699968612652647,32.9,8.849984306326323,32.9,8.849984306326323,13.799999999999997,1.8737959096740264,330.03999999999996,532.4178885976366,0.0,0.0,1.0351710103690328,0.05673333035682677
308168.0,3.923775924,7.219517918521103E-7,308168.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308168.0,941408.0,10.0,1.0,1764589.0,264545.44673668285,52465.600000000006,13863.54416125657,89.0,20.02220989024161,45.0,10.011104945120804,45.0,10.011104945120804,16.1,1.8529256146249726,425.2141935483872,551.5860864309016,0.0,0.0,1.0486742641651283,0.06314004104826335
385210.0,4.838104254,9.77470837427384E-7,385210.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,385210.0,1080248.0,10.0,1.0,2226990.2,264592.375114292,65992.0,13952.353716209398,110.19999999999999,23.517369467409967,55.599999999999994,11.758684733704984,55.599999999999994,11.758684733704984,16.900000000000002,1.9119507199599979,636.8875169463006,550.7893692886082,0.0,0.0,1.0729147697936396,0.06305757503222377
462252.0,5.800420828,1.271550847732783E-6,462252.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,462252.0,1181272.0,10.0,1.0,2689308.5,264503.388323708,75927.2,16063.374246333731,132.4,27.064531935521973,66.7,13.532265967760987,66.7,13.532265967760987,17.900000000000002,2.0248456731316584,636.8875169463006,550.7893692886082,0.0,0.0,1.0729147697936396,0.06305757503222377
539294.0,6.730857852,1.5847904954706568E-6,539294.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,539294.0,1301344.0,10.0,1.0,3151768.6,264428.5726413761,87731.2,17312.332796144037,152.99999999999997,30.883292858401248,76.99999999999999,15.441646429200624,76.99999999999999,15.441646429200624,18.599999999999998,1.6465452046971296,735.2350579299073,510.78321493919793,0.0,0.0,1.0859565086921596,0.05969872318135739
616336.0,7.66319163,1.9150506943960177E-6,616336.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,616336.0,1369264.0,10.0,1.0,3613849.4,264382.5270925108,94411.2,18849.231123723737,168.20000000000002,32.251787202847815,84.60000000000001,16.125893601423908,84.60000000000001,16.125893601423908,20.0,1.8856180831641267,735.2350579299073,510.78321493919793,0.0,0.0,1.0859565086921596,0.05969872318135739
693378.0,8.630138287,2.2861449085826116E-6,693378.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,693378.0,1483488.0,10.0,1.0,4076024.2,264478.09891843813,105514.4,21589.80798226587,184.60000000000002,38.48000924000813,92.80000000000001,19.240004620004065,92.80000000000001,19.240004620004065,20.1,1.911950719959998,837.3763488970046,445.46449789275755,0.0,0.0,1.098491278272167,0.05236324976333688
770420.0,9.592113755,2.670697125663122E-6,770420.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,770420.0,1545232.0,10.0,1.0,4538068.8,264545.9486855838,111592.0,23535.18814220292,196.0,43.00129197025493,98.5,21.500645985127466,98.5,21.500645985127466,20.599999999999998,1.6465452046971296,837.3763488970046,445.46449789275755,0.0,0.0,1.098491278272167,0.05236324976333688
