learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77042.0,0.832273817,9.62107676647438E-8,77042.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77042.0,465112.0,10.0,76941.20000000001,163.4589992764061,8924.8,1211.4487928830413,16.8,3.457680661303984,8.9,1.728840330651992,8.9,1.728840330651992,6.9,1.1972189997378644,0.0,0.0,0.0,0.0,1.0,0.0
154084.0,1.68367052,2.1773268642824973E-7,154084.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154084.0,551728.0,10.0,153902.1,373.113462040109,17460.0,3216.2349278482616,28.8,5.769652406245015,14.9,2.8848262031225076,14.9,2.8848262031225076,8.6,1.264911064067352,0.0,0.0,0.0,0.0,1.0,0.0
231126.0,2.392600575,3.296848827933996E-7,231126.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231126.0,610424.0,10.0,230818.50000000003,373.17742280165476,23234.4,4017.8783566565185,40.599999999999994,6.51835016617617,20.799999999999997,3.259175083088085,20.799999999999997,3.259175083088085,10.2,1.5491933384829668,0.0,0.0,0.0,0.0,1.0,0.0
308168.0,2.981592846,4.344490523697167E-7,308168.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308168.0,687552.0,10.0,307766.80000000005,518.1981174115646,30828.0,5459.836057774792,53.99999999999999,7.615773105863909,27.499999999999996,3.8078865529319543,27.499999999999996,3.8078865529319543,11.6,1.1737877907772671,0.0,0.0,0.0,0.0,1.0,0.0
385210.0,3.560792878,5.486135369261665E-7,385210.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,385210.0,761912.0,10.0,384903.39999999997,385.7872758687402,38156.0,6458.64492151583,64.2,10.757942802103631,32.6,5.378971401051816,32.6,5.378971401051816,12.1,1.286683937707919,0.0,0.0,0.0,0.0,1.0,0.0
462252.0,4.151826238,6.758269633571866E-7,462252.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,462252.0,832000.0,10.0,461982.9,447.7805638181911,45052.0,7619.487763477135,78.8,11.94245461461848,39.9,5.97122730730924,39.9,5.97122730730924,13.2,1.5491933384829668,0.0,0.0,0.0,0.0,1.0,0.0
539294.0,4.752072866,8.133578596302184E-7,539294.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,539294.0,885672.0,10.0,539085.8,359.8838701581352,50324.00000000001,7961.761279181049,93.0,14.877275736280932,47.0,7.438637868140466,47.0,7.438637868140466,13.9,1.5951314818673867,0.0,0.0,0.0,0.0,1.0,0.0
616336.0,5.361079219,9.627735975231084E-7,616336.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,616336.0,948368.0,10.0,616047.8,590.2023758376823,56500.00000000001,9148.803831952873,102.80000000000001,16.69198077587625,51.900000000000006,8.345990387938125,51.900000000000006,8.345990387938125,14.6,1.429840705968481,0.0,0.0,0.0,0.0,1.0,0.0
693378.0,5.986171144,1.1264232789170968E-6,693378.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,693378.0,1011984.0,10.0,693095.6999999998,631.6326376058378,62760.799999999996,10790.622068362054,114.4,20.178095934838737,57.7,10.089047967419368,57.7,10.089047967419368,14.8,1.3984117975602022,0.0,0.0,0.0,0.0,1.0,0.0
770420.0,6.651706387,1.312216032022751E-6,770420.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,770420.0,1079096.0,10.0,770047.6,670.1394879674882,69371.2,11942.700651211371,124.4,21.019567603122145,62.7,10.509783801561072,62.7,10.509783801561072,16.1,2.078995483935024,0.0,0.0,0.0,0.0,1.0,0.0
