learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77042.0,0.936703518,1.1468992636517932E-7,77042.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77042.0,494216.0,10.0,76941.20000000001,163.4589992764061,8924.8,1211.4487928830413,16.8,3.457680661303984,8.9,1.728840330651992,8.9,1.728840330651992,6.9,1.1972189997378644,0.0,0.0,0.0,0.0,1.0,0.0
154084.0,1.836505785,2.448602171649908E-7,154084.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154084.0,559200.0,10.0,133828.4,42707.933491981974,15214.4,5496.356190948488,24.799999999999997,9.016035098028894,12.899999999999999,4.508017549014447,12.899999999999999,4.508017549014447,7.500000000000001,2.5495097567963927,0.0,0.0,0.0,0.0,1.0,0.0
231126.0,2.599222804,3.6702057279457855E-7,231126.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231126.0,619112.0,10.0,210744.80000000002,42724.30235253833,20928.0,5699.384762118335,36.0,10.509255180289632,18.5,5.254627590144816,18.5,5.254627590144816,9.2,2.573367875415838,0.0,0.0,0.0,0.0,1.0,0.0
308168.0,3.357516837,4.988727349200534E-7,308168.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308168.0,672128.0,10.0,260645.7,88858.34179943065,26162.399999999998,9635.080385987678,45.8,17.466157753400335,23.4,8.733078876700167,23.4,8.733078876700167,9.9,3.4464152068167553,0.0,0.0,0.0,0.0,1.0,0.0
385210.0,4.118168831,6.447993868495047E-7,385210.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,385210.0,741568.0,10.0,332535.3,103762.89920995632,32875.2,11990.127019992555,54.400000000000006,20.178095934838733,27.700000000000003,10.089047967419367,27.700000000000003,10.089047967419367,10.700000000000001,2.79085809185793,0.0,0.0,0.0,0.0,1.0,0.0
462252.0,4.90374482,7.990697611033999E-7,462252.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,462252.0,759096.0,10.0,364249.6,161654.7089400395,34692.0,16316.684739520124,61.599999999999994,27.097355344510405,31.299999999999997,13.548677672255202,31.299999999999997,13.548677672255202,11.0,3.527668414752787,0.0,0.0,0.0,0.0,1.0,0.0
539294.0,5.674846268,9.636077652113719E-7,539294.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,539294.0,824816.0,10.0,441352.5,161550.6894880228,41053.600000000006,14353.480934370356,76.2,27.132596222583967,38.6,13.566298111291983,38.6,13.566298111291983,12.2,2.3475755815545347,0.0,0.0,0.0,0.0,1.0,0.0
616336.0,6.473566503,1.147139389644739E-6,616336.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,616336.0,888216.0,10.0,518314.5,161476.25908628176,47284.8,14814.251012679199,85.19999999999999,28.650382972037992,43.099999999999994,14.325191486018996,43.099999999999994,14.325191486018996,13.100000000000001,2.131770260709265,0.0,0.0,0.0,0.0,1.0,0.0
693378.0,7.280732983,1.3384168544819062E-6,693378.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,693378.0,916016.0,10.0,571733.2,224387.0448482562,50068.00000000001,21515.306303497826,91.4,40.48374159256199,46.2,20.241870796280995,46.2,20.241870796280995,12.8,4.7093288033198295,0.0,0.0,0.0,0.0,1.0,0.0
770420.0,8.080431609,1.5413372452702809E-6,770420.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,770420.0,980848.0,10.0,646125.5,231590.30342695458,56304.0,23016.26802454685,101.4,41.65253093550659,51.2,20.826265467753295,51.2,20.826265467753295,14.499999999999998,3.9791121287711078,0.0,0.0,0.0,0.0,1.0,0.0
